seed,frame,k,date_weight,rmse,mae,n,rmse_shared,rmse_new,n_shared,n_new
0,private,6,0.0,0.08363939982130099,0.05526841143754162,2644,0.05756460987249055,0.08722293232564887,377,2267
0,private,6,1.0,0.08130611472614721,0.051570055378779386,2644,0.05478808610363812,0.08491671990422518,377,2267
0,private,8,0.0,0.08389059951777325,0.05579565049222511,2644,0.05888534665027399,0.08735757035705481,377,2267
0,private,8,1.0,0.08147237670304062,0.05208062924354301,2644,0.056189658519558455,0.08495026295378559,377,2267
0,private,10,0.0,0.08513835282053253,0.057079383680880176,2644,0.05995936313981621,0.08863463469261582,377,2267
0,private,10,1.0,0.0826976959324142,0.05338846166593655,2644,0.057403505295960215,0.08618718391675087,377,2267
0,history,6,0.0,0.08442114154689337,0.05611723302024852,2644,0.06451622794177714,0.08729225027410852,377,2267
0,history,6,1.0,0.08102592928664247,0.0508817648988916,2644,0.054889879398549744,0.08459282362003104,377,2267
0,history,8,0.0,0.08472614496945703,0.05673946735033885,2644,0.06598327169816581,0.08745438358115336,377,2267
0,history,8,1.0,0.08117700485768442,0.05140062876841171,2644,0.056322230566206145,0.08460517285773923,377,2267
0,history,10,0.0,0.08601827610229978,0.05808598905297761,2644,0.0671529454739998,0.08876759491528571,377,2267
0,history,10,1.0,0.08240819545073552,0.05267556378064145,2644,0.05760175719921097,0.08584108581148765,377,2267
1,private,6,0.0,0.07884272563937342,0.05472779420009424,2644,0.05981249811050843,0.08157805372659548,377,2267
1,private,6,1.0,0.07600983791080514,0.05106199300705942,2644,0.05867276495052454,0.078522634618991,377,2267
1,private,8,0.0,0.07947495204934212,0.05567405061395127,2644,0.060734750461421336,0.08217802917784069,377,2267
1,private,8,1.0,0.07660938474182803,0.052067473744836675,2644,0.05958171192737771,0.07908633435470408,377,2267
1,private,10,0.0,0.08118361624614256,0.05708394771885634,2644,0.06096843157704857,0.0840753325112003,377,2267
1,private,10,1.0,0.07839264229201957,0.05353597424824067,2644,0.05965170620357558,0.0810902918048539,377,2267
1,history,6,0.0,0.07922634677171132,0.055672897164341324,2644,0.06472359484812286,0.08138790855275313,377,2267
1,history,6,1.0,0.07539203989662971,0.05039520239920814,2644,0.0584202756225554,0.07785647079063483,377,2267
1,history,8,0.0,0.07983274092813034,0.05661745633970952,2644,0.06576534764829393,0.0819382565566869,377,2267
1,history,8,1.0,0.07594827168305597,0.05141087797808511,2644,0.059397093554651684,0.0783624318499043,377,2267
1,history,10,0.0,0.08150818767638689,0.05800258933425779,2644,0.06607984391696636,0.08379889089817687,377,2267
1,history,10,1.0,0.07768441250965062,0.05288670912482463,2644,0.059520779633233815,0.08030759184831956,377,2267
2,private,6,0.0,0.08111380972629424,0.05299039062191482,2644,0.06555115402602357,0.08342078370724618,377,2267
2,private,6,1.0,0.078314514035528,0.049680706697599664,2644,0.06269684427276499,0.08061884627362287,377,2267
2,private,8,0.0,0.08166682463022078,0.05379878155418047,2644,0.0660044803219971,0.08398868882702919,377,2267
2,private,8,1.0,0.07885604736493032,0.05046239735990447,2644,0.06294456203915438,0.08120030710455857,377,2267
2,private,10,0.0,0.08254327758078805,0.05495112635230188,2644,0.06464562876767779,0.08515562343757417,377,2267
2,private,10,1.0,0.07971921500204786,0.05161424711743468,2644,0.06114475755079636,0.08240309513542211,377,2267
2,history,6,0.0,0.08166450955242369,0.05427185678561884,2644,0.07176347333737201,0.08319685318893134,377,2267
2,history,6,1.0,0.07799510461303999,0.04930242890441638,2644,0.06252539446757033,0.08027913280626164,377,2267
2,history,8,0.0,0.08220266545848207,0.05511259738954067,2644,0.07229583109361694,0.08373657549976773,377,2267
2,history,8,1.0,0.07851486701071675,0.050056088875075844,2644,0.06274603736381515,0.0808394625832028,377,2267
2,history,10,0.0,0.0830442737124038,0.056215712113566824,2644,0.07111488045573422,0.08486565606495818,377,2267
2,history,10,1.0,0.07934480780599891,0.051169188573480864,2644,0.060909935859364085,0.0820096201178232,377,2267
