route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,distance_45_40_30,near,6890,0.0646255745,0.0662006592
crop_hier_n1_p67,distance_45_40_30,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,distance_45_40_30,far,1975,0.0698211337,0.0700986011
crop_hier_n1_p67,distance_45_40_30,history,7552,0.0672728224,0.0684564515
crop_hier_n1_p67,distance_45_40_30,2025,3024,0.0656391212,0.0671263704
crop_hier_n1_p67,distance_45_40_30,new,9068,0.0691505979,0.0704712639
crop_hier_n1_p67,distance_45_40_30,shared,1508,0.0504952578,0.0513951813
crop_hier_n1_p67,distance_45_40_30,new2025,1516,0.0778327473,0.0797533421
crop_hier_n1_p67,distance_45_40_30,shared2025,1508,0.0504952578,0.0513951813
crop_hier_n1_p67,distance_45_40_30,new2025_near,1408,0.0768422829,0.0789108893
crop_hier_n1_p67,distance_45_40_30,new2025_far,18,0.0917359234,0.0931731510
crop_hier_n1_p67,distance_45_40_30,shared2025_near,1431,0.0504327731,0.0513532772
crop_hier_n1_p67,distance_45_40_30,shared2025_far,10,0.0969532272,0.0973607376
crop_hier_n1_p67,distance_45_40_30,source_s2,4693,0.0654477381,0.0665003066
crop_hier_n1_p67,distance_45_40_30,source_landsat,4065,0.0697559762,0.0710960435
crop_hier_n1_p67,distance_45_40_30,source_modis,1818,0.0634737448,0.0651471604
crop_hier_n1_p67,cohort_year,all,10576,0.0668082729,0.0680787938
crop_hier_n1_p67,cohort_year,near,6890,0.0645785463,0.0662006592
crop_hier_n1_p67,cohort_year,mid,1711,0.0717567128,0.0729940242
crop_hier_n1_p67,cohort_year,far,1975,0.0699380529,0.0700986011
crop_hier_n1_p67,cohort_year,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,cohort_year,2025,3024,0.0654926414,0.0671263704
crop_hier_n1_p67,cohort_year,new,9068,0.0691549113,0.0704712639
crop_hier_n1_p67,cohort_year,shared,1508,0.0504457654,0.0513951813
crop_hier_n1_p67,cohort_year,new2025,1516,0.0776182391,0.0797533421
crop_hier_n1_p67,cohort_year,shared2025,1508,0.0504457654,0.0513951813
crop_hier_n1_p67,cohort_year,new2025_near,1408,0.0765858372,0.0789108893
crop_hier_n1_p67,cohort_year,new2025_far,18,0.0909399641,0.0931731510
crop_hier_n1_p67,cohort_year,shared2025_near,1431,0.0503808918,0.0513532772
crop_hier_n1_p67,cohort_year,shared2025_far,10,0.0969258740,0.0973607376
crop_hier_n1_p67,cohort_year,source_s2,4693,0.0654867220,0.0665003066
crop_hier_n1_p67,cohort_year,source_landsat,4065,0.0697104332,0.0710960435
crop_hier_n1_p67,cohort_year,source_modis,1818,0.0634726224,0.0651471604
crop_hier_n1_p67,cohort_year_dist,all,10576,0.0667664220,0.0680787938
crop_hier_n1_p67,cohort_year_dist,near,6890,0.0645513695,0.0662006592
crop_hier_n1_p67,cohort_year_dist,mid,1711,0.0717567128,0.0729940242
crop_hier_n1_p67,cohort_year_dist,far,1975,0.0698114508,0.0700986011
crop_hier_n1_p67,cohort_year_dist,history,7552,0.0672697116,0.0684564515
crop_hier_n1_p67,cohort_year_dist,2025,3024,0.0654926414,0.0671263704
crop_hier_n1_p67,cohort_year_dist,new,9068,0.0691077556,0.0704712639
crop_hier_n1_p67,cohort_year_dist,shared,1508,0.0504457654,0.0513951813
crop_hier_n1_p67,cohort_year_dist,new2025,1516,0.0776182391,0.0797533421
crop_hier_n1_p67,cohort_year_dist,shared2025,1508,0.0504457654,0.0513951813
crop_hier_n1_p67,cohort_year_dist,new2025_near,1408,0.0765858372,0.0789108893
crop_hier_n1_p67,cohort_year_dist,new2025_far,18,0.0909399641,0.0931731510
crop_hier_n1_p67,cohort_year_dist,shared2025_near,1431,0.0503808918,0.0513532772
crop_hier_n1_p67,cohort_year_dist,shared2025_far,10,0.0969258740,0.0973607376
crop_hier_n1_p67,cohort_year_dist,source_s2,4693,0.0654059905,0.0665003066
crop_hier_n1_p67,cohort_year_dist,source_landsat,4065,0.0696679732,0.0710960435
crop_hier_n1_p67,cohort_year_dist,source_modis,1818,0.0635355340,0.0651471604
crop_hier_n1_p67,new2025_0.45,all,10576,0.0668446393,0.0680787938
crop_hier_n1_p67,new2025_0.45,near,6890,0.0646419820,0.0662006592
crop_hier_n1_p67,new2025_0.45,mid,1711,0.0717319418,0.0729940242
crop_hier_n1_p67,new2025_0.45,far,1975,0.0699416992,0.0700986011
crop_hier_n1_p67,new2025_0.45,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.45,2025,3024,0.0656222898,0.0671263704
crop_hier_n1_p67,new2025_0.45,new,9068,0.0691950524,0.0704712639
crop_hier_n1_p67,new2025_0.45,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.45,new2025,1516,0.0778319322,0.0797533421
crop_hier_n1_p67,new2025_0.45,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.45,new2025_near,1408,0.0768422829,0.0789108893
crop_hier_n1_p67,new2025_0.45,new2025_far,18,0.0912564197,0.0931731510
crop_hier_n1_p67,new2025_0.45,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.45,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.45,source_s2,4693,0.0655016837,0.0665003066
crop_hier_n1_p67,new2025_0.45,source_landsat,4065,0.0697889742,0.0710960435
crop_hier_n1_p67,new2025_0.45,source_modis,1818,0.0634625225,0.0651471604
crop_hier_n1_p67,new2025_0.50,all,10576,0.0668287317,0.0680787938
crop_hier_n1_p67,new2025_0.50,near,6890,0.0646152697,0.0662006592
crop_hier_n1_p67,new2025_0.50,mid,1711,0.0717388934,0.0729940242
crop_hier_n1_p67,new2025_0.50,far,1975,0.0699402292,0.0700986011
crop_hier_n1_p67,new2025_0.50,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.50,2025,3024,0.0655656009,0.0671263704
crop_hier_n1_p67,new2025_0.50,new,9068,0.0691771294,0.0704712639
crop_hier_n1_p67,new2025_0.50,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.50,new2025,1516,0.0777365752,0.0797533421
crop_hier_n1_p67,new2025_0.50,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.50,new2025_near,1408,0.0767322650,0.0789108893
crop_hier_n1_p67,new2025_0.50,new2025_far,18,0.0911327161,0.0931731510
crop_hier_n1_p67,new2025_0.50,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.50,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.50,source_s2,4693,0.0654929978,0.0665003066
crop_hier_n1_p67,new2025_0.50,source_landsat,4065,0.0697581297,0.0710960435
crop_hier_n1_p67,new2025_0.50,source_modis,1818,0.0634640280,0.0651471604
crop_hier_n1_p67,new2025_0.55,all,10576,0.0668168553,0.0680787938
crop_hier_n1_p67,new2025_0.55,near,6890,0.0645945269,0.0662006592
crop_hier_n1_p67,new2025_0.55,mid,1711,0.0717471452,0.0729940242
crop_hier_n1_p67,new2025_0.55,far,1975,0.0699389770,0.0700986011
crop_hier_n1_p67,new2025_0.55,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.55,2025,3024,0.0655232550,0.0671263704
crop_hier_n1_p67,new2025_0.55,new,9068,0.0691637481,0.0704712639
crop_hier_n1_p67,new2025_0.55,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.55,new2025,1516,0.0776653221,0.0797533421
crop_hier_n1_p67,new2025_0.55,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.55,new2025_near,1408,0.0766467557,0.0789108893
crop_hier_n1_p67,new2025_0.55,new2025_far,18,0.0910272098,0.0931731510
crop_hier_n1_p67,new2025_0.55,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.55,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.55,source_s2,4693,0.0654890873,0.0665003066
crop_hier_n1_p67,new2025_0.55,source_landsat,4065,0.0697301034,0.0710960435
crop_hier_n1_p67,new2025_0.55,source_modis,1818,0.0634705658,0.0651471604
crop_hier_n1_p67,new2025_0.60,all,10576,0.0668090124,0.0680787938
crop_hier_n1_p67,new2025_0.60,near,6890,0.0645797594,0.0662006592
crop_hier_n1_p67,new2025_0.60,mid,1711,0.0717566966,0.0729940242
crop_hier_n1_p67,new2025_0.60,far,1975,0.0699379425,0.0700986011
crop_hier_n1_p67,new2025_0.60,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.60,2025,3024,0.0654952797,0.0671263704
crop_hier_n1_p67,new2025_0.60,new,9068,0.0691549113,0.0704712639
crop_hier_n1_p67,new2025_0.60,shared,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.60,new2025,1516,0.0776182391,0.0797533421
crop_hier_n1_p67,new2025_0.60,shared2025,1508,0.0504526338,0.0513951813
crop_hier_n1_p67,new2025_0.60,new2025_near,1408,0.0765858372,0.0789108893
crop_hier_n1_p67,new2025_0.60,new2025_far,18,0.0909399641,0.0931731510
crop_hier_n1_p67,new2025_0.60,shared2025_near,1431,0.0503883778,0.0513532772
crop_hier_n1_p67,new2025_0.60,shared2025_far,10,0.0969101508,0.0973607376
crop_hier_n1_p67,new2025_0.60,source_s2,4693,0.0654899532,0.0665003066
crop_hier_n1_p67,new2025_0.60,source_landsat,4065,0.0697048988,0.0710960435
crop_hier_n1_p67,new2025_0.60,source_modis,1818,0.0634821343,0.0651471604
crop_hier_n1_p67,new2025_0.65,all,10576,0.0668052044,0.0680787938
crop_hier_n1_p67,new2025_0.65,near,6890,0.0645709712,0.0662006592
crop_hier_n1_p67,new2025_0.65,mid,1711,0.0717675474,0.0729940242
crop_hier_n1_p67,new2025_0.65,far,1975,0.0699371259,0.0700986011
crop_hier_n1_p67,new2025_0.65,history,7552,0.0673278752,0.0684564515
crop_hier_n1_p67,new2025_0.65,2025,3024,0.0654816936,0.0671263704
crop_hier_n1_p67,new2025_0.65,new,9068,0.0691506206,0.0704712639
