p,truth,date_mean,date_med,doy_mean,base,shock,n,year
0.3102726142414971,0.3226791885441528,0.41853803073897167,0.36781734705712743,0.4738924820109435,0.6309171724348274,-0.11599716098448676,32,2019
0.2503901754270878,0.234648495218802,0.367318122385015,0.32013343768489577,0.39594654563246573,0.3320497871823453,0.10689857836462935,20,2019
0.29166832486042915,0.3215358472553701,0.41785074938354627,0.3888115722827999,0.3596112290714659,0.3320497871823453,0.15743120536316063,33,2019
0.6698336110002484,0.7465997423623716,0.31564275829899796,0.301912486679315,0.2804005174527914,0.43149257893385,-0.0861618263741753,19,2019
0.8057713520956881,0.912608548188256,0.5766411893000075,0.582631137440989,0.5662748342411772,0.7481140059078591,-0.02968311659556333,22,2019
0.8381998879859911,0.8633667030456484,0.6011413378762963,0.7144464301850036,0.5809617758016821,0.5505769356820494,0.06660614615283789,24,2019
0.20005010366075882,0.1352430982600685,0.20596086735849112,0.1610557106581921,0.3557261113590666,0.267081322852744,-0.11388236217832787,21,2019
0.32934529499661747,0.3383295609182435,0.35735740229460367,0.3400983200841057,0.3378401074711714,0.2361418152095273,0.09693785827421803,19,2019
0.37538096167033236,0.3867256717278265,0.39309056894408095,0.3439248363748861,0.34167307862680096,0.2361418152095273,0.1326710249236953,23,2019
0.3868669388068138,0.4473056731221935,0.4080024574274096,0.37720682819822204,0.28607308100746726,0.2361418152095273,0.14758291340702395,16,2019
0.3842860370302235,0.1541977626863271,0.20575092636132544,0.19372936477798647,0.3002880407320234,0.2361418152095273,-0.0546686176590602,20,2019
0.5329845521166802,0.6785134925676533,0.5231813287046583,0.48026602810694113,0.5531521376327997,0.3685120374819052,0.12137674403148502,30,2019
0.7661500842360343,0.7975428026934316,0.7096815381922957,0.781754874819426,0.6517645880915038,0.7000994902908524,0.10335723229672489,30,2019
0.4662270418423945,0.5339735900922244,0.2944748147365831,0.2381622987319341,0.4143783879141047,0.5497229456545025,-0.025368414800235883,20,2019
0.5056534415598213,0.5197044594079532,0.3900654654845061,0.3338892738183102,0.4233137369813494,0.5497229456545025,0.07022223594768712,30,2019
0.3771817853877779,0.4367464108753651,0.28903394801289656,0.26250808500120615,0.31754358906087343,0.4129716623046637,0.05369230440992831,32,2019
0.3118051276889994,0.3418787380377747,0.13261172813006106,0.12235387720377619,0.20909979729363545,0.4129716623046637,-0.10272991547290719,20,2019
0.46452140713310686,0.5099181770744069,0.31564275829899796,0.301912486679315,0.2804005174527914,0.41054754192756604,-0.0861618263741753,19,2019
0.3222761965677307,0.2826332811101164,0.41853803073897167,0.36781734705712743,0.4738924820109435,0.5067746065290731,-0.11599716098448676,32,2019
0.2477435043604999,0.2948467099373322,0.4468308357807095,0.4077563405473083,0.40059935490113274,0.2417568860981969,0.1269876062438905,37,2019
0.29973163370024836,0.3201401745747538,0.41785074938354627,0.3888115722827999,0.3596112290714659,0.2154726065639619,0.15743120536316063,33,2019
0.24272524836973383,0.2553435416949679,0.39309056894408095,0.3439248363748861,0.34167307862680096,0.2154726065639619,0.1326710249236953,23,2019
0.8325111120233862,0.7692984386972274,0.6158859205700052,0.7582858555975811,0.611243424270121,0.7301528925619835,0.009561614674434393,20,2019
0.1471299411173085,0.106757405103178,0.2162910016881739,0.151228147684345,0.33165045098152207,0.2306020617886795,-0.1035522278486451,23,2019
0.3137303550019479,0.3459212809917355,0.41785074938354627,0.3888115722827999,0.3596112290714659,0.2063452427343546,0.15743120536316063,33,2019
0.3075520895075605,0.3700481404958678,0.2930126523133586,0.3293775597339684,0.3237597360581433,0.22203594428428958,0.054036452207567615,29,2019
0.33989069754946616,0.3880512396694215,0.40658889776450474,0.4080464375658726,0.3241565442074587,0.22203594428428958,0.16761269765871376,34,2019
0.385847131209892,0.3382590709728869,0.5362128988463325,0.558147272402075,0.44280019364775075,0.5030406852937365,0.13440831417315924,33,2019
0.29289060877830486,0.253966242124564,0.5231813287046583,0.48026602810694113,0.5531521376327997,0.5030406852937365,0.12137674403148502,30,2019
0.2883953627362894,0.2786232952324141,0.6023664014533525,0.6471216479602648,0.44752756673627625,0.5030406852937365,0.20056181678017926,19,2019
0.32816487042606945,0.3138876594896333,0.3900654654845061,0.3338892738183102,0.4233137369813494,0.2577224797249455,0.07022223594768712,30,2019
0.34959006405381027,0.3170344656770985,0.33055060623476457,0.2962712429038917,0.33102252421609873,0.2204541412149156,0.07013106221437893,33,2019
