route,features,group,model,cap,runs,n,rmse,baseline_rmse,delta_rmse,improved_runs
all,compact,group_aoiyear,hgb8,0.06,9.0,4814.0,0.07826497371502504,0.07828438403249433,-1.9410317469284455e-05,4.0
all,compact,group_aoiyear,ridge100,0.01,9.0,4814.0,0.07803076091599717,0.07828438403249433,-0.00025362311649715363,8.0
all,compact,group_aoiyear,ridge100,0.02,9.0,4814.0,0.07800961444108355,0.07828438403249433,-0.0002747695914107756,6.0
all,compact,group_aoiyear,ridge100,0.03,9.0,4814.0,0.078035148890406,0.07828438403249433,-0.00024923514208832764,7.0
all,compact,group_aoiyear,ridge100,0.04,9.0,4814.0,0.07803493221842824,0.07828438403249433,-0.00024945181406609007,7.0
all,compact,group_aoiyear,ridge100,0.06,9.0,4814.0,0.07803676819855584,0.07828438403249433,-0.0002476158339384804,7.0
all,compact,group_aoiyear,ridge30,0.01,9.0,4814.0,0.07801343519622488,0.07828438403249433,-0.00027094883626944954,7.0
all,compact,group_aoiyear,ridge30,0.02,9.0,4814.0,0.07797624027901545,0.07828438403249433,-0.00030814375347887335,7.0
all,compact,group_aoiyear,ridge30,0.03,9.0,4814.0,0.07801497721686208,0.07828438403249433,-0.0002694068156322421,7.0
all,compact,group_aoiyear,ridge30,0.04,9.0,4814.0,0.0780149539625154,0.07828438403249433,-0.0002694300699789265,7.0
all,compact,group_aoiyear,ridge30,0.06,9.0,4814.0,0.07801377928776637,0.07828438403249433,-0.0002706047447279536,7.0
history,candidate,group_aoi,hgb8,0.01,9.0,3578.0,0.0641989734280509,0.0645102009382529,-0.000311227510201989,8.0
history,candidate,group_aoi,hgb8,0.02,9.0,3578.0,0.06419697354722662,0.0645102009382529,-0.00031322739102628006,7.0
history,candidate,group_aoi,hgb8,0.03,9.0,3578.0,0.06418522128215144,0.0645102009382529,-0.00032497965610145396,7.0
history,candidate,group_aoi,hgb8,0.04,9.0,3578.0,0.0642066652262168,0.0645102009382529,-0.0003035357120360904,7.0
history,candidate,group_aoi,hgb8,0.06,9.0,3578.0,0.06421991776853166,0.0645102009382529,-0.00029028316972123935,7.0
