width,radius,source_profile,agg,mode,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins,coverage
16,4,True,mean,loo,10576.0000000000,0.0657347692,0.0666343245,-0.0008995553,4.0000000000,0.9895990923
24,32,False,exp,loo,10576.0000000000,0.0657364609,0.0666343245,-0.0008978636,4.0000000000,0.9948940998
24,4,False,inv1,loo,10576.0000000000,0.0657414486,0.0666343245,-0.0008928758,4.0000000000,0.9895990923
16,4,False,median,loo,10576.0000000000,0.0657423082,0.0666343245,-0.0008920163,4.0000000000,0.9895990923
12,8,False,exp,loo,10576.0000000000,0.0657437517,0.0666343245,-0.0008905727,4.0000000000,0.9922465961
12,4,False,mean,loo,10576.0000000000,0.0657445108,0.0666343245,-0.0008898137,4.0000000000,0.9895990923
24,4,False,inv1,fixed020,10576.0000000000,0.0657475943,0.0666343245,-0.0008867301,4.0000000000,0.9895990923
12,8,False,inv1,loo,10576.0000000000,0.0657502634,0.0666343245,-0.0008840610,4.0000000000,0.9922465961
12,16,False,exp,loo,10576.0000000000,0.0657511065,0.0666343245,-0.0008832179,4.0000000000,0.9932866868
24,32,False,inv1,fixed020,10576.0000000000,0.0657554709,0.0666343245,-0.0008788535,4.0000000000,0.9948940998
12,4,False,exp,loo,10576.0000000000,0.0657562923,0.0666343245,-0.0008780322,4.0000000000,0.9895990923
12,16,False,inv1,loo,10576.0000000000,0.0657577634,0.0666343245,-0.0008765611,4.0000000000,0.9932866868
24,32,False,inv1,loo,10576.0000000000,0.0657585812,0.0666343245,-0.0008757433,4.0000000000,0.9948940998
12,32,False,exp,loo,10576.0000000000,0.0657590689,0.0666343245,-0.0008752556,4.0000000000,0.9948940998
24,8,False,mean,fixed020,10576.0000000000,0.0657606410,0.0666343245,-0.0008736834,4.0000000000,0.9922465961
16,4,False,median,fixed020,10576.0000000000,0.0657609121,0.0666343245,-0.0008734124,4.0000000000,0.9895990923
24,8,False,mean,loo,10576.0000000000,0.0657623291,0.0666343245,-0.0008719953,4.0000000000,0.9922465961
12,4,False,inv1,loo,10576.0000000000,0.0657648852,0.0666343245,-0.0008694393,4.0000000000,0.9895990923
12,32,False,inv1,loo,10576.0000000000,0.0657651102,0.0666343245,-0.0008692142,4.0000000000,0.9948940998
12,4,False,mean,fixed020,10576.0000000000,0.0657662058,0.0666343245,-0.0008681186,4.0000000000,0.9895990923
12,8,False,inv1,fixed020,10576.0000000000,0.0657698716,0.0666343245,-0.0008644529,4.0000000000,0.9922465961
12,4,False,inv1,fixed020,10576.0000000000,0.0657707109,0.0666343245,-0.0008636135,4.0000000000,0.9895990923
12,4,False,exp,fixed020,10576.0000000000,0.0657719927,0.0666343245,-0.0008623318,4.0000000000,0.9895990923
8,4,False,mean,loo,10576.0000000000,0.0657723110,0.0666343245,-0.0008620134,4.0000000000,0.9895990923
12,8,False,exp,fixed020,10576.0000000000,0.0657738537,0.0666343245,-0.0008604708,4.0000000000,0.9922465961
20,4,False,mean,fixed020,10576.0000000000,0.0657786106,0.0666343245,-0.0008557139,4.0000000000,0.9895990923
8,4,False,exp,loo,10576.0000000000,0.0657800128,0.0666343245,-0.0008543117,4.0000000000,0.9895990923
8,8,False,exp,loo,10576.0000000000,0.0657806460,0.0666343245,-0.0008536785,4.0000000000,0.9922465961
8,16,False,exp,loo,10576.0000000000,0.0657832698,0.0666343245,-0.0008510547,4.0000000000,0.9932866868
24,16,False,inv2,loo,10576.0000000000,0.0657841444,0.0666343245,-0.0008501801,4.0000000000,0.9932866868
8,16,False,inv1,loo,10576.0000000000,0.0657846265,0.0666343245,-0.0008496980,4.0000000000,0.9932866868
32,4,False,exp,loo,10576.0000000000,0.0657870337,0.0666343245,-0.0008472908,4.0000000000,0.9895990923
8,32,False,inv1,loo,10576.0000000000,0.0657875303,0.0666343245,-0.0008467942,4.0000000000,0.9948940998
12,16,False,inv1,fixed020,10576.0000000000,0.0657877507,0.0666343245,-0.0008465738,4.0000000000,0.9932866868
8,4,False,inv1,loo,10576.0000000000,0.0657877639,0.0666343245,-0.0008465606,4.0000000000,0.9895990923
