group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved,train_n
group_aoi,0,1,ridge30,0.02,632,0.055744628506305356,0.056145518223847606,-0.00040088971754224934,1,2012
group_aoi,0,1,ridge30,0.04,632,0.05641706142808797,0.056145518223847606,0.00027154320424036676,0,2012
group_aoi,0,1,ridge30,0.06,632,0.056715180344075355,0.056145518223847606,0.0005696621202277499,0,2012
group_aoi,0,1,ridge30,0.08,632,0.05679273562910322,0.056145518223847606,0.0006472174052556123,0,2012
group_aoi,0,2,ridge30,0.02,358,0.06053818000564318,0.06144941043782159,-0.0009112304321784101,1,2286
group_aoi,0,2,ridge30,0.04,358,0.06085640600333263,0.06144941043782159,-0.0005930044344889598,1,2286
group_aoi,0,2,ridge30,0.06,358,0.06081046228447668,0.06144941043782159,-0.0006389481533449065,1,2286
group_aoi,0,2,ridge30,0.08,358,0.06081046228447668,0.06144941043782159,-0.0006389481533449065,1,2286
group_aoi,0,3,ridge30,0.02,830,0.06289419416225935,0.06248292062498674,0.00041127353727260507,0,1814
group_aoi,0,3,ridge30,0.04,830,0.06339144107743291,0.06248292062498674,0.0009085204524461737,0,1814
group_aoi,0,3,ridge30,0.06,830,0.06351416296682745,0.06248292062498674,0.0010312423418407102,0,1814
group_aoi,0,3,ridge30,0.08,830,0.06355605911730343,0.06248292062498674,0.0010731384923166887,0,1814
group_aoi,0,1,ridge100,0.02,632,0.05560730952895969,0.056145518223847606,-0.0005382086948879164,1,2012
group_aoi,0,1,ridge100,0.04,632,0.05611213008297131,0.056145518223847606,-3.338814087629899e-05,1,2012
group_aoi,0,1,ridge100,0.06,632,0.05630895608179999,0.056145518223847606,0.00016343785795238513,0,2012
group_aoi,0,1,ridge100,0.08,632,0.05635848997007703,0.056145518223847606,0.00021297174622942477,0,2012
group_aoi,0,2,ridge100,0.02,358,0.06059394804426375,0.06144941043782159,-0.0008554623935578404,1,2286
group_aoi,0,2,ridge100,0.04,358,0.06072394320562586,0.06144941043782159,-0.0007254672321957284,1,2286
group_aoi,0,2,ridge100,0.06,358,0.0606783048658313,0.06144941043782159,-0.0007711055719902896,1,2286
group_aoi,0,2,ridge100,0.08,358,0.0606783048658313,0.06144941043782159,-0.0007711055719902896,1,2286
group_aoi,0,3,ridge100,0.02,830,0.06260846763745063,0.06248292062498674,0.00012554701246389466,0,1814
group_aoi,0,3,ridge100,0.04,830,0.06289513474627874,0.06248292062498674,0.0004122141212919983,0,1814
group_aoi,0,3,ridge100,0.06,830,0.06296817344698295,0.06248292062498674,0.00048525282199621267,0,1814
group_aoi,0,3,ridge100,0.08,830,0.06299856527964669,0.06248292062498674,0.0005156446546599469,0,1814
group_aoi,0,1,hgb8,0.02,632,0.05621842784727976,0.056145518223847606,7.290962343215607e-05,0,2012
group_aoi,0,1,hgb8,0.04,632,0.05621769059638881,0.056145518223847606,7.217237254120157e-05,0,2012
group_aoi,0,1,hgb8,0.06,632,0.05620730976407817,0.056145518223847606,6.179154023056715e-05,0,2012
group_aoi,0,1,hgb8,0.08,632,0.05620730976407817,0.056145518223847606,6.179154023056715e-05,0,2012
group_aoi,0,2,hgb8,0.02,358,0.060546832439988915,0.06144941043782159,-0.0009025779978326723,1,2286
group_aoi,0,2,hgb8,0.04,358,0.06044929961291899,0.06144941043782159,-0.0010001108249025961,1,2286
group_aoi,0,2,hgb8,0.06,358,0.06044929961291899,0.06144941043782159,-0.0010001108249025961,1,2286
group_aoi,0,2,hgb8,0.08,358,0.06044929961291899,0.06144941043782159,-0.0010001108249025961,1,2286
group_aoi,0,3,hgb8,0.02,830,0.06235446998799096,0.06248292062498674,-0.00012845063699577774,1,1814
group_aoi,0,3,hgb8,0.04,830,0.062316254174867546,0.06248292062498674,-0.00016666645011919473,1,1814
group_aoi,0,3,hgb8,0.06,830,0.062316254174867546,0.06248292062498674,-0.00016666645011919473,1,1814
group_aoi,0,3,hgb8,0.08,830,0.062316254174867546,0.06248292062498674,-0.00016666645011919473,1,1814
group_aoi,0,1,hgb16,0.02,632,0.05640378859533911,0.056145518223847606,0.00025827037149150217,0,2012
group_aoi,0,1,hgb16,0.04,632,0.05649180689667491,0.056145518223847606,0.0003462886728273079,0,2012
group_aoi,0,1,hgb16,0.06,632,0.05648185814859506,0.056145518223847606,0.00033633992474745716,0,2012
group_aoi,0,1,hgb16,0.08,632,0.05648185814859506,0.056145518223847606,0.00033633992474745716,0,2012
group_aoi,0,2,hgb16,0.02,358,0.06059972138983605,0.06144941043782159,-0.0008496890479855398,1,2286
group_aoi,0,2,hgb16,0.04,358,0.06043819866372931,0.06144941043782159,-0.0010112117740922744,1,2286
group_aoi,0,2,hgb16,0.06,358,0.06043819866372931,0.06144941043782159,-0.0010112117740922744,1,2286
group_aoi,0,2,hgb16,0.08,358,0.06043819866372931,0.06144941043782159,-0.0010112117740922744,1,2286
group_aoi,0,3,hgb16,0.02,830,0.06240084072221362,0.06248292062498674,-8.207990277311894e-05,1,1814
group_aoi,0,3,hgb16,0.04,830,0.062316551228723614,0.06248292062498674,-0.00016636939626312602,1,1814
group_aoi,0,3,hgb16,0.06,830,0.062316551228723614,0.06248292062498674,-0.00016636939626312602,1,1814
group_aoi,0,3,hgb16,0.08,830,0.062316551228723614,0.06248292062498674,-0.00016636939626312602,1,1814
group_aoi,1,1,ridge30,0.02,411,0.06321310294142575,0.062043598123565157,0.0011695048178605935,0,2233
group_aoi,1,1,ridge30,0.04,411,0.06371501748209234,0.062043598123565157,0.0016714193585271805,0,2233
group_aoi,1,1,ridge30,0.06,411,0.0639475529901157,0.062043598123565157,0.001903954866550546,0,2233
group_aoi,1,1,ridge30,0.08,411,0.06397935214810453,0.062043598123565157,0.0019357540245393753,0,2233
group_aoi,1,2,ridge30,0.02,267,0.11202201663550371,0.11095451980436578,0.0010674968311379235,0,2377
group_aoi,1,2,ridge30,0.04,267,0.11226495567502523,0.11095451980436578,0.001310435870659446,0,2377
group_aoi,1,2,ridge30,0.06,267,0.11226495567502523,0.11095451980436578,0.001310435870659446,0,2377
group_aoi,1,2,ridge30,0.08,267,0.11226495567502523,0.11095451980436578,0.001310435870659446,0,2377
group_aoi,1,3,ridge30,0.02,504,0.0595011607434853,0.05956912744491832,-6.796670143301847e-05,1,2140
group_aoi,1,3,ridge30,0.04,504,0.060005582139972334,0.05956912744491832,0.00043645469505401713,0,2140
group_aoi,1,3,ridge30,0.06,504,0.05997515200823347,0.05956912744491832,0.0004060245633151563,0,2140
group_aoi,1,3,ridge30,0.08,504,0.060050741665221855,0.05956912744491832,0.00048161422030353757,0,2140
group_aoi,1,1,ridge100,0.02,411,0.06302261388833894,0.062043598123565157,0.0009790157647737788,0,2233
group_aoi,1,1,ridge100,0.04,411,0.06329463409413726,0.062043598123565157,0.0012510359705720994,0,2233
group_aoi,1,1,ridge100,0.06,411,0.0634573272847149,0.062043598123565157,0.0014137291611497418,0,2233
group_aoi,1,1,ridge100,0.08,411,0.06345293514022653,0.062043598123565157,0.0014093370166613703,0,2233
group_aoi,1,2,ridge100,0.02,267,0.11201308170714738,0.11095451980436578,0.001058561902781599,0,2377
group_aoi,1,2,ridge100,0.04,267,0.1121467866813939,0.11095451980436578,0.0011922668770281142,0,2377
group_aoi,1,2,ridge100,0.06,267,0.1121467866813939,0.11095451980436578,0.0011922668770281142,0,2377
group_aoi,1,2,ridge100,0.08,267,0.1121467866813939,0.11095451980436578,0.0011922668770281142,0,2377
group_aoi,1,3,ridge100,0.02,504,0.059463491833009634,0.05956912744491832,-0.0001056356119086832,1,2140
group_aoi,1,3,ridge100,0.04,504,0.05986948954715468,0.05956912744491832,0.00030036210223636367,0,2140
group_aoi,1,3,ridge100,0.06,504,0.05984029340724832,0.05956912744491832,0.0002711659623300042,0,2140
group_aoi,1,3,ridge100,0.08,504,0.059884295262926636,0.05956912744491832,0.00031516781800831895,0,2140
group_aoi,1,1,hgb8,0.02,411,0.0624720458206336,0.062043598123565157,0.0004284476970684431,0,2233
group_aoi,1,1,hgb8,0.04,411,0.06254048493806269,0.062043598123565157,0.0004968868144975339,0,2233
group_aoi,1,1,hgb8,0.06,411,0.06254048493806269,0.062043598123565157,0.0004968868144975339,0,2233
