a,b,w_b,rmse,mae
base_k6,base_k8,0.25,0.07046545713621372,0.05030784099065479
base_k6,base_k8,0.75,0.07047154366055093,0.05047840844736379
base_k6,base_k8,0.2,0.07047645226257711,0.050297889617149386
base_k6,base_k8,0.8,0.07048375488934841,0.050500290865370535
base_k6,base_k8,0.15000000000000002,0.07048955492279951,0.0502879556642594
base_k12,base_k6,0.55,0.07048961617532971,0.05069646319684782
base_k12,base_k6,0.9500000000000001,0.07049591308383817,0.050278175421214974
base_k6,base_k8,0.8500000000000001,0.07049807299702508,0.05052453969764368
base_k6,base_k8,0.1,0.07050476394188375,0.050278021711369414
base_k6,base_k8,0.9,0.07051449670016323,0.05054935266977291
base_k6,base_k8,0.05,0.07052207795703737,0.0502687284894609
base_k6,base_k8,0.9500000000000001,0.07053302452789124,0.050574423385050124
base_k12,base_k6,0.5,0.07053362928152807,0.050770612204626454
base_k12,base_k6,1.0,0.07054149541828186,0.050263068675590654
base_k6,hgb,0.0,0.07054149541828186,0.050263068675590654
base_k6,lag_k12_d2,0.0,0.07054149541828186,0.050263068675590654
base_k6,lag_k16_d3,0.0,0.07054149541828186,0.050263068675590654
base_k6,lag_k24_d2,0.0,0.07054149541828186,0.050263068675590654
base_k6,base_k8,0.0,0.07054149541828186,0.050263068675590654
base_k8,lag_k24_d2,0.0,0.0705536548225406,0.050599956125115024
base_k8,hgb,0.0,0.0705536548225406,0.050599956125115024
base_k12,base_k8,1.0,0.0705536548225406,0.050599956125115024
base_k8,lag_k16_d3,0.0,0.0705536548225406,0.050599956125115024
base_k6,base_k8,1.0,0.0705536548225406,0.050599956125115024
base_k8,lag_k12_d2,0.0,0.0705536548225406,0.050599956125115024
base_k12,base_k8,0.9500000000000001,0.07055664058518295,0.05063489730228913
base_k12,base_k8,0.9,0.0705644012299911,0.05067576883083951
base_k12,base_k8,0.8500000000000001,0.07057693518182594,0.05071918380600612
base_k12,base_k6,0.45,0.07058756048871107,0.05085071408050634
base_k12,base_k8,0.8,0.07059423989819676,0.05076344600960578
base_k12,lag_k24_d2,0.2,0.07060453012891138,0.05106869257754256
base_k12,base_k8,0.75,0.07061631187183777,0.050809332047192984
base_k12,base_k8,0.7000000000000001,0.0706431466342572,0.05085713073455408
base_k12,base_k6,0.4,0.07065138708415805,0.05093512336209984
base_k12,hgb,0.05,0.0706690396152392,0.05113066336772343
base_k12,base_k8,0.65,0.07067473876025067,0.050905225227852756
base_k12,base_k8,0.6000000000000001,0.0707110818733683,0.05095496148947214
base_k12,base_k6,0.35000000000000003,0.07072508227728201,0.05102067051249857
base_k12,lag_k12_d2,0.1,0.07074156952713037,0.0511791305120994
base_k12,base_k8,0.55,0.07075216865232273,0.05100734494770366
base_k12,lag_k16_d3,0.1,0.0707672749624896,0.05121203333363627
base_k12,base_k8,0.5,0.07079799083832286,0.05106028962833241
base_k12,base_k6,0.30000000000000004,0.07080861525538942,0.05111088927709242
base_k12,lag_k24_d2,0.15000000000000002,0.0708122776139464,0.05124711371403775
base_k12,base_k8,0.45,0.07084853924331667,0.0511194256699614
base_k12,base_k6,0.25,0.07090195124739451,0.05120628616414469
base_k12,base_k8,0.4,0.07090380375912371,0.05118247992722065
base_k12,base_k8,0.35000000000000003,0.07096377336743637,0.05124716301367837
base_k12,base_k6,0.2,0.07100505159518393,0.05131284813631948
base_k12,base_k8,0.30000000000000004,0.07102843615066731,0.05131392484583033
base_k12,lag_k24_d2,0.1,0.07103321982318403,0.05143987407891816
base_k12,base_k8,0.25,0.07109777930361805,0.051386444041843636
base_k12,lag_k12_d2,0.05,0.0711161722912994,0.05152166154172641
base_k12,base_k6,0.15000000000000002,0.07111787383229505,0.051434258713973086
base_k12,lag_k16_d3,0.05,0.07113158839567091,0.05153671087876874
base_k12,base_k8,0.2,0.07117178914594281,0.051469834766653115
base_k12,base_k6,0.1,0.07124037176954108,0.051574649758640866
base_k12,base_k8,0.15000000000000002,0.07125045113537956,0.05156798950982733
base_k12,lag_k24_d2,0.05,0.0712672340381389,0.05165512883953066
base_k12,base_k8,0.1,0.07133374988171928,0.051668521481733364
base_k12,base_k6,0.05,0.07137249558718889,0.05172241219626854
base_k12,base_k8,0.05,0.07142166916148254,0.05177104893738676
base_k12,lag_k16_d3,0.0,0.0715141919332719,0.05187749096680866
base_k12,hgb,0.0,0.0715141919332719,0.05187749096680866
base_k12,lag_k24_d2,0.0,0.0715141919332719,0.05187749096680866
base_k12,base_k8,0.0,0.0715141919332719,0.05187749096680866
base_k12,base_k6,0.0,0.0715141919332719,0.05187749096680866
base_k12,lag_k12_d2,0.0,0.0715141919332719,0.05187749096680866
