a,b,w_b,rmse,mae
base_k8,hgb,0.35000000000000003,0.06611053410870653,0.04652019649768859
hgb,lag_k24_d2,0.8,0.06624705326477033,0.04660464721928068
hgb,lag_k12_d2,0.8500000000000001,0.06630088336668151,0.04685863107159919
hgb,lag_k16_d3,0.9,0.06630728669008573,0.04705352771931493
base_k12,hgb,0.35000000000000003,0.0664667406627871,0.04713908146986156
base_k6,hgb,0.30000000000000004,0.06661021489606356,0.04683243670217351
base_k8,hgb,0.30000000000000004,0.06662889064039187,0.047027054829502736
hgb,lag_k24_d2,0.8500000000000001,0.06690007760833731,0.047186587666477854
hgb,lag_k12_d2,0.9,0.06693141838782633,0.0474124657235485
hgb,lag_k16_d3,0.9500000000000001,0.06693365679446185,0.047606587312873795
base_k12,hgb,0.30000000000000004,0.06705704602725358,0.0477400162774383
base_k6,hgb,0.25,0.06716962709441746,0.0473466526744089
base_k8,hgb,0.25,0.06718775922587138,0.04756680549634539
lag_k16_d3,lag_k24_d2,0.15000000000000002,0.06755637465138738,0.04816970572085195
lag_k16_d3,lag_k24_d2,0.1,0.06756086772831342,0.048169235187690826
lag_k16_d3,lag_k24_d2,0.2,0.06756291251618846,0.048171871658570155
base_k6,lag_k16_d3,0.9,0.06757329880373794,0.04819448526749652
lag_k16_d3,lag_k24_d2,0.05,0.06757638954666252,0.048176677444797235
base_k6,lag_k16_d3,0.9500000000000001,0.06757895159050176,0.048186939193146865
lag_k16_d3,lag_k24_d2,0.25,0.0675804781212535,0.04817827125346022
base_k6,lag_k16_d3,0.8500000000000001,0.06758597874826612,0.04820445755377117
base_k8,lag_k16_d3,0.9500000000000001,0.0675948050873899,0.04821148207989288
base_k12,lag_k16_d3,0.9500000000000001,0.06760171610347548,0.04824131721026324
hgb,lag_k24_d2,0.9,0.0676024334907015,0.04779729046958958
lag_k12_d2,lag_k16_d3,1.0,0.06760293250974742,0.048192629982736435
base_k12,lag_k16_d3,1.0,0.06760293250974742,0.048192629982736435
hgb,lag_k16_d3,1.0,0.06760293250974742,0.048192629982736435
lag_k16_d3,lag_k24_d2,0.0,0.06760293250974742,0.048192629982736435
base_k6,lag_k16_d3,1.0,0.06760293250974742,0.048192629982736435
base_k8,lag_k16_d3,1.0,0.06760293250974742,0.048192629982736435
base_k8,lag_k16_d3,0.9,0.06760340315272735,0.04824417303708159
hgb,lag_k12_d2,0.9500000000000001,0.06760696734719576,0.04798998647136103
lag_k16_d3,lag_k24_d2,0.30000000000000004,0.06760906287118527,0.04818984949948403
lag_k12_d2,lag_k16_d3,0.9500000000000001,0.06761090568896608,0.04819177737655875
base_k6,lag_k16_d3,0.8,0.06761698111049372,0.048230357323152985
base_k12,lag_k16_d3,0.9,0.06762180620521385,0.048304211681479504
lag_k12_d2,lag_k16_d3,0.9,0.06762186483419814,0.048192723749840835
base_k8,lag_k16_d3,0.8500000000000001,0.06762872032651013,0.048280573911703796
lag_k12_d2,lag_k16_d3,0.8500000000000001,0.06763580849398015,0.04819476774764343
lag_k16_d3,lag_k24_d2,0.35000000000000003,0.0676486527976582,0.04820525577112282
lag_k12_d2,lag_k16_d3,0.8,0.06765273482292976,0.04820015108964013
base_k12,lag_k16_d3,0.8500000000000001,0.06766318383640602,0.04837535656490308
base_k6,lag_k16_d3,0.75,0.06766628070632082,0.048272120618001874
base_k8,lag_k16_d3,0.8,0.06767073784373605,0.04833052164894807
lag_k12_d2,lag_k16_d3,0.75,0.06767264158296497,0.048206537369354464
base_k12,hgb,0.25,0.06769311887354934,0.0483667885023232
lag_k12_d2,lag_k16_d3,0.7000000000000001,0.067695526144781,0.04821497120055561
lag_k16_d3,lag_k24_d2,0.4,0.06769922859347738,0.04822629721804614
lag_k12_d2,lag_k16_d3,0.65,0.06772138548958158,0.04822653385122544
base_k12,lag_k16_d3,0.8,0.06772580997969847,0.04845715554116935
base_k8,lag_k16_d3,0.75,0.0677294246230777,0.0483928976972075
base_k6,lag_k16_d3,0.7000000000000001,0.06773383758322203,0.04832190738357546
