scope,n,baseline_rmse,corrected_rmse,delta,alphas
2025,2268,0.062438112899989955,0.06212049344194161,-0.0003176194580483474,"0.249,0.186,0.196"
all,7932,0.06944909527214516,0.06900284065581216,-0.0004462546163329917,"0.249,0.186,0.196"
history,5664,0.07206547158922658,0.07157338144925182,-0.0004920901399747546,"0.249,0.186,0.196"
new25,1137,0.07245518201255599,0.0722781360162875,-0.00017704599626848505,"0.249,0.186,0.196"
shared25,1131,0.05039954490552473,0.0498652200094763,-0.0005343248960484256,"0.249,0.186,0.196"
