method,rmse,mae,n,rmse_s2,rmse_landsat,rmse_modis
lag_k12_d2,0.0715185164950814,0.04256183197203794,2775,0.07079629212886028,0.07209446467394441,0.06833318740610399
lag_k16_d3,0.0721504553103897,0.042947312202027986,2775,0.07179496468631276,0.0719037639650729,0.06818756542399475
base_k6,0.07353548264053482,0.04411069558915128,2775,0.07249749580834315,0.07217528736092954,0.07593812931777356
base_k8,0.07388825986884918,0.04490840888223543,2775,0.07286277553987316,0.07251346057703956,0.07625289228366804
lag_k24_d2,0.07587475721901595,0.04633822367004827,2775,0.07645282558927952,0.07392434926475186,0.07086088631378797
