method,n,rmse,mae
joint40+season24_trim*0.15,2644,0.07473139240775256,0.04831093987171709
hgb+season24_trim*0.15,2644,0.07474623442802623,0.04811325494566106
joint40+season16_trim*0.15,2644,0.07476422244597679,0.048389502649985545
hgb+season16_mean*0.15,2644,0.07479416178135444,0.04826789302636553
joint40+season24_median*0.15,2644,0.07483340599282999,0.04835043935709759
hgb+season16_trim*0.15,2644,0.07484031841121304,0.04828856743645044
joint40+season8_mean*0.15,2644,0.07484211998244758,0.04845811572093756
hgb+doy8_none*0.3,2644,0.0748667718630831,0.046195965533008324
joint40+season16_median*0.15,2644,0.07487256369915168,0.04844757890663371
hgb+season24_median*0.15,2644,0.07487354814503439,0.04818954426973697
joint40+season8_trim*0.15,2644,0.07487665454615429,0.048473192440126246
hgb+doy8_ridge*0.3,2644,0.07490497655391323,0.04618685053963464
joint40+date0_none*0.5,2644,0.07490628803962887,0.04567751595255473
hgb+season8_mean*0.15,2644,0.07495208716163979,0.0483861396838571
hgb+season16_median*0.15,2644,0.07496822056556858,0.048368498915233295
joint40+season8_median*0.15,2644,0.07498333903917714,0.048542891730607156
hgb+season8_trim*0.15,2644,0.07498395011990325,0.04842475041693056
joint40+date0_ridge*0.5,2644,0.07498629643459616,0.045837286494172784
hgb+doy16_none*0.3,2644,0.07499001449172205,0.046260242539445544
hgb+doy16_ridge*0.3,2644,0.07499550857919236,0.04623839163650581
hgb+season8_median*0.15,2644,0.07510920821747981,0.048519023179353
hgb+date0_none*0.5,2644,0.07515316983791961,0.04564047000904071
ext40+year_doy8_ridge*0.4,2644,0.07531325744556455,0.046613659079352485
ext40+year_doy8_none*0.4,2644,0.07533637135665683,0.04657968932609439
hgb+date0_ridge*0.5,2644,0.07538562850547788,0.04593278407092363
ext40+doy8_none*0.4,2644,0.07553939938979802,0.047009144680304836
ext40+doy8_ridge*0.4,2644,0.07560649649242411,0.04696694085404975
ext40+doy16_none*0.4,2644,0.07569613757872747,0.046994523947490444
ext40+doy16_ridge*0.4,2644,0.0757346389056005,0.04703221004200938
joint40+year_doy8_ridge*0.4,2644,0.07573731377438998,0.04692533944792148
joint40+year_doy8_none*0.4,2644,0.07578014215662089,0.04689466584586205
joint40+doy8_none*0.4,2644,0.07598974419234758,0.0473619635825557
joint40+doy8_ridge*0.4,2644,0.07603723407748621,0.04728408791349772
joint40+doy16_none*0.4,2644,0.07612301102822729,0.04731830222272251
joint40+doy16_ridge*0.4,2644,0.0761573341387517,0.04733738483398908
ext40+season24_mean*0.2,2644,0.07620487089856719,0.049845759458956015
ext40+season24_trim*0.2,2644,0.07624775350851208,0.04984025570239458
ext40+season16_mean*0.2,2644,0.07629600493719937,0.04989294129888176
