lag_weight,method,alpha,cap,baseline_rmse_exact,baseline_rmse_random,baseline_rmse_random2025,delta_rmse_exact,delta_rmse_random,delta_rmse_random2025,folds_exact,folds_random,folds_random2025,rmse_exact,rmse_random,rmse_random2025,wins_exact,wins_random,wins_random2025,worst_delta,mean_delta
0.300000000,source_year,0.100000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000153130,0.000063194,0.000090554,6,3,3,0.061954288,0.071331500,0.061603927,2,1,0,0.000153130,0.000102293
0.300000000,source_year,1.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000156331,0.000062822,0.000089349,6,3,3,0.061957489,0.071331127,0.061602722,2,1,0,0.000156331,0.000102834
0.400000000,source,100.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000160090,0.000003238,0.000044337,6,3,3,0.062013779,0.071669476,0.061517082,2,2,0,0.000160090,0.000069221
0.350000000,source,100.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000162113,0.000007762,0.000041073,6,3,3,0.061969400,0.071438224,0.061511623,2,2,0,0.000162113,0.000070316
0.400000000,source_year_doy,100.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000164531,0.000056874,0.000112327,6,3,3,0.062018221,0.071723112,0.061585072,2,0,1,0.000164531,0.000111244
0.400000000,source,100.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000166334,0.000003238,0.000044337,6,3,3,0.062020023,0.071669476,0.061517082,2,2,0,0.000166334,0.000071303
0.400000000,source,100.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000166334,0.000003238,0.000044337,6,3,3,0.062020023,0.071669476,0.061517082,2,2,0,0.000166334,0.000071303
0.350000000,source_year_doy,100.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000166449,0.000060873,0.000104977,6,3,3,0.061973737,0.071491335,0.061575527,2,0,1,0.000166449,0.000110766
0.350000000,source,100.000000000,0.020000000,0.061807288,0.071430462,0.061470550,0.000168310,0.000007762,0.000041073,6,3,3,0.061975598,0.071438224,0.061511623,2,2,0,0.000168310,0.000072382
0.350000000,source,100.000000000,0.040000000,0.061807288,0.071430462,0.061470550,0.000168310,0.000007762,0.000041073,6,3,3,0.061975598,0.071438224,0.061511623,2,2,0,0.000168310,0.000072382
0.400000000,source_year,100.000000000,0.010000000,0.061853690,0.071666238,0.061472745,0.000170334,0.000036708,0.000081567,6,3,3,0.062024024,0.071702946,0.061554312,2,2,0,0.000170334,0.000096203
0.325000000,source,100.000000000,0.010000000,0.061798059,0.071355396,0.061489887,0.000171256,0.000013219,0.000045128,6,3,3,0.061969315,0.071368615,0.061535015,2,2,0,0.000171256,0.000076534
0.300000000,source,100.000000000,0.010000000,0.061801158,0.071268305,0.061513373,0.000172239,0.000015422,0.000043675,6,3,3,0.061973397,0.071283727,0.061557048,2,2,0,0.000172239,0.000077112
0.350000000,source_year,100.000000000,0.010000000,0.061807288,0.071430462,0.061470550,0.000172813,0.000041165,0.000075373,6,3,3,0.061980101,0.071471627,0.061545923,2,1,0,0.000172813,0.000096450
0.400000000,source,0.010000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000175119,0.000011744,0.000043987,6,3,3,0.062028808,0.071677982,0.061516732,1,1,1,0.000175119,0.000076950
0.400000000,source_year,100.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000175772,0.000036717,0.000081567,6,3,3,0.062029462,0.071702955,0.061554312,2,2,0,0.000175772,0.000098019
0.400000000,source_year,100.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000175772,0.000036717,0.000081567,6,3,3,0.062029462,0.071702955,0.061554312,2,2,0,0.000175772,0.000098019
0.400000000,source_year_doy,100.000000000,0.020000000,0.061853690,0.071666238,0.061472745,0.000175918,0.000057243,0.000112327,6,3,3,0.062029607,0.071723481,0.061585072,2,0,1,0.000175918,0.000115162
0.400000000,source_year_doy,100.000000000,0.040000000,0.061853690,0.071666238,0.061472745,0.000175918,0.000057243,0.000112327,6,3,3,0.062029607,0.071723481,0.061585072,2,0,1,0.000175918,0.000115162
