route,policy,n,pooled_rmse,per_seed
soft_all_r2_l0_p4,cal_delta_dist_s250,10576,0.0668782710,0:0.070382;1:0.063165;2:0.065379;70404:0.068358
soft_all_r2_l0_p4,cal_delta_dist_s100,10576,0.0668802990,0:0.070384;1:0.063173;2:0.065373;70404:0.068362
soft_all_r2_l0_p4,cal_delta_dist_s500,10576,0.0668804522,0:0.070385;1:0.063163;2:0.065387;70404:0.068359
soft_crop_r1_l0_p4,cal_cohort_dist_s400,10576,0.0668967808,0:0.070521;1:0.063225;2:0.065230;70404:0.068376
soft_crop_r1_l0_p4,cal_cohort_dist_s200,10576,0.0668969226,0:0.070522;1:0.063229;2:0.065223;70404:0.068377
soft_crop_r1_l0_p4,cal_cohort_dist_s100,10576,0.0668973122,0:0.070524;1:0.063232;2:0.065219;70404:0.068378
soft_crop_r1_l0_p4,cal_cohort_dist_s50,10576,0.0668975289,0:0.070524;1:0.063233;2:0.065218;70404:0.068379
soft_crop_r1_l0_p4,fixed_050_040_025,10576,0.0668983552,0:0.070532;1:0.063186;2:0.065240;70404:0.068397
soft_all_r1_l0_p4,cal_cohort_dist_s50,10576,0.0668999447,0:0.070531;1:0.063251;2:0.065265;70404:0.068320
soft_all_r1_l0_p4,cal_cohort_dist_s200,10576,0.0668999927,0:0.070529;1:0.063249;2:0.065270;70404:0.068319
soft_all_r1_l0_p4,cal_cohort_dist_s100,10576,0.0668999928,0:0.070531;1:0.063250;2:0.065266;70404:0.068320
soft_all_r1_l0_p4,cal_cohort_dist_s400,10576,0.0669003597,0:0.070528;1:0.063246;2:0.065277;70404:0.068317
soft_crop_r1_l0_p4,fixed_050_040_030,10576,0.0669023989,0:0.070530;1:0.063191;2:0.065255;70404:0.068395
soft_crop_r1_l0_p4,fixed_045_040_025,10576,0.0669049604,0:0.070516;1:0.063209;2:0.065270;70404:0.068389
soft_all_r1_l0_p4,fixed_050_040_025,10576,0.0669050542,0:0.070541;1:0.063217;2:0.065293;70404:0.068334
soft_all_r1_l0_p4,fixed_050_040_030,10576,0.0669090974,0:0.070539;1:0.063222;2:0.065308;70404:0.068332
soft_crop_r1_l0_p4,fixed_050_035_025,10576,0.0669092980,0:0.070534;1:0.063185;2:0.065272;70404:0.068407
soft_crop_r1_l0_p4,fixed_055_040_025,10576,0.0669109672,0:0.070566;1:0.063182;2:0.065231;70404:0.068423
soft_crop_r1_l0_p4,cal_dist_s400,10576,0.0669112044,0:0.070545;1:0.063215;2:0.065258;70404:0.068389
soft_crop_r1_l0_p4,cal_dist_s200,10576,0.0669116307,0:0.070549;1:0.063215;2:0.065253;70404:0.068392
soft_crop_r1_l0_p4,cal_dist_s100,10576,0.0669123095,0:0.070552;1:0.063216;2:0.065250;70404:0.068394
soft_all_r1_l0_p4,fixed_045_040_025,10576,0.0669123656,0:0.070524;1:0.063238;2:0.065321;70404:0.068334
soft_crop_r1_l0_p4,cal_dist_s50,10576,0.0669128172,0:0.070553;1:0.063216;2:0.065248;70404:0.068396
soft_crop_r1_l0_p4,cal_dist_s20,10576,0.0669131875,0:0.070554;1:0.063216;2:0.065247;70404:0.068397
soft_crop_r1_l0_p4,cal_year_dist_s400,10576,0.0669145363,0:0.070556;1:0.063220;2:0.065251;70404:0.068393
soft_all_r1_l0_p4,fixed_050_035_025,10576,0.0669145592,0:0.070543;1:0.063216;2:0.065319;70404:0.068345
soft_all_r2_l0_p4,cal_delta_s400,10576,0.0669148880,0:0.070414;1:0.063187;2:0.065445;70404:0.068386
soft_crop_r1_l0_p4,cal_year_dist_s200,10576,0.0669151444,0:0.070564;1:0.063220;2:0.065244;70404:0.068394
soft_all_r2_l0_p4,cal_delta_s200,10576,0.0669158817,0:0.070415;1:0.063187;2:0.065446;70404:0.068387
soft_crop_r1_l0_p4,cal_year_dist_s100,10576,0.0669159434,0:0.070569;1:0.063219;2:0.065241;70404:0.068396
soft_all_r1_l0_p4,cal_dist_s400,10576,0.0669161652,0:0.070553;1:0.063240;2:0.065311;70404:0.068326
soft_all_r1_l0_p4,cal_dist_s200,10576,0.0669162715,0:0.070557;1:0.063239;2:0.065306;70404:0.068329
soft_all_r2_l0_p4,cal_delta_s100,10576,0.0669164875,0:0.070416;1:0.063188;2:0.065447;70404:0.068388
soft_crop_r1_l0_p4,cal_year_dist_s50,10576,0.0669166058,0:0.070573;1:0.063219;2:0.065239;70404:0.068396
soft_all_r1_l0_p4,cal_dist_s100,10576,0.0669167394,0:0.070559;1:0.063239;2:0.065303;70404:0.068331
soft_all_r2_l0_p4,cal_delta_s50,10576,0.0669168253,0:0.070416;1:0.063188;2:0.065447;70404:0.068388
soft_all_r1_l0_p4,fixed_055_040_025,10576,0.0669169086,0:0.070575;1:0.063216;2:0.065285;70404:0.068353
soft_all_r1_l0_p4,cal_dist_s50,10576,0.0669171245,0:0.070561;1:0.063240;2:0.065301;70404:0.068332
soft_all_r1_l0_p4,cal_dist_s20,10576,0.0669174147,0:0.070562;1:0.063240;2:0.065300;70404:0.068333
soft_all_r1_l0_p4,cal_year_dist_s50,10576,0.0669190312,0:0.070591;1:0.063244;2:0.065268;70404:0.068336
soft_all_r1_l0_p4,cal_year_dist_s100,10576,0.0669195653,0:0.070586;1:0.063244;2:0.065276;70404:0.068335
soft_crop_r1_l0_p4,cal_delta_dist_s250,10576,0.0669201872,0:0.070520;1:0.063268;2:0.065271;70404:0.068390
soft_all_r1_l0_p4,cal_year_dist_s200,10576,0.0669202089,0:0.070579;1:0.063246;2:0.065285;70404:0.068335
soft_all_r1_l0_p4,cal_year_dist_s400,10576,0.0669211059,0:0.070569;1:0.063248;2:0.065298;70404:0.068335
soft_crop_r1_l0_p4,cal_delta_dist_s500,10576,0.0669211828,0:0.070522;1:0.063261;2:0.065280;70404:0.068389
soft_crop_r1_l0_p4,cal_delta_dist_s100,10576,0.0669233619,0:0.070521;1:0.063280;2:0.065265;70404:0.068395
soft_all_r1_l0_p4,cal_delta_dist_s250,10576,0.0669237832,0:0.070530;1:0.063289;2:0.065323;70404:0.068324
soft_all_r1_l0_p4,cal_delta_dist_s500,10576,0.0669256182,0:0.070532;1:0.063285;2:0.065332;70404:0.068324
soft_all_r1_l0_p4,cal_delta_dist_s100,10576,0.0669259702,0:0.070531;1:0.063299;2:0.065316;70404:0.068328
soft_all_r2_l0_p4,base_a040,10576,0.0669261744,0:0.070406;1:0.063208;2:0.065478;70404:0.068387
soft_crop_r1_l0_p4,cal_delta_s400,10576,0.0669508074,0:0.070543;1:0.063266;2:0.065337;70404:0.068423
soft_crop_r1_l0_p4,cal_delta_s200,10576,0.0669517530,0:0.070544;1:0.063267;2:0.065337;70404:0.068425
soft_crop_r1_l0_p4,cal_delta_s100,10576,0.0669523182,0:0.070544;1:0.063267;2:0.065337;70404:0.068427
soft_crop_r1_l0_p4,cal_delta_s50,10576,0.0669526347,0:0.070545;1:0.063267;2:0.065337;70404:0.068428
soft_crop_r1_l0_p4,base_a040,10576,0.0669553234,0:0.070525;1:0.063282;2:0.065374;70404:0.068410
soft_all_r1_l0_p4,cal_delta_s400,10576,0.0669571610,0:0.070552;1:0.063296;2:0.065389;70404:0.068362
soft_all_r1_l0_p4,cal_delta_s200,10576,0.0669580119,0:0.070553;1:0.063296;2:0.065389;70404:0.068364
soft_all_r1_l0_p4,cal_delta_s100,10576,0.0669585212,0:0.070553;1:0.063297;2:0.065389;70404:0.068365
soft_all_r1_l0_p4,cal_delta_s50,10576,0.0669588072,0:0.070554;1:0.063297;2:0.065389;70404:0.068366
soft_all_r1_l0_p4,base_a040,10576,0.0669633799,0:0.070532;1:0.063307;2:0.065425;70404:0.068362
soft_all_r32_l0_p4,cal_year_dist_s400,10576,0.0677482900,0:0.071128;1:0.064216;2:0.066390;70404:0.069057
soft_all_r32_l0_p4,cal_year_dist_s200,10576,0.0677503358,0:0.071137;1:0.064225;2:0.066381;70404:0.069056
soft_all_r32_l0_p4,cal_year_dist_s100,10576,0.0677521509,0:0.071144;1:0.064232;2:0.066375;70404:0.069055
post_mode,cal_year_dist_s400,10576,0.0677533487,0:0.071056;1:0.064228;2:0.066409;70404:0.069121
soft_all_r32_l0_p4,cal_year_dist_s50,10576,0.0677534236,0:0.071150;1:0.064236;2:0.066371;70404:0.069054
post_mode,cal_year_dist_s200,10576,0.0677548085,0:0.071057;1:0.064240;2:0.066400;70404:0.069123
soft_all_r32_l0_p4,cal_cohort_dist_s400,10576,0.0677566925,0:0.071135;1:0.064214;2:0.066410;70404:0.069064
post_mode,cal_year_dist_s100,10576,0.0677574697,0:0.071059;1:0.064250;2:0.066397;70404:0.069126
soft_all_r32_l0_p4,cal_cohort_dist_s200,10576,0.0677584869,0:0.071141;1:0.064224;2:0.066402;70404:0.069064
soft_all_r32_l0_p4,cal_dist_s400,10576,0.0677587503,0:0.071142;1:0.064207;2:0.066421;70404:0.069063
soft_all_r32_l0_p4,cal_cohort_dist_s100,10576,0.0677600302,0:0.071145;1:0.064231;2:0.066398;70404:0.069064
post_mode,cal_year_dist_s50,10576,0.0677600899,0:0.071060;1:0.064257;2:0.066397;70404:0.069128
soft_all_r32_l0_p4,cal_dist_s200,10576,0.0677604152,0:0.071149;1:0.064214;2:0.066415;70404:0.069060
post_mode,cal_cohort_dist_s200,10576,0.0677605147,0:0.071082;1:0.064256;2:0.066366;70404:0.069138
post_mode,cal_cohort_dist_s400,10576,0.0677605542,0:0.071081;1:0.064244;2:0.066383;70404:0.069134
soft_all_r32_l0_p4,cal_cohort_dist_s50,10576,0.0677610243,0:0.071147;1:0.064235;2:0.066395;70404:0.069064
post_mode,cal_cohort_dist_s100,10576,0.0677612026,0:0.071083;1:0.064264;2:0.066357;70404:0.069142
post_mode,cal_cohort_dist_s50,10576,0.0677617490,0:0.071083;1:0.064268;2:0.066351;70404:0.069144
soft_all_r32_l0_p4,cal_dist_s100,10576,0.0677617658,0:0.071154;1:0.064219;2:0.066412;70404:0.069059
soft_all_r32_l0_p4,cal_dist_s50,10576,0.0677626268,0:0.071157;1:0.064222;2:0.066410;70404:0.069058
soft_all_r32_l0_p4,cal_dist_s20,10576,0.0677632159,0:0.071159;1:0.064224;2:0.066409;70404:0.069058
soft_all_r32_l0_p4,cal_delta_dist_s500,10576,0.0677635139,0:0.071116;1:0.064233;2:0.066435;70404:0.069069
soft_all_r32_l0_p4,cal_delta_dist_s250,10576,0.0677647494,0:0.071122;1:0.064248;2:0.066428;70404:0.069061
soft_all_r32_l0_p4,cal_delta_dist_s100,10576,0.0677682212,0:0.071130;1:0.064268;2:0.066421;70404:0.069054
post_mode,cal_dist_s400,10576,0.0677682413,0:0.071099;1:0.064251;2:0.066403;70404:0.069120
post_mode,cal_dist_s200,10576,0.0677687984,0:0.071102;1:0.064262;2:0.066391;70404:0.069120
post_mode,cal_dist_s100,10576,0.0677697304,0:0.071105;1:0.064269;2:0.066384;70404:0.069121
post_mode,cal_dist_s50,10576,0.0677704417,0:0.071107;1:0.064273;2:0.066380;70404:0.069121
post_mode,cal_dist_s20,10576,0.0677709664,0:0.071108;1:0.064276;2:0.066377;70404:0.069122
soft_all_r32_l0_p4,cal_delta_s400,10576,0.0677770638,0:0.071123;1:0.064204;2:0.066475;70404:0.069104
soft_all_r32_l0_p4,cal_delta_s200,10576,0.0677777781,0:0.071124;1:0.064205;2:0.066476;70404:0.069105
soft_all_r32_l0_p4,cal_delta_s100,10576,0.0677781984,0:0.071124;1:0.064205;2:0.066476;70404:0.069105
soft_all_r32_l0_p4,cal_delta_s50,10576,0.0677784277,0:0.071124;1:0.064206;2:0.066476;70404:0.069105
post_mode,cal_delta_dist_s500,10576,0.0677899669,0:0.071094;1:0.064305;2:0.066445;70404:0.069120
post_mode,cal_delta_dist_s250,10576,0.0677903884,0:0.071096;1:0.064331;2:0.066424;70404:0.069115
post_mode,cal_delta_dist_s100,10576,0.0677934354,0:0.071101;1:0.064358;2:0.066405;70404:0.069115
post_mode,cal_delta_s400,10576,0.0678162302,0:0.071127;1:0.064242;2:0.066537;70404:0.069159
post_mode,cal_delta_s200,10576,0.0678170739,0:0.071129;1:0.064243;2:0.066539;70404:0.069158
post_mode,cal_delta_s100,10576,0.0678175874,0:0.071130;1:0.064243;2:0.066540;70404:0.069158
post_mode,cal_delta_s50,10576,0.0678178723,0:0.071130;1:0.064243;2:0.066540;70404:0.069157
soft_all_r32_l0_p4,base_a040,10576,0.0678607550,0:0.071224;1:0.064330;2:0.066540;70404:0.069148
soft_all_r32_l0_p4,fixed_045_040_025,10576,0.0678846338,0:0.071312;1:0.064360;2:0.066504;70404:0.069159
post_mode,base_a040,10576,0.0679511609,0:0.071240;1:0.064422;2:0.066657;70404:0.069289
soft_all_r32_l0_p4,fixed_050_040_025,10576,0.0679553625,0:0.071393;1:0.064438;2:0.066568;70404:0.069219
soft_all_r32_l0_p4,fixed_050_035_025,10576,0.0679610116,0:0.071390;1:0.064429;2:0.066593;70404:0.069228
soft_all_r32_l0_p4,fixed_050_040_030,10576,0.0679619062,0:0.071383;1:0.064444;2:0.066593;70404:0.069226
post_mode,fixed_045_040_025,10576,0.0679862056,0:0.071281;1:0.064451;2:0.066673;70404:0.069343
soft_all_r32_l0_p4,fixed_055_040_025,10576,0.0680398089,0:0.071488;1:0.064531;2:0.066645;70404:0.069292
post_mode,fixed_050_040_025,10576,0.0680782747,0:0.071360;1:0.064542;2:0.066779;70404:0.069435
post_mode,fixed_050_035_025,10576,0.0680867780,0:0.071360;1:0.064533;2:0.066815;70404:0.069443
post_mode,fixed_050_040_030,10576,0.0680876034,0:0.071364;1:0.064552;2:0.066800;70404:0.069437
post_mode,fixed_055_040_025,10576,0.0681855205,0:0.071454;1:0.064649;2:0.066901;70404:0.069543
