dataset,partition,method,n,rmse,mae,rmse_2025,mae_2025,n_2025,rmse_shared,mae_shared,n_shared,rmse_new,mae_new,n_new,rmse_S2,mae_S2,n_S2,rmse_L8,mae_L8,n_L8,rmse_MOD,mae_MOD,n_MOD
random_private_like,random0,interp_blend0.30,2644,0.0765333100171146,0.04696864454824279,0.05661383335280612,0.0380350907839329,756.0,0.05273652793325111,0.036809037406807604,377,0.07980549967018022,0.04865817780467025,2267.0,0.06862931640421373,0.04249941940315803,1156,0.08359404310344458,0.0464747881925092,1035,0.07875330594836702,0.05950190193434044,453
random_private_like,random0,robust_blend0.30,2644,0.07437741948100576,0.045356742621576,0.054115038619785956,0.03669608485951314,756.0,0.0512303145237197,0.03572549272424007,377,0.07755970389838908,0.046958410557745224,2267.0,0.06651755000835036,0.041092269211527754,1156,0.08238404615754878,0.04539709133640035,1035,0.07409660650951773,0.05614696412747569,453
random_private_like,random0,interp_blend0.40,2644,0.07849273408621543,0.048988408146653915,0.05898773849080735,0.040177275223874334,756.0,0.055259234418136516,0.03882111274749768,377,0.08171834587194542,0.0506792199532185,2267.0,0.07057628617430159,0.044277162684398165,1156,0.08437895389564203,0.04774897560338058,1035,0.0835593640519107,0.0638427402364013,453
random_private_like,random0,robust_blend0.40,2644,0.07537611265253297,0.04668150847300049,0.05534788624269389,0.03814460212842027,756.0,0.05298386843021735,0.037328948366319045,377,0.07848277818681279,0.04823683055514379,2267.0,0.06735596411031201,0.04221946598534277,1156,0.08264080293008604,0.046184753479320884,1035,0.0773303836204951,0.059203059321103604,453
random_private_like,random0,shock_shock_date_a0.35,2644,0.0736982684034008,0.04343951412697046,0.05305507242503763,0.03407537496317,756.0,0.04873359440227215,0.032969154270198024,377,0.07706959940098733,0.045180725272097585,2267.0,0.06583151620650914,0.03944851340598213,1156,0.08338653612911927,0.04445404037533645,1035,0.06895904617581393,0.05130609727576452,453
random_private_like,random0,shock_shock_date_a0.60,2644,0.07368885723588163,0.04338567249088547,0.05301371348679357,0.033940989332047984,756.0,0.048553337475954327,0.03280056453330984,377,0.07707802360918509,0.04514596613888106,2267.0,0.06589221157786641,0.03946056252991707,1156,0.08332971631402797,0.04430505889756013,1035,0.06890932408137689,0.05130148305152828,453
random_private_like,random0,shock_shock_date_a1.00,2644,0.07379082697829706,0.043439908495811634,0.053118505942832205,0.033931406981462686,756.0,0.048449332611211204,0.03267352335055104,377,0.07720258299750113,0.04523034837219595,2267.0,0.06610464037539568,0.03963841508563012,1156,0.0833127280220306,0.044144893621032404,1035,0.06907374894300858,0.0515301221328234,453
random_private_like,random0,shock_shock_crop_a0.35,2644,0.07363156150187902,0.043407333763178756,0.053014988647310905,0.034084853294355726,756.0,0.04859829501649408,0.03300571872250299,377,0.07700942049711847,0.045137112709069685,2267.0,0.06573181431698182,0.03944619311877797,1156,0.08331425925202265,0.044409014744644426,1035,0.06898542985107098,0.051227066145320715,453
random_private_like,random0,shock_shock_crop_a0.60,2644,0.07358355493251653,0.04331871902917273,0.05298073248723095,0.033976848617478496,756.0,0.04836329990438536,0.0328571075424858,377,0.07698050062231415,0.04505847532845856,2267.0,0.06572842940584413,0.03944256313483453,1156,0.08321180768344917,0.04420398490773988,1035,0.06897721287760727,0.05118756236148612,453
random_private_like,random0,shock_shock_crop_a1.00,2644,0.07363974397419261,0.043337247917378204,0.05315885143921673,0.03405901573141007,756.0,0.04824653608412764,0.03283007727076021,377,0.07705531413369528,0.045084580662757556,2267.0,0.06585114471297658,0.039571020502002535,1156,0.08313241083117101,0.04393817213701434,1035,0.06924672758263309,0.05157522214442209,453
random_private_like,random0,shock_shock_near_a0.35,2644,0.07379339665989551,0.043601115843115275,0.053191626332917005,0.034374538242054484,756.0,0.04912306131446926,0.03334386918335953,377,0.07713461660063424,0.0453068864609926,2267.0,0.06579754671151414,0.03950204567851455,1156,0.0835675649337272,0.044760099539116464,1035,0.06913464049363177,0.05141342706809806,453
random_private_like,random0,shock_shock_near_a0.60,2644,0.07380302129628809,0.043604935279671644,0.05317294291521715,0.03438000458044809,756.0,0.04913876207280407,0.03337906234216061,377,0.07714369264147995,0.04530548847660224,2267.0,0.06577990893128444,0.039490620462892013,1156,0.08361402548696968,0.04479039834656843,1035,0.06910908381144351,0.05139564974757251,453
random_private_like,random0,shock_shock_near_a1.00,2644,0.07385060589160221,0.04362699979073191,0.05318382955857548,0.03441036045760712,756.0,0.04920305971007802,0.0334502637548357,377,0.07718997501381482,0.04531938156644117,2267.0,0.065773752268738,0.0394819708728004,1156,0.08371691486159066,0.04485833409153156,1035,0.06913613318989822,0.05139128771082289,453
