protocol,part,method,n,acc,ll
exact,2019,sequence,249,0.678714859437751,1.834824793334533
exact,2020,sequence,222,0.8153153153153153,2.089213593815256
exact,2021,sequence,130,0.7076923076923077,1.5988162246505475
exact,2022,sequence,192,0.6666666666666666,1.4437425437579305
exact,2023,sequence,169,0.7869822485207101,1.6145143885332867
exact,2024,sequence,152,0.5789473684210527,1.5966813927824273
random,0,sequence,2644,0.7931164901664145,1.8261825794768143
random,1,sequence,2644,0.7749621785173979,1.8546595673410207
random,2,sequence,2644,0.7938729198184569,1.850700494096787
