seed,w,rmse,mae
0,-0.2,0.0748004859336545,0.044888871331731695
0,-0.15000000000000002,0.07448509792325253,0.04449350947981545
0,-0.10000000000000002,0.07421389817196965,0.04415286974817855
0,-0.05000000000000002,0.0739873725958675,0.043865874954789524
0,-2.7755575615628914e-17,0.0738059325387686,0.04362190292329903
0,0.04999999999999996,0.07366991112192332,0.043428485508389736
0,0.09999999999999998,0.07357956023260936,0.04328341754642014
0,0.14999999999999997,0.0735350482141243,0.04319042682962921
0,0.19999999999999996,0.07353645830606928,0.04313748919109462
0,0.24999999999999994,0.07358378786841727,0.04312968636586946
0,0.29999999999999993,0.07367694840617034,0.043174324191454914
0,0.3499999999999999,0.07381576639407075,0.043265496356752996
0,0.39999999999999997,0.07399998488351098,0.043399052493681915
0,0.4499999999999999,0.07422926585716019,0.04358951951181721
0,0.49999999999999994,0.07450319328151893,0.04384351386268684
0,0.5499999999999998,0.07482127679417837,0.04415885662723949
0,0.5999999999999999,0.07518295595143908,0.04452020167053383
0,0.6499999999999999,0.07558760495344649,0.044914383395483495
0,0.7,0.07603453775829663,0.045340876479155696
0,0.75,0.07652301349368483,0.04579632628980213
0,0.7999999999999998,0.07705224207450935,0.046295296510188
0,0.8499999999999999,0.07762138993718289,0.046840339115490244
0,0.8999999999999999,0.07822958580593975,0.047410224693014334
0,0.95,0.07887592641278371,0.04800659589436026
0,1.0,0.07955948210048967,0.04863096723034177
1,-0.2,0.06881732053467365,0.045303431561570566
1,-0.15000000000000002,0.06831086710673913,0.04483942270123673
1,-0.10000000000000002,0.06785257730988224,0.04441089294056911
1,-0.05000000000000002,0.06744343299187056,0.04403731795447388
1,-2.7755575615628914e-17,0.06708433336689526,0.04371069895538836
1,0.04999999999999996,0.06677608581108176,0.043440238653914574
1,0.09999999999999998,0.06651939726601247,0.04323271453575276
1,0.14999999999999997,0.06631486645115584,0.04309206515826196
1,0.19999999999999996,0.06616297707670125,0.04300189556228609
1,0.24999999999999994,0.06606409223084786,0.04295857699025102
1,0.29999999999999993,0.06601845009038203,0.04297019585605473
1,0.3499999999999999,0.06602616107122214,0.04304848760805583
1,0.39999999999999997,0.06608720649782444,0.04317939193879681
1,0.4499999999999999,0.06620143882866614,0.04336644193371439
1,0.49999999999999994,0.06636858343148191,0.043594383653666156
1,0.5499999999999998,0.06658824185870911,0.04387123498701358
1,0.5999999999999999,0.06685989653284487,0.044209951736120266
1,0.6499999999999999,0.0671829167150989,0.044588335549414077
1,0.7,0.067556565600462,0.04500668335773128
1,0.75,0.06798000835927831,0.0454609528864255
1,0.7999999999999998,0.06845232093027956,0.04595886959001371
1,0.8499999999999999,0.06897249936295512,0.046497399801053746
1,0.8999999999999999,0.0695394695077559,0.04705848377491133
1,0.95,0.0701520968602065,0.04765194814950006
1,1.0,0.07080919637846411,0.048289509720295505
2,-0.2,0.06986963531666142,0.04255296850291234
2,-0.15000000000000002,0.06942095701133602,0.04209632363753904
2,-0.10000000000000002,0.06902707140622585,0.04168961131744019
2,-0.05000000000000002,0.06868892110766171,0.041340484706865376
2,-2.7755575615628914e-17,0.06840733265091457,0.04107291079828163
2,0.04999999999999996,0.06818300682248567,0.040875765867349464
2,0.09999999999999998,0.0680165101998133,0.04073719746862988
2,0.14999999999999997,0.0679082681389492,0.04066515062663476
2,0.19999999999999996,0.06785855940826825,0.04067124804463247
2,0.24999999999999994,0.06786751262396065,0.04074976827094302
2,0.29999999999999993,0.06793510459273157,0.04089967629669786
2,0.3499999999999999,0.06806116061125636,0.04111974102573933
2,0.39999999999999997,0.06824535671341331,0.04138940092734566
2,0.4499999999999999,0.06848722379827317,0.041702230296056735
2,0.49999999999999994,0.0687861535173498,0.04207507595745599
2,0.5499999999999998,0.0691414057515033,0.04251350046262915
2,0.5999999999999999,0.06955211746841031,0.04299580259860129
2,0.6499999999999999,0.07001731272227615,0.04350458253581209
2,0.7,0.07053591353929159,0.04405414443099179
2,0.75,0.07110675142530248,0.04463558354607887
2,0.7999999999999998,0.0717285792356229,0.04524976500354889
2,0.8499999999999999,0.07240008315966387,0.04589683961661633
2,0.8999999999999999,0.07311989459343736,0.04658792496532618
2,0.95,0.07388660169914753,0.047310427524887774
2,1.0,0.0746987604810514,0.048055053371923305
