protocol,partition,method,source,n,rmse,mae
exact_hidden_doy,exact2022,base_soft,modis,54,0.08402124644730623,0.06403389508499176
exact_hidden_doy,exact2022,base_hard,all,192,0.07453295487265602,0.05339055203399524
exact_hidden_doy,exact2022,base_hard,s2,44,0.07701475728583097,0.052232947980507566
exact_hidden_doy,exact2022,base_hard,landsat,94,0.06698862696567745,0.04683687465418332
exact_hidden_doy,exact2022,base_hard,modis,54,0.08430458657443786,0.06574203818317631
exact_hidden_doy,exact2022,base_oracle_source,all,192,0.0650329252478972,0.046221503587729106
exact_hidden_doy,exact2022,base_route_accuracy,all,192,0.7916666666666666,0.5376833103219092
exact_hidden_doy,exact2022,lag_soft,all,192,0.06725714007336119,0.048312873566276233
exact_hidden_doy,exact2022,lag_soft,s2,44,0.07311386998245081,0.05267494205460152
exact_hidden_doy,exact2022,lag_soft,landsat,94,0.06155524043330367,0.04377416770916454
exact_hidden_doy,exact2022,lag_soft,modis,54,0.07163925147774174,0.052659305734464874
exact_hidden_doy,exact2022,lag_hard,all,192,0.07153575277910805,0.04807379290796565
exact_hidden_doy,exact2022,lag_hard,s2,44,0.08232265029271707,0.04920283482032986
exact_hidden_doy,exact2022,lag_hard,landsat,94,0.06396401757167446,0.04400538503045583
exact_hidden_doy,exact2022,lag_hard,modis,54,0.07450501692631738,0.05423587617355641
exact_hidden_doy,exact2022,lag_oracle_source,all,192,0.06036297795418303,0.04148184346849295
exact_hidden_doy,exact2022,lag_route_accuracy,all,192,0.7916666666666666,0.5376833103219092
exact_hidden_doy,exact2023,base_soft,all,169,0.07616221867194352,0.05241368834534056
exact_hidden_doy,exact2023,base_soft,s2,54,0.08389935553848786,0.05796304064007742
exact_hidden_doy,exact2023,base_soft,landsat,48,0.08584720412496974,0.05407770278426122
exact_hidden_doy,exact2023,base_soft,modis,67,0.06065025527418941,0.04674894630080353
exact_hidden_doy,exact2023,base_hard,all,169,0.07915759064263538,0.05341943505414568
exact_hidden_doy,exact2023,base_hard,s2,54,0.08888946880095791,0.05789236206749271
