route,policy,slice,n,rmse,rmse_base
crop_hier_n1_p67,peer050_purity80_040_fallback025,new2025,1516,0.0777504053,0.0797533421
crop_hier_n1_p67,peer050_purity80_040_fallback025,shared2025,1508,0.0505499201,0.0513951813
crop_hier_n1_p67,peer050_purity80_040_fallback025,near,6890,0.0646072040,0.0662006592
crop_hier_n1_p67,peer050_purity80_040_fallback025,mid,1711,0.0716662367,0.0729940242
crop_hier_n1_p67,peer050_purity80_040_fallback025,far,1975,0.0700104285,0.0700986011
crop_hier_n1_p67,peer055_purity80_040_fallback025,all,10576,0.0668565482,0.0680787938
crop_hier_n1_p67,peer055_purity80_040_fallback025,seed0,2644,0.0705869837,0.0713661302
crop_hier_n1_p67,peer055_purity80_040_fallback025,seed1,2644,0.0630233351,0.0644679552
crop_hier_n1_p67,peer055_purity80_040_fallback025,seed2,2644,0.0651405228,0.0668046092
crop_hier_n1_p67,peer055_purity80_040_fallback025,seed70404,2644,0.0684210597,0.0694751110
crop_hier_n1_p67,peer055_purity80_040_fallback025,new2025,1516,0.0776803341,0.0797533421
crop_hier_n1_p67,peer055_purity80_040_fallback025,shared2025,1508,0.0506549559,0.0513951813
crop_hier_n1_p67,peer055_purity80_040_fallback025,near,6890,0.0646209288,0.0662006592
crop_hier_n1_p67,peer055_purity80_040_fallback025,mid,1711,0.0716889600,0.0729940242
crop_hier_n1_p67,peer055_purity80_040_fallback025,far,1975,0.0701085013,0.0700986011
crop_hier_n1_p67,distance504030,all,10576,0.0667990053,0.0680787938
crop_hier_n1_p67,distance504030,seed0,2644,0.0704140180,0.0713661302
crop_hier_n1_p67,distance504030,seed1,2644,0.0630013650,0.0644679552
crop_hier_n1_p67,distance504030,seed2,2644,0.0651839374,0.0668046092
crop_hier_n1_p67,distance504030,seed70404,2644,0.0683533233,0.0694751110
crop_hier_n1_p67,distance504030,new2025,1516,0.0777318742,0.0797533421
crop_hier_n1_p67,distance504030,shared2025,1508,0.0505722265,0.0513951813
crop_hier_n1_p67,distance504030,near,6890,0.0646084820,0.0662006592
crop_hier_n1_p67,distance504030,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,distance504030,far,1975,0.0698211337,0.0700986011
crop_hier_n1_p67,distance504025,all,10576,0.0667949332,0.0680787938
crop_hier_n1_p67,distance504025,seed0,2644,0.0704119118,0.0713661302
crop_hier_n1_p67,distance504025,seed1,2644,0.0629952711,0.0644679552
crop_hier_n1_p67,distance504025,seed2,2644,0.0651724664,0.0668046092
crop_hier_n1_p67,distance504025,seed70404,2644,0.0683561300,0.0694751110
crop_hier_n1_p67,distance504025,new2025,1516,0.0777346186,0.0797533421
crop_hier_n1_p67,distance504025,shared2025,1508,0.0505727220,0.0513951813
crop_hier_n1_p67,distance504025,near,6890,0.0646084820,0.0662006592
crop_hier_n1_p67,distance504025,mid,1711,0.0717262908,0.0729940242
crop_hier_n1_p67,distance504025,far,1975,0.0698002691,0.0700986011
crop_hier_n1_p67,cohort_year_dist,all,10576,0.0667664220,0.0680787938
crop_hier_n1_p67,cohort_year_dist,seed0,2644,0.0703857997,0.0713661302
crop_hier_n1_p67,cohort_year_dist,seed1,2644,0.0630224991,0.0644679552
crop_hier_n1_p67,cohort_year_dist,seed2,2644,0.0651400880,0.0668046092
crop_hier_n1_p67,cohort_year_dist,seed70404,2644,0.0682773255,0.0694751110
crop_hier_n1_p67,cohort_year_dist,new2025,1516,0.0776182391,0.0797533421
crop_hier_n1_p67,cohort_year_dist,shared2025,1508,0.0504457654,0.0513951813
crop_hier_n1_p67,cohort_year_dist,near,6890,0.0645513695,0.0662006592
crop_hier_n1_p67,cohort_year_dist,mid,1711,0.0717567128,0.0729940242
crop_hier_n1_p67,cohort_year_dist,far,1975,0.0698114508,0.0700986011
crop_hier_n1_p67,cohort_year_dist_src,all,10576,0.0667746069,0.0680787938
crop_hier_n1_p67,cohort_year_dist_src,seed0,2644,0.0703914645,0.0713661302
crop_hier_n1_p67,cohort_year_dist_src,seed1,2644,0.0630094833,0.0644679552
crop_hier_n1_p67,cohort_year_dist_src,seed2,2644,0.0651673733,0.0668046092
crop_hier_n1_p67,cohort_year_dist_src,seed70404,2644,0.0682894774,0.0694751110
crop_hier_n1_p67,cohort_year_dist_src,new2025,1516,0.0776182391,0.0797533421
