width,radius,source_profile,agg,held_seed,mode,alpha,n,coverage,rmse,base_rmse,delta
16,4,False,mean,0,loo,0.2554541382,2644,0.9931921331,0.0694636362,0.0703032685,-0.0008396323
16,4,False,mean,0,fixed020,0.2000000000,2644,0.9931921331,0.0694730843,0.0703032685,-0.0008301842
16,4,False,mean,1,loo,0.2498447215,2644,0.9863842663,0.0615862429,0.0627891573,-0.0012029144
16,4,False,mean,1,fixed020,0.2000000000,2644,0.9863842663,0.0616358247,0.0627891573,-0.0011533325
16,4,False,mean,2,loo,0.2588395962,2644,0.9886535552,0.0642758884,0.0651086475,-0.0008327591
16,4,False,mean,2,fixed020,0.2000000000,2644,0.9886535552,0.0642632814,0.0651086475,-0.0008453661
16,4,False,mean,70404,loo,0.2360513009,2644,0.9901664145,0.0667293839,0.0680908876,-0.0013615037
16,4,False,mean,70404,fixed020,0.2000000000,2644,0.9901664145,0.0668191461,0.0680908876,-0.0012717416
