protocol,kind,n,rmse,mae,train_n,features
exact2024_oof,regular,152,0.05056484343893327,0.033007177158480866,30368,69
exact2024_oof,wide,152,0.05041768579089161,0.03249356712364651,30368,69
proxy2025_oof,regular,1517,0.06431096093825443,0.03961208512642218,16124,69
proxy2025_oof,wide,1517,0.06454078655101982,0.039768440646264655,16124,69
