mode,cohort,method,n,cov,rmse_pooled,mae_pooled
2025,2025,blend_peer_0.10,1512,475,0.05552347751182752,0.03557733611207785
2025,2025,blend_peer_0.05,1512,475,0.05555455888049552,0.03542733089163915
2025,2025,blend_peer_0.02,1512,475,0.05564789779457412,0.0354375628066021
2025,2025,blend_peer_0.15,1512,475,0.055648113343280986,0.035889979674154096
2025,2025,blend_peer_0.00,1512,475,0.05574109696504639,0.03547675594246145
2025,2025,blend_peer_0.20,1512,475,0.055927425324138705,0.0362610085663543
2025,2025,blend_peer_0.25,1512,475,0.05635911380750954,0.036688575280931654
2025,2025,blend_peer_0.30,1512,475,0.05693971317111431,0.03717160360130935
2025,2025,blend_peer_0.40,1512,475,0.05852878482312274,0.038291397325937046
2025,2025,blend_peer_0.50,1512,475,0.060649320309258244,0.039575116410425895
2025,2025,peer_only,475,475,0.11117148448015078,0.07302436021012158
2025,all,blend_peer_0.10,1512,475,0.05552347751182752,0.03557733611207785
2025,all,blend_peer_0.05,1512,475,0.05555455888049552,0.03542733089163915
2025,all,blend_peer_0.02,1512,475,0.05564789779457412,0.0354375628066021
2025,all,blend_peer_0.15,1512,475,0.055648113343280986,0.035889979674154096
2025,all,blend_peer_0.00,1512,475,0.05574109696504639,0.03547675594246145
2025,all,blend_peer_0.20,1512,475,0.055927425324138705,0.0362610085663543
2025,all,blend_peer_0.25,1512,475,0.05635911380750954,0.036688575280931654
2025,all,blend_peer_0.30,1512,475,0.05693971317111431,0.03717160360130935
2025,all,blend_peer_0.40,1512,475,0.05852878482312274,0.038291397325937046
2025,all,blend_peer_0.50,1512,475,0.060649320309258244,0.039575116410425895
2025,all,peer_only,475,475,0.11117148448015078,0.07302436021012158
2025,exact_comp,blend_peer_0.10,592,475,0.05708407521840237,0.035993295002981804
2025,exact_comp,blend_peer_0.05,592,475,0.05716125791442307,0.035610173561591046
2025,exact_comp,blend_peer_0.02,592,475,0.05739267594981178,0.035636306425483
2025,exact_comp,blend_peer_0.15,592,475,0.05739320973511972,0.0367918035601766
2025,exact_comp,blend_peer_0.00,592,475,0.05762320550053038,0.035736407813015694
2025,exact_comp,blend_peer_0.20,592,475,0.05808249346263335,0.037739431406471645
2025,exact_comp,blend_peer_0.25,592,475,0.05913863553509193,0.0388314599072166
2025,exact_comp,blend_peer_0.30,592,475,0.06054243984219851,0.0400651403471001
2025,exact_comp,blend_peer_0.40,592,475,0.06429638068482822,0.0429251540491897
2025,exact_comp,blend_peer_0.50,592,475,0.06913384618407421,0.046203841981195204
2025,private_only_2025,blend_peer_0.05,758,190,0.05283658518060688,0.03462392995604795
2025,private_only_2025,blend_peer_0.02,758,190,0.05286525681244748,0.034644655087187955
2025,private_only_2025,blend_peer_0.10,758,190,0.0528774789105377,0.03467518476836755
2025,private_only_2025,blend_peer_0.00,758,190,0.052906515066036705,0.03467997637391515
2025,private_only_2025,blend_peer_0.15,758,190,0.0530289398686535,0.03485036750580045
2025,private_only_2025,blend_peer_0.20,758,190,0.053290025300465546,0.0350603656914907
2025,private_only_2025,blend_peer_0.25,758,190,0.05365913505385005,0.03530900340574965
2025,private_only_2025,blend_peer_0.30,758,190,0.05413405950233602,0.0356177051441533
2025,private_only_2025,blend_peer_0.40,758,190,0.05538985991107901,0.0362655850505081
2025,private_only_2025,blend_peer_0.50,758,190,0.05703023184964056,0.0370428392632981
2025,private_only_2025,peer_only,190,190,0.1017796971460228,0.06502201856836817
all,2025,blend_peer_0.10,756,250,0.0518061754382342,0.0338928922702081
all,2025,blend_peer_0.15,756,250,0.05189508285558881,0.0340733432884987
all,2025,blend_peer_0.05,756,250,0.0519730441773804,0.0338230679784977
all,2025,blend_peer_0.02,756,250,0.052195073891101604,0.0338375987220663
all,2025,blend_peer_0.20,756,250,0.05223846048858951,0.0343812015032357
all,2025,blend_peer_0.00,756,250,0.052393245243723394,0.0338865424100829
all,2025,blend_peer_0.25,756,250,0.052831346778456995,0.034845128260205
all,2025,blend_peer_0.30,756,250,0.0536654727847562,0.0353746504465368
all,2025,blend_peer_0.40,756,250,0.0560112351097309,0.0365945485758453
all,2025,blend_peer_0.50,756,250,0.0591665718301843,0.0382268197520022
