year,cross,k,degree,rmse,mae
2019,False,4,0,0.08348207872417107,0.06306646330690173
2019,False,4,1,0.0870301971099365,0.0651580532842738
2019,False,4,2,0.14661464049358533,0.0917390810837848
2019,False,8,0,0.07844784983512004,0.05982749317071238
2019,False,8,1,0.08038550479329148,0.060367809143057324
2019,False,8,2,0.08724125574272082,0.06507916268505973
2019,False,16,0,0.07902367253596596,0.06119723214307027
2019,False,16,1,0.07954485120480165,0.06062924833949267
2019,False,16,2,0.08086245307611312,0.05969266740797694
2019,True,4,0,0.08348207872417107,0.06306646330690173
2019,True,4,1,0.0870301971099365,0.0651580532842738
2019,True,4,2,0.14661464049358533,0.0917390810837848
2019,True,8,0,0.07844784983512004,0.05982749317071238
2019,True,8,1,0.08038550479329148,0.060367809143057324
2019,True,8,2,0.08724125574272082,0.06507916268505973
2019,True,16,0,0.07902367253596596,0.06119723214307027
2019,True,16,1,0.07954485120480165,0.06062924833949267
2019,True,16,2,0.08086245307611312,0.05969266740797694
2020,False,4,0,0.08221048219290582,0.06133311480739605
2020,False,4,1,0.08642018004049924,0.06354264773111905
2020,False,4,2,0.10648369345538211,0.07702917403814444
2020,False,8,0,0.07970065913782348,0.058649710466196395
2020,False,8,1,0.08020822018486257,0.05871841879481851
2020,False,8,2,0.08795377292982813,0.06556888194537251
2020,False,16,0,0.07671903382162404,0.05609685005727691
2020,False,16,1,0.0763082829460144,0.05619749184947894
2020,False,16,2,0.0809277974889148,0.058739946076974615
2020,True,4,0,0.08221048219290582,0.06133311480739605
2020,True,4,1,0.08642018004049924,0.06354264773111905
2020,True,4,2,0.10648369345538211,0.07702917403814444
2020,True,8,0,0.07970065913782348,0.058649710466196395
2020,True,8,1,0.08020822018486257,0.05871841879481851
2020,True,8,2,0.08795377292982813,0.06556888194537251
2020,True,16,0,0.07671903382162404,0.05609685005727691
2020,True,16,1,0.0763082829460144,0.05619749184947894
2020,True,16,2,0.0809277974889148,0.058739946076974615
2021,False,4,0,0.12184820908177646,0.08465122446255362
