year,kind,n,rmse,mae
2019,direct,249,0.06317832960034912,0.04453180460905444
2019,zscore,249,0.06833219097200563,0.04867977753857641
2019,blend0.25,249,0.06361755037768808,0.044664869815416966
2019,blend0.5,249,0.06464302754129152,0.04560217111576097
2019,blend0.75,249,0.06622753363994335,0.04686541268958153
2020,direct,222,0.05503638457604923,0.03724949928323663
2020,zscore,222,0.0620949885700362,0.04254554638240161
2020,blend0.25,222,0.05562304172130291,0.03737416282968699
2020,blend0.5,222,0.057038231164928586,0.03850006716875354
2020,blend0.75,222,0.05922258656530355,0.040214195005728065
2021,direct,130,0.08151746134951271,0.061747826054288
2021,zscore,130,0.08214402662071851,0.06144864144811882
2021,blend0.25,130,0.08043260487060676,0.060779886165823575
2021,blend0.5,130,0.08017437558745172,0.060242225072040204
2021,blend0.75,130,0.08075070419859606,0.06051147882962708
2022,direct,192,0.07164709306669217,0.05205736193867746
2022,zscore,192,0.07654423363242988,0.05515405347989505
2022,blend0.25,192,0.07185806204663245,0.05199415698986599
2022,blend0.5,192,0.07276417446843339,0.05249675276564838
2022,blend0.75,192,0.07434001587188462,0.053616815833814245
2023,direct,169,0.07148835649796549,0.046535218448371406
2023,zscore,169,0.07558689466093753,0.04997583909454716
2023,blend0.25,169,0.07150745242160807,0.046241707320807825
2023,blend0.5,169,0.07221282124707423,0.046863396525899784
2023,blend0.75,169,0.07358473018690952,0.04816258070760481
2024,direct,152,0.05520437446877158,0.0394073600651531
2024,zscore,152,0.06263986847893135,0.045148196396675916
2024,blend0.25,152,0.05507123630980968,0.03929149583672348
2024,blend0.5,152,0.05633813508793717,0.04032060104902263
2024,blend0.75,152,0.058914821140148003,0.04239697297254641
