scenario,focus_year,seed,method,n,rmse,mae,n_2025,rmse_2025,mae_2025,n_hidden_doy,rmse_hidden_doy,mae_hidden_doy,fit_seconds
year_2025,2025,0,archive_default,925,0.07642246241214055,0.041127052455881004,925,0.07642246241214055,0.041127052455881004,698,0.08171327578204482,0.04184318714993635,4.012
year_2025,2025,0,regularized,925,0.07644925446813171,0.04143049094989411,925,0.07644925446813171,0.04143049094989411,698,0.08184516166408051,0.04211900363786402,5.385
year_2025,2025,0,smooth,925,0.07684086953978593,0.04183560374932391,925,0.07684086953978593,0.04183560374932391,698,0.08224171454227362,0.042571838594758916,4.943
year_2025,2025,0,capacity,925,0.07621696037087193,0.041127909945089136,925,0.07621696037087193,0.041127909945089136,698,0.08162771655803949,0.04179575389104249,12.604
year_2025,2025,0,fast,925,0.0766777395632343,0.04160013347810087,925,0.0766777395632343,0.04160013347810087,698,0.08194196483653138,0.04221323765555463,2.995
year_2025,2025,0,absolute,925,0.07719974975198308,0.040656783538087125,925,0.07719974975198308,0.040656783538087125,698,0.08265986249505368,0.04135223485711881,7.534
year_2025,2025,0,archive_no_early_stop,925,0.07642246241214055,0.041127052455881004,925,0.07642246241214055,0.041127052455881004,698,0.08171327578204482,0.04184318714993635,7.428
