seed,lag_weight,rmse
0,0.1,0.07350947624120635
0,0.2,0.07340932657762049
0,0.25,0.07343317922598329
0,0.3,0.07350628593451744
0,0.4,0.07379957741869783
1,0.1,0.0667041886223485
1,0.2,0.06654105909769685
1,0.25,0.06654145675801619
1,0.3,0.06659653956109693
1,0.4,0.06687008588879288
2,0.1,0.06819102908559097
2,0.2,0.06821208637996917
2,0.25,0.06831165340586587
2,0.3,0.06847028554111828
2,0.4,0.06896296302417407
