experiment,n,rmse_pooled,base_rmse_pooled,delta_pooled,wins
local_crop_state_loo,10576.0000000000,0.0657049714,0.0666343245,-0.0009293530,4.0000000000
local_cropshock_loo,10576.0000000000,0.0657117761,0.0666343245,-0.0009225484,4.0000000000
local_loo,10576.0000000000,0.0657223864,0.0666343245,-0.0009119380,4.0000000000
local_fixed,137488.0000000000,0.0659823664,0.0666343245,-0.0006519580,48.0000000000
