group,label,weight_archive,n,rmse,mae
mask_seed,1,0.0200000000,2644,0.0644718292,0.0416953728
mask_seed,1,0.0400000000,2644,0.0644777237,0.0416967426
mask_seed,1,0.0600000000,2644,0.0644856381,0.0416997100
mask_seed,1,0.0800000000,2644,0.0644955719,0.0417041707
mask_seed,1,0.1000000000,2644,0.0645075239,0.0417097141
mask_seed,1,0.1200000000,2644,0.0645214930,0.0417161076
mask_seed,1,0.1400000000,2644,0.0645374781,0.0417241359
mask_seed,1,0.1600000000,2644,0.0645554775,0.0417332736
mask_seed,1,0.1800000000,2644,0.0645754896,0.0417447207
mask_seed,1,0.2000000000,2644,0.0645975125,0.0417573417
mask_seed,1,0.2200000000,2644,0.0646215441,0.0417722651
mask_seed,1,0.2400000000,2644,0.0646475823,0.0417886437
mask_seed,1,0.2600000000,2644,0.0646756245,0.0418053126
mask_seed,1,0.2800000000,2644,0.0647056683,0.0418237596
mask_seed,1,0.3000000000,2644,0.0647377107,0.0418438828
mask_seed,1,0.3200000000,2644,0.0647717489,0.0418667809
mask_seed,1,0.3400000000,2644,0.0648077796,0.0418927423
mask_seed,1,0.3600000000,2644,0.0648457997,0.0419206452
mask_seed,1,0.3800000000,2644,0.0648858055,0.0419502795
mask_seed,1,0.4000000000,2644,0.0649277934,0.0419821389
mask_seed,1,0.4200000000,2644,0.0649717595,0.0420160325
mask_seed,1,0.4400000000,2644,0.0650176999,0.0420514841
mask_seed,1,0.4600000000,2644,0.0650656104,0.0420881137
mask_seed,1,0.4800000000,2644,0.0651154866,0.0421255347
mask_seed,1,0.5000000000,2644,0.0651673239,0.0421649752
mask_seed,70404,0.0000000000,2644,0.0694751110,0.0416653303
mask_seed,70404,0.0200000000,2644,0.0694786187,0.0416585883
mask_seed,70404,0.0400000000,2644,0.0694840115,0.0416530192
mask_seed,70404,0.0600000000,2644,0.0694912891,0.0416487549
mask_seed,70404,0.0800000000,2644,0.0695004507,0.0416455133
mask_seed,70404,0.1000000000,2644,0.0695114957,0.0416437899
mask_seed,70404,0.1200000000,2644,0.0695244232,0.0416434154
mask_seed,70404,0.1400000000,2644,0.0695392321,0.0416457172
mask_seed,70404,0.1600000000,2644,0.0695559213,0.0416526247
mask_seed,70404,0.1800000000,2644,0.0695744892,0.0416628462
mask_seed,70404,0.2000000000,2644,0.0695949346,0.0416757915
mask_seed,70404,0.2200000000,2644,0.0696172557,0.0416902929
mask_seed,70404,0.2400000000,2644,0.0696414506,0.0417059817
mask_seed,70404,0.2600000000,2644,0.0696675175,0.0417226349
mask_seed,70404,0.2800000000,2644,0.0696954543,0.0417415196
mask_seed,70404,0.3000000000,2644,0.0697252587,0.0417627917
mask_seed,70404,0.3200000000,2644,0.0697569282,0.0417856216
mask_seed,70404,0.3400000000,2644,0.0697904605,0.0418106736
mask_seed,70404,0.3600000000,2644,0.0698258527,0.0418383923
mask_seed,70404,0.3800000000,2644,0.0698631021,0.0418672238
mask_seed,70404,0.4000000000,2644,0.0699022057,0.0418972525
mask_seed,70404,0.4200000000,2644,0.0699431603,0.0419297788
mask_seed,70404,0.4400000000,2644,0.0699859628,0.0419639088
mask_seed,70404,0.4600000000,2644,0.0700306097,0.0419996446
mask_seed,70404,0.4800000000,2644,0.0700770976,0.0420367867
