protocol,kind,n,rmse_pooled,mae_pooled
exact,deep,1114.0,0.06698036699638121,0.04687243923588428
exact,base,1114.0,0.06748081297959123,0.04714105584900912
proxy2025,base,756.0,0.06254270016550081,0.04189033216545899
proxy2025,deep,756.0,0.06257405673682599,0.0419767964819814
random,deep,4571.0,0.06653184140520574,0.044965180849821436
random,base,4571.0,0.06722443523125918,0.04562819039052859
