n,rmse,mae,rmse_s2,n_s2,rmse_landsat,n_landsat,rmse_modis,n_modis,seed,method
2644,0.08102592928664247,0.0508817648988916,0.07322149340355581,1156,0.0884558220169538,1035,0.082220037377006,453,0,base_k6
2644,0.08117700485768442,0.05140062876841171,0.07346429970359718,1156,0.08939442355035095,1035,0.08019273773459476,453,0,base_k8
2644,0.08102592928664247,0.0508817648988916,0.07322149340355581,1156,0.0884558220169538,1035,0.082220037377006,453,0,history_k6
2644,0.08117700485768442,0.05140062876841171,0.07346429970359718,1156,0.08939442355035095,1035,0.08019273773459476,453,0,history_k8
2644,0.08069520715018931,0.050297367672498976,0.07126705601999962,1156,0.0905060937993825,1035,0.07956298569139153,453,0,lag_k16_d2
2644,0.07945899515216152,0.049940579002725805,0.07237270152043992,1156,0.08687851222771749,1035,0.07899129058840233,453,0,lag_k16_d3
2644,0.08069520715018931,0.050297367672498976,0.07126705601999962,1156,0.0905060937993825,1035,0.07956298569139153,453,0,lag_history_k16_d2
2644,0.07945899515216152,0.049940579002725805,0.07237270152043992,1156,0.08687851222771749,1035,0.07899129058840233,453,0,lag_history_k16_d3
2644,0.08024560853068351,0.05010222360584151,0.07211217331346412,1156,0.08838567046958863,1035,0.08040766280417708,453,0,blend_hist_lag25
2644,0.07992806590345018,0.049784680998441355,0.07140979893654367,1156,0.08870763742354927,1035,0.0793441900355047,453,0,blend_hist_lag50
2644,0.07982417522055606,0.04995713779728189,0.07227948868047789,1156,0.0873802657684001,1035,0.08008597744844417,453,0,blend_hist_lag25_d3
2644,0.07539203989662971,0.05039520239920814,0.08058444172081486,1181,0.06513507459050968,1002,0.08211001021307522,461,1,base_k6
2644,0.07594827168305597,0.05141087797808511,0.08095192333794668,1181,0.0669596072179592,1002,0.0809255073980554,461,1,base_k8
2644,0.07539203989662971,0.05039520239920814,0.08058444172081486,1181,0.06513507459050968,1002,0.08211001021307522,461,1,history_k6
2644,0.07594827168305597,0.05141087797808511,0.08095192333794668,1181,0.0669596072179592,1002,0.0809255073980554,461,1,history_k8
2644,0.07407209406737791,0.049932460682370665,0.07959169905889306,1181,0.06647440170371852,1002,0.07506527750297269,461,1,lag_k16_d2
2644,0.07281649799174637,0.04909549473829748,0.08003787404466361,1181,0.06332747085377316,1002,0.07268004313205888,461,1,lag_k16_d3
2644,0.07407209406737791,0.049932460682370665,0.07959169905889306,1181,0.06647440170371852,1002,0.07506527750297269,461,1,lag_history_k16_d2
2644,0.07281649799174637,0.04909549473829748,0.08003787404466361,1181,0.06332747085377316,1002,0.07268004313205888,461,1,lag_history_k16_d3
2644,0.0743006390765262,0.04975056372982612,0.07983208867951253,1181,0.06470117540654173,1002,0.0789726234971703,461,1,blend_hist_lag25
2644,0.07371055534729876,0.0494547118919837,0.07941303511828059,1181,0.06478303410620999,1002,0.07670510266732679,461,1,blend_hist_lag50
2644,0.07393868858875902,0.04941593990130792,0.079849373989189,1181,0.06389601810707807,1002,0.0784023082261344,461,1,blend_hist_lag25_d3
2644,0.07799510461303999,0.04930242890441638,0.07556446618834962,1186,0.08115305194279782,1025,0.07691462508742779,433,2,base_k6
2644,0.07851486701071675,0.050056088875075844,0.07593578601157845,1186,0.08186564719312592,1025,0.07735318804031026,433,2,base_k8
2644,0.07799510461303999,0.04930242890441638,0.07556446618834962,1186,0.08115305194279782,1025,0.07691462508742779,433,2,history_k6
2644,0.07851486701071675,0.050056088875075844,0.07593578601157845,1186,0.08186564719312592,1025,0.07735318804031026,433,2,history_k8
2644,0.07786274000011376,0.04910399460438546,0.07350873685188326,1186,0.08283720955937642,1025,0.07730127385194879,433,2,lag_k16_d2
2644,0.0764391962842863,0.04791963513806771,0.073425311051802,1186,0.08043765075861463,1025,0.0748013069365925,433,2,lag_k16_d3
2644,0.07786274000011376,0.04910399460438546,0.07350873685188326,1186,0.08283720955937642,1025,0.07730127385194879,433,2,lag_history_k16_d2
2644,0.0764391962842863,0.04791963513806771,0.073425311051802,1186,0.08043765075861463,1025,0.0748013069365925,433,2,lag_history_k16_d3
2644,0.07724559926796079,0.04878916622594116,0.07442479174776898,1186,0.08094750949046967,1025,0.07584493995060712,433,2,blend_hist_lag25
2644,0.07697181096529129,0.04858421852365676,0.07369527998924462,1186,0.08116294732447202,1025,0.07555080808194009,433,2,blend_hist_lag50
2644,0.07673520119211209,0.04838710768584306,0.07427500073437433,1186,0.08033566506240271,1025,0.07461341623466235,433,2,blend_hist_lag25_d3
