kernel,radius,outer_rmse,released_rmse
tri,2,0.21400781433199026,0.20674157787162836
tri,4,0.19259619776763298,0.18446089838781043
tri,8,0.182614386501821,0.17715909114130474
tri,12,0.18059126299001826,0.17509876230774835
gauss,2,0.20539916536676034,0.19711745839449335
gauss,4,0.1900529565054417,0.18159840417861312
gauss,8,0.18306888942254104,0.1760887027098964
gauss,12,0.18105550232616024,0.174213153164642
