path,rows,finite,unique_keys,min,max,mean,std,sha256
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_strong_submission.csv,3112,True,3112,0.03280917,0.89938829,0.37889670706940876,0.20481755141809205,508286f41b6c82b07108580ce16661477d8840eff411199c17aead7bfcaa3ea3
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_stronger_submission.csv,3112,True,3112,0.03266547,0.89999186,0.3786546030912597,0.2049192841628483,867506adc789cb7f7d09dafa8e378c3f608097fe7adbf59b6fb37316fd1ab495
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_joint_submission.csv,3112,True,3112,0.03295288,0.89850986,0.3793005840231362,0.204692326353227,b00f5818d177904d153d098150f7640599ca12239b38988af864c0e44ccab276
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag30_peer10_a300_b150_submission.csv,3112,True,3112,0.04599589,0.90857077,0.3782570041838047,0.2027990892851255,7e34a1b42446c7f68c8eacd0b27c19f119244c80b5caeea6d41f4240f2b6a0d2
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag32_peer10_a325_b150_submission.csv,3112,True,3112,0.04703594,0.91036218,0.37817980374357324,0.20265816242868867,a8028d367b34f85eeb8d7067f52fd8c8c5e1e3f5cd1107b1a73f5425e0edc040
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag35_peer10_a325_b150_submission.csv,3112,True,3112,0.04807599,0.91188429,0.37818348973007715,0.20249665489381016,9a2bf1ae01e93687283827c5cb20385e5196cd7268714d2d9d23be3eea423a49
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_a350_b200_submission.csv,3112,True,3112,0.05001238,0.91499901,0.3780296440102828,0.2022725034188444,2b84fdd7f49a1703cad523b8c614e37415a8b783d6da077a385be4218d4efbc3
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_aggressive_regular_submission.csv,3112,True,3112,0.05143739,0.90220573,0.3785034075482005,0.20374958600494833,339aa76bcf26d22fb69809129d21ff0f5b7df2c317941e964b5c722307ecd0ae
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_aggressive_wide_submission.csv,3112,True,3112,0.0545938,0.89817203,0.3783362514492288,0.2037744095937688,e19bb496ed9fd5f7a7754f36765cf5605a307940f1e4e8d7576540c89be69382
C:\Users\kmaxc\PycharmProjects\hack\_1\_lezheboka\outputs\model_dani_lag40_peer10_cohort_balanced_regular_submission.csv,3112,True,3112,0.05096238,0.90647016,0.37835210005141384,0.2031833998454612,a9d0c14be8a2527f524b37d514952065a4ce772783356f95a778a737169b1774
