seed,route,policy,alpha,n,rmse,rmse_base
1,fixed_r3,fixed,0.4000000000,2644,0.0633638870,0.0644679552
1,fixed_r3,fixed,0.5000000000,2644,0.0634020752,0.0644679552
1,fixed_r3,fixed,0.6000000000,2644,0.0635666105,0.0644679552
1,fixed_r3,cohort_year_dist,,2644,0.0632928843,0.0644679552
1,fixed_r4,fixed,0.2000000000,2644,0.0636782772,0.0644679552
1,fixed_r4,fixed,0.3000000000,2644,0.0634701149,0.0644679552
1,fixed_r4,fixed,0.4000000000,2644,0.0633882829,0.0644679552
1,fixed_r4,fixed,0.5000000000,2644,0.0634332701,0.0644679552
1,fixed_r4,fixed,0.6000000000,2644,0.0636048074,0.0644679552
1,fixed_r4,cohort_year_dist,,2644,0.0633219938,0.0644679552
1,fixed_r5,fixed,0.2000000000,2644,0.0636378080,0.0644679552
1,fixed_r5,fixed,0.3000000000,2644,0.0634072959,0.0644679552
1,fixed_r5,fixed,0.4000000000,2644,0.0633018561,0.0644679552
1,fixed_r5,fixed,0.5000000000,2644,0.0633221136,0.0644679552
1,fixed_r5,fixed,0.6000000000,2644,0.0634679478,0.0644679552
1,fixed_r5,cohort_year_dist,,2644,0.0632383655,0.0644679552
1,fixed_r6,fixed,0.2000000000,2644,0.0636524537,0.0644679552
1,fixed_r6,fixed,0.3000000000,2644,0.0634297553,0.0644679552
1,fixed_r6,fixed,0.4000000000,2644,0.0633324008,0.0644679552
1,fixed_r6,fixed,0.5000000000,2644,0.0633609678,0.0644679552
1,fixed_r6,fixed,0.6000000000,2644,0.0635152866,0.0644679552
1,fixed_r6,cohort_year_dist,,2644,0.0632585292,0.0644679552
1,fixed_r8,fixed,0.2000000000,2644,0.0636347946,0.0644679552
1,fixed_r8,fixed,0.3000000000,2644,0.0634015613,0.0644679552
1,fixed_r8,fixed,0.4000000000,2644,0.0632925969,0.0644679552
1,fixed_r8,fixed,0.5000000000,2644,0.0633085433,0.0644679552
