variant,n,rmse,mae
soft_global_linear,1114.0,0.08193384216988182,0.059504919499717854
soft_doy_linear,1114.0,0.0898802568235352,0.06233257149351884
global_doy_linear,1114.0,0.09148672541212795,0.062285923014903585
soft_doy_nearest,1114.0,0.09686475923526916,0.06648953887577541
soft_doy_harm4,1114.0,0.09695405330272955,0.06622036580582324
mode_doy_linear,1114.0,0.10776322264700888,0.07230482262572982
soft_doy_harm2,1114.0,0.11519952621471595,0.08141952931073719
