,date,datecrop,doy,aoi_doy,aoi_year,crop_doy,n1,n2,n3,n4,n6,n8,n12,n16,n24,nc1,nc2,nc3,nc4,nc6,nc8,nc12,nc16,nc24
exact2019,0.8232931726907631,0.8554216867469879,0.5100401606425703,0.6224899598393574,0.4819277108433735,0.6184738955823293,0.6345381526104418,0.7670682730923695,0.8554216867469879,0.891566265060241,0.8554216867469879,0.8594377510040161,0.8072289156626506,0.7550200803212851,0.8112449799196787,0.6345381526104418,0.7710843373493976,0.8634538152610441,0.9116465863453815,0.9156626506024096,0.9196787148594378,0.8755020080321285,0.8674698795180723,0.8835341365461847
exact2020,0.8108108108108109,0.8648648648648649,0.5855855855855856,0.7027027027027027,0.5630630630630631,0.6486486486486487,0.6351351351351351,0.7882882882882883,0.8783783783783784,0.9234234234234234,0.9054054054054054,0.8963963963963963,0.8468468468468469,0.8198198198198198,0.8198198198198198,0.6351351351351351,0.7927927927927928,0.8783783783783784,0.9459459459459459,0.954954954954955,0.9459459459459459,0.9099099099099099,0.9009009009009009,0.8918918918918919
exact2021,0.8153846153846154,0.8846153846153846,0.7307692307692307,0.676923076923077,0.2846153846153846,0.6923076923076923,0.6307692307692307,0.7692307692307693,0.8692307692307693,0.9461538461538461,0.9153846153846154,0.8769230769230769,0.7769230769230769,0.7230769230769231,0.7384615384615385,0.6307692307692307,0.7769230769230769,0.8769230769230769,0.9538461538461539,0.9615384615384616,0.9307692307692308,0.9,0.8923076923076924,0.9
exact2022,0.7916666666666666,0.8229166666666666,0.703125,0.6354166666666666,0.2864583333333333,0.6875,0.6302083333333334,0.7239583333333334,0.7916666666666666,0.828125,0.8020833333333334,0.8020833333333334,0.7291666666666666,0.7291666666666666,0.75,0.6302083333333334,0.7291666666666666,0.8125,0.8697916666666666,0.8802083333333334,0.890625,0.8489583333333334,0.8229166666666666,0.8489583333333334
exact2023,0.8757396449704142,0.9171597633136095,0.7455621301775148,0.7100591715976331,0.30177514792899407,0.7633136094674556,0.6390532544378699,0.7928994082840237,0.8757396449704142,0.9171597633136095,0.8875739644970414,0.8579881656804734,0.8402366863905325,0.8165680473372781,0.8520710059171598,0.6390532544378699,0.7928994082840237,0.8816568047337278,0.9349112426035503,0.9408284023668639,0.9112426035502958,0.9053254437869822,0.8698224852071006,0.9171597633136095
exact2024,0.7236842105263158,0.7960526315789473,0.5657894736842105,0.5460526315789473,0.39473684210526316,0.5986842105263158,0.6118421052631579,0.7960526315789473,0.875,0.9210526315789473,0.8289473684210527,0.8026315789473685,0.7302631578947368,0.7105263157894737,0.7105263157894737,0.6118421052631579,0.8026315789473685,0.8881578947368421,0.9342105263157895,0.9078947368421053,0.881578947368421,0.8157894736842105,0.8092105263157895,0.8355263157894737
random0,0.8536308623298033,0.8975037821482602,0.6440998487140696,0.6138426626323752,0.6085476550680786,0.6720877458396369,0.5472768532526475,0.636535552193646,0.7167170953101362,0.7401664145234493,0.7420574886535553,0.7700453857791225,0.8029500756429652,0.8248865355521936,0.8369894099848714,0.5487897125567323,0.640695915279879,0.722768532526475,0.75,0.768910741301059,0.8101361573373677,0.846444780635401,0.8721633888048411,0.8940998487140696
random1,0.8536308623298033,0.8922087745839636,0.6384266263237519,0.5953101361573374,0.6066565809379728,0.6728441754916793,0.5423600605143721,0.6293494704992436,0.7110438729198184,0.7390317700453858,0.7503782148260212,0.7764750378214826,0.8040847201210287,0.8226172465960666,0.8430408472012103,0.5431164901664145,0.632375189107413,0.7182299546142209,0.75,0.7768532526475038,0.8127836611195158,0.8460665658093798,0.8725416036308623,0.8978819969742814
random2,0.8596822995461422,0.8963691376701967,0.6350226928895613,0.6157337367624811,0.6217851739788199,0.6781391830559758,0.5563540090771558,0.6357791225416036,0.7125567322239031,0.7405446293494705,0.7416792738275341,0.779500756429652,0.8052193645990923,0.8275340393343419,0.8437972768532527,0.556732223903177,0.6369137670196672,0.7186081694402421,0.7484871406959153,0.7655068078668684,0.8044629349470499,0.8396369137670197,0.8695158850226928,0.8975037821482602
