protocol,candidate,n,rmse_pooled,mae_pooled,parts
exact_hidden_doy,tail-1.0_w0.20,1114,0.0628398766581751,0.04319965458091464,6
exact_hidden_doy,state_z_w60_w0.025,1114,0.06285134745646838,0.043210707577484235,6
exact_hidden_doy,delta_z_w60_w0.025,1114,0.06285134745646838,0.043210707577484235,6
exact_hidden_doy,state_peer_w0.100,1111,0.0628884900946462,0.04454397049974764,6
exact_hidden_doy,delta_peer_w0.100,1111,0.0628884900946462,0.04454397049974764,6
exact_hidden_doy,state_z_interp_w0.025,1114,0.06290959815018018,0.043147288414337355,6
exact_hidden_doy,delta_z_interp_w0.025,1114,0.0629095981501802,0.043147288414337355,6
exact_hidden_doy,gate_w0.075,1114,0.06292148504725953,0.04355127185294317,6
exact_hidden_doy,state_z_w14_w0.050,1114,0.06305426689524007,0.04334168536108372,6
exact_hidden_doy,delta_z_w14_w0.050,1114,0.06305426689524007,0.04334168536108372,6
exact_hidden_doy,state_local_peer_w0.125,1111,0.06308378437542912,0.04478336881407969,6
exact_hidden_doy,delta_local_peer_w0.125,1111,0.06308378437542912,0.04478336881407969,6
exact_hidden_doy,state_z_w7_w0.050,1114,0.06309285547166449,0.04336200162640432,6
exact_hidden_doy,delta_z_w7_w0.050,1114,0.06309285547166449,0.04336200162640432,6
exact_hidden_doy,state_z_w30_w0.050,1114,0.06309526632250156,0.04347526815886782,6
exact_hidden_doy,delta_z_w30_w0.050,1114,0.06309526632250156,0.04347526815886782,6
exact_hidden_doy,tail+1.0_w0.20,1114,0.06313968794846654,0.043682204937761024,6
exact_hidden_doy,gate_w0.100,1114,0.06315585631574129,0.04393658956240908,6
exact_hidden_doy,state_peer30_w0.050,1114,0.06316907187319534,0.04401076881942195,6
exact_hidden_doy,delta_peer30_w0.050,1114,0.06316907187319536,0.04401076881942195,6
exact_hidden_doy,tail-1.0_w0.30,1114,0.0631779047165182,0.04345974378261854,6
exact_hidden_doy,state_z_w60_w0.050,1114,0.06323454233900416,0.043743385561690384,6
exact_hidden_doy,delta_z_w60_w0.050,1114,0.06323454233900416,0.043743385561690384,6
exact_hidden_doy,state_z_interp_w0.050,1114,0.0633091010936501,0.04351982983920217,6
exact_hidden_doy,delta_z_interp_w0.050,1114,0.0633091010936501,0.04351982983920217,6
exact_hidden_doy,state_z_w14_w0.075,1114,0.06339116674166606,0.043705222465068645,6
exact_hidden_doy,delta_z_w14_w0.075,1114,0.06339116674166606,0.043705222465068645,6
exact_hidden_doy,state_z_w7_w0.075,1114,0.06345122340450295,0.04371817224695725,6
exact_hidden_doy,delta_z_w7_w0.075,1114,0.06345122340450295,0.04371817224695725,6
exact_hidden_doy,gate_w0.125,1114,0.06345386084092976,0.04435860419849281,6
exact_hidden_doy,state_z_w30_w0.075,1114,0.06348292676970665,0.04395753936181906,6
exact_hidden_doy,delta_z_w30_w0.075,1114,0.06348292676970665,0.043957539361819065,6
exact_hidden_doy,state_local_peer_w0.150,1111,0.06371548783155397,0.04548660882011658,6
exact_hidden_doy,delta_local_peer_w0.150,1111,0.06371548783155397,0.04548660882011658,6
exact_hidden_doy,state_peer_w0.125,1111,0.06373108924036647,0.04545622123319266,6
exact_hidden_doy,delta_peer_w0.125,1111,0.06373108924036647,0.04545622123319266,6
exact_hidden_doy,state_z_w60_w0.075,1114,0.06375344020377184,0.04442771290662264,6
exact_hidden_doy,delta_z_w60_w0.075,1114,0.06375344020377184,0.04442771290662264,6
exact_hidden_doy,state_peer30_w0.075,1114,0.0637968367702293,0.04486318137510244,6
exact_hidden_doy,delta_peer30_w0.075,1114,0.0637968367702293,0.04486318137510244,6
exact_hidden_doy,state_z_w14_w0.100,1114,0.06380185853982569,0.04414814801552234,6
exact_hidden_doy,delta_z_w14_w0.100,1114,0.06380185853982569,0.04414814801552234,6
exact_hidden_doy,state_z_interp_w0.075,1114,0.0638030482048756,0.043985006165682794,6
exact_hidden_doy,delta_z_interp_w0.075,1114,0.0638030482048756,0.043985006165682794,6
exact_hidden_doy,gate_w0.150,1114,0.06381460715611326,0.0448156974543305,6
exact_hidden_doy,tail+1.0_w0.30,1114,0.06387787646359551,0.044314226786403434,6
exact_hidden_doy,state_z_w7_w0.100,1114,0.06388470416159152,0.04414938535155201,6
exact_hidden_doy,delta_z_w7_w0.100,1114,0.06388470416159152,0.04414938535155201,6
exact_hidden_doy,state_z_w30_w0.100,1114,0.06396388270153247,0.04454161707838195,6
exact_hidden_doy,delta_z_w30_w0.100,1114,0.06396388270153247,0.04454161707838195,6
exact_hidden_doy,gate_w0.175,1114,0.06423703822236444,0.04530110699877297,6
exact_hidden_doy,state_z_w14_w0.125,1114,0.06428492801967522,0.04465483323937856,6
