protocol,part,method,N,acc,ll
random,0,hgb_seq,2644,0.8914523449319214,0.33254654376790527
random,1,hgb_seq,2644,0.9020423600605144,0.2855888804121713
random,2,hgb_seq,2644,0.9046898638426626,0.2647650186892374
