case,n,features,rmse,mae,seconds
exact2024,152,192,0.05041084936766333,0.034417372096537335,117.3
random0,2644,192,0.07751131258542886,0.047320261345163254,73.8
random1,2644,192,0.06951122732570607,0.04549639345702844,73.9
random2,2644,192,0.07186211328973578,0.04397277939309422,74.9
