dataset,partition,lag_weight,mode,n,rmse,baseline_rmse,delta_rmse,coverage,map_global
random,random_2,0.325000000,global,2644,0.067590455,0.067624154,-0.000033699,0.669062027,0.001833954
random,random_2,0.325000000,doy,2644,0.067661128,0.067624154,0.000036974,0.669062027,0.001833954
random,random_2,0.325000000,source_oracle,2644,0.067365436,0.067624154,-0.000258718,0.669062027,0.001833954
random,random_2,0.325000000,source_soft,2644,0.067651767,0.067624154,0.000027613,0.669062027,0.001833954
random,random_2,0.325000000,source_mode,2644,0.067724837,0.067624154,0.000100683,0.669062027,0.001833954
random,random_2,0.325000000,source_doy_soft,2644,0.067590455,0.067624154,-0.000033699,0.669062027,0.001833954
random,random_2,0.325000000,source_doy_mode,2644,0.067590455,0.067624154,-0.000033699,0.669062027,0.001833954
random,random_2,0.350000000,none,2644,0.067709586,0.067709586,0.000000000,0.669062027,0.000000000
random,random_2,0.350000000,global,2644,0.067673858,0.067709586,-0.000035729,0.669062027,0.001743053
random,random_2,0.350000000,doy,2644,0.067745068,0.067709586,0.000035481,0.669062027,0.001743053
random,random_2,0.350000000,source_oracle,2644,0.067458360,0.067709586,-0.000251227,0.669062027,0.001743053
random,random_2,0.350000000,source_soft,2644,0.067732074,0.067709586,0.000022488,0.669062027,0.001743053
random,random_2,0.350000000,source_mode,2644,0.067800371,0.067709586,0.000090785,0.669062027,0.001743053
random,random_2,0.350000000,source_doy_soft,2644,0.067673858,0.067709586,-0.000035729,0.669062027,0.001743053
random,random_2,0.350000000,source_doy_mode,2644,0.067673858,0.067709586,-0.000035729,0.669062027,0.001743053
random,random_2,0.400000000,none,2644,0.067947689,0.067947689,0.000000000,0.669062027,0.000000000
random,random_2,0.400000000,global,2644,0.067914679,0.067947689,-0.000033010,0.669062027,0.001561892
random,random_2,0.400000000,doy,2644,0.067980518,0.067947689,0.000032828,0.669062027,0.001561892
random,random_2,0.400000000,source_oracle,2644,0.067694169,0.067947689,-0.000253521,0.669062027,0.001561892
random,random_2,0.400000000,source_soft,2644,0.067974063,0.067947689,0.000026374,0.669062027,0.001561892
random,random_2,0.400000000,source_mode,2644,0.068044432,0.067947689,0.000096743,0.669062027,0.001561892
random,random_2,0.400000000,source_doy_soft,2644,0.067914679,0.067947689,-0.000033010,0.669062027,0.001561892
random,random_2,0.400000000,source_doy_mode,2644,0.067914679,0.067947689,-0.000033010,0.669062027,0.001561892
