mode,mask_seed,method,weight,cohort,n,rmse,mae,bias
all,0,hgb_seed42+lag_k16_d3,0.05,all,2644,0.0736332774538039,0.0435115631939804,-0.0007487886242431
all,0,hgb_seed42+lag_k16_d3,0.1,all,2644,0.0735094762412063,0.0434448863091181,-0.000615077627123
all,0,hgb_seed42+lag_k16_d3,0.15,all,2644,0.0734347759846798,0.0434265004076286,-0.0004813666300029
all,0,hgb_seed42+lag_k16_d3,0.2,all,2644,0.0734093265776205,0.0434699149511554,-0.0003476556328828
all,0,hgb_seed42+lag_k16_d3,0.25,all,2644,0.0734331792259832,0.0435614304611785,-0.0002139446357627
all,0,hgb_seed42+lag_k16_d3,0.3,all,2644,0.0735062859345174,0.0437039826554268,-8.0233638642627e-05
all,0,hgb_seed42+lag_k16_d3,0.35,all,2644,0.0736284999883516,0.0439009694513419,5.3477358477449815e-05
all,0,hgb_seed42+lag_k16_d3,0.4,all,2644,0.0737995774186978,0.0441471623971326,0.0001871883555975
all,0,hgb_seed42+lag_k16_d3,0.45,all,2644,0.0740191794187024,0.0444233451912762,0.0003208993527176
all,0,hgb_seed42+lag_k16_d3,0.5,all,2644,0.0742868756541406,0.0447337317609392,0.0004546103498377
all,0,hgb_seed42+lag_k16_d3,0.55,all,2644,0.07460214839457,0.0450913186605078,0.0005883213469578
all,0,hgb_seed42+lag_k16_d3,0.6,all,2644,0.0749643973744414,0.045493337279476,0.0007220323440779
all,0,hgb_seed42+lag_k16_d3,0.65,all,2644,0.0753729452810283,0.0459266010614704,0.000855743341198
all,0,hgb_seed42+lag_k16_d3,0.7,all,2644,0.0758270437572019,0.0463965084602367,0.0009894543383181
all,0,hgb_seed42+lag_k16_d3,0.75,all,2644,0.0763258798021507,0.046901050572287,0.0011231653354382
all,0,hgb_seed42+lag_k16_d3,0.8,all,2644,0.0768685824520273,0.047446990396059,0.0012568763325583
all,0,hgb_seed42+lag_k16_d3,0.85,all,2644,0.0774542296249332,0.0480235703635399,0.0013905873296784
all,0,hgb_seed42+lag_k16_d3,0.9,all,2644,0.0780818550202007,0.0486295721790295,0.0015242983267985
all,0,hgb_seed42+lag_k16_d3,0.95,all,2644,0.0787504549700853,0.0492722816296997,0.0016580093239186
all,0,hgb_seed42+lag_k16_d3,1.0,all,2644,0.0794589951521615,0.0499405790027258,0.0017917203210387
