protocol,partition,candidate,n,rmse,mae
exact_hidden_doy,exact2019,factor_robust_w0.450,249,0.20212395352061033,0.17384760057022097
exact_hidden_doy,exact2019,factor_robust_w0.475,249,0.2122957153435866,0.1830241725920006
exact_hidden_doy,exact2019,factor_robust_w0.500,249,0.22250568759213663,0.19220074461378014
exact_hidden_doy,exact2019,factor_peer_w0.000,249,0.05718105612325281,0.039427367948714015
exact_hidden_doy,exact2019,factor_peer_w0.025,249,0.057449117081702965,0.03968140538739128
exact_hidden_doy,exact2019,factor_peer_w0.050,249,0.05784695239707084,0.040071400800859566
exact_hidden_doy,exact2019,factor_peer_w0.075,249,0.058371908687791595,0.04053503806295638
exact_hidden_doy,exact2019,factor_peer_w0.100,249,0.059020594034183665,0.041130545221017806
exact_hidden_doy,exact2019,factor_peer_w0.125,249,0.059788981346942924,0.041826511198784375
exact_hidden_doy,exact2019,factor_peer_w0.150,249,0.06067252289898119,0.04265522206670495
exact_hidden_doy,exact2019,factor_peer_w0.175,249,0.06166626917055094,0.04362110105383953
exact_hidden_doy,exact2019,factor_peer_w0.200,249,0.06276498582782777,0.04469393574954954
exact_hidden_doy,exact2019,factor_peer_w0.225,249,0.0639632637737095,0.04581261365754115
exact_hidden_doy,exact2019,factor_peer_w0.250,249,0.06525561855708664,0.04701578650554209
exact_hidden_doy,exact2019,factor_peer_w0.275,249,0.06663657680295393,0.04832094624610087
exact_hidden_doy,exact2019,factor_peer_w0.300,249,0.06810074857759718,0.04965133950047129
exact_hidden_doy,exact2019,factor_peer_w0.325,249,0.06964288563598843,0.05103531422886722
exact_hidden_doy,exact2019,factor_peer_w0.350,249,0.0712579262724559,0.05243219691131505
exact_hidden_doy,exact2019,factor_peer_w0.375,249,0.0729410280134527,0.053839322184980457
exact_hidden_doy,exact2019,factor_peer_w0.400,249,0.07468758968351409,0.05527813078999822
exact_hidden_doy,exact2019,factor_peer_w0.425,249,0.07649326448695837,0.056788722551900365
exact_hidden_doy,exact2019,factor_peer_w0.450,249,0.07835396572653935,0.05831503018562563
exact_hidden_doy,exact2019,factor_peer_w0.475,249,0.08026586667036482,0.05986200257619217
exact_hidden_doy,exact2019,factor_peer_w0.500,249,0.08222539591682726,0.06141085483416917
exact_hidden_doy,exact2020,factor_abs_w0.000,222,0.05531092808775867,0.037629656313872696
exact_hidden_doy,exact2020,factor_abs_w0.025,222,0.057702532297566944,0.038978082801969224
exact_hidden_doy,exact2020,factor_abs_w0.050,222,0.061720320477371506,0.04229940893050087
exact_hidden_doy,exact2020,factor_abs_w0.075,222,0.06707269149782406,0.047263529480836286
