n,rmse,mae,n_s2,rmse_s2,n_landsat,rmse_landsat,n_modis,rmse_modis,seed,cohort,method
925,0.06675679369522218,0.04309453165060318,607,0.070709540796,215,0.0483282030427869,103,0.07537444725241632,0,2025_same_hidden_dates,base_k6
925,0.06749832492941764,0.04377729982699651,607,0.07150490244532055,215,0.04946974963782382,103,0.0753374743087185,0,2025_same_hidden_dates,base_k8
925,0.06398603980654662,0.04089538422522434,607,0.06847542966393098,215,0.04822213948497544,103,0.0654364624125926,0,2025_same_hidden_dates,lag_k12_d2
925,0.06603229408190997,0.041977969501171455,607,0.07135502896053383,215,0.049190357125992866,103,0.06404227827314102,0,2025_same_hidden_dates,lag_k16_d3
925,0.06994369351183388,0.045131058445852204,607,0.07582580851895437,215,0.05189239604955608,103,0.06655722132321484,0,2025_same_hidden_dates,lag_k24_d2
925,0.08520550834109064,0.04533921085295912,608,0.07536175393698002,208,0.1121554454510483,109,0.07698499715888149,1,2025_same_hidden_dates,base_k6
925,0.08541279791374909,0.04620150200640345,608,0.07551761712063192,208,0.11243933263183326,109,0.07729153554332019,1,2025_same_hidden_dates,base_k8
925,0.08434997712785018,0.044303376996814706,608,0.07464484609583129,208,0.11307979308288464,109,0.06998747281118949,1,2025_same_hidden_dates,lag_k12_d2
925,0.08356181393251895,0.044003747208672915,608,0.07363627382908558,208,0.11203269541524488,109,0.07112781000606404,1,2025_same_hidden_dates,lag_k16_d3
925,0.08804042369983438,0.04776981969708351,608,0.08075994400078068,208,0.11290107827715265,109,0.07122777041728928,1,2025_same_hidden_dates,lag_k24_d2
925,0.06864414588529161,0.043898344263891526,593,0.07142119269204944,218,0.056042213588953414,114,0.07545494354202287,2,2025_same_hidden_dates,base_k6
925,0.06875365676338081,0.044746424813306325,593,0.07156580705366702,218,0.0556312994614616,114,0.07612966699896544,2,2025_same_hidden_dates,base_k8
925,0.06621953255084741,0.04248673469407476,593,0.06926860062681854,218,0.05498146145397316,114,0.06957562699452989,2,2025_same_hidden_dates,lag_k12_d2
925,0.06685725791674016,0.04286021989623959,593,0.07039359126931886,218,0.054488239353980936,114,0.06939260799277917,2,2025_same_hidden_dates,lag_k16_d3
925,0.06964015444537959,0.04611379286720911,593,0.0727727242481035,218,0.05697957346754683,114,0.07479766720085977,2,2025_same_hidden_dates,lag_k24_d2
