slice,n,true_anomaly_n,pred_anomaly_n,precision,recall,f1
all,3112,525,453,0.8520971302428256,0.7352380952380952,0.7893660531697342
year_2025,925,158,151,0.8211920529801324,0.7848101265822784,0.8025889967637541
