h,outer_rmse,released_rmse,delta_outer
0.03,0.08368545565598545,0.08808120264401317,0.017585455655985446
0.05,0.09119993799707868,0.0960537478052487,0.025099937997078672
0.1,0.12063252101322651,0.12395077550746102,0.054532521013226504
0.2,0.162867579857409,0.16279106084729628,0.09676757985740898
