dataset,partition,cohort,lag_weight,peer_weight,alpha,beta,n,coverage,rmse,baseline_rmse,delta_rmse
exact,exact_2021,all,0.250000000,0.100000000,0.250000000,-0.200000000,130,0.884615385,0.076962267,0.077316350,-0.000354083
exact,exact_2022,all,0.250000000,0.100000000,0.250000000,-0.200000000,192,0.812500000,0.066114687,0.066372413,-0.000257726
exact,exact_2023,all,0.250000000,0.100000000,0.250000000,-0.200000000,169,0.958579882,0.068881497,0.070550725,-0.001669228
exact,exact_2024,all,0.250000000,0.100000000,0.250000000,-0.200000000,152,0.927631579,0.050564456,0.051238653,-0.000674198
random,random_0,all,0.250000000,0.100000000,0.250000000,-0.200000000,2644,0.695537065,0.072498446,0.073433179,-0.000934733
random,random_0,year2025,0.250000000,0.100000000,0.250000000,-0.200000000,756,0.940476190,0.051625119,0.052464820,-0.000839701
random,random_1,all,0.250000000,0.100000000,0.250000000,-0.200000000,2644,0.692133132,0.065547683,0.066541457,-0.000993774
random,random_1,year2025,0.250000000,0.100000000,0.250000000,-0.200000000,756,0.933862434,0.054765552,0.055045718,-0.000280166
random,random_2,all,0.250000000,0.100000000,0.250000000,-0.200000000,2644,0.669062027,0.067387035,0.068311653,-0.000924618
random,random_2,year2025,0.250000000,0.100000000,0.250000000,-0.200000000,756,0.927248677,0.075656739,0.076608182,-0.000951443
exact,exact_2019,all,0.250000000,0.100000000,0.275000000,-0.100000000,249,0.879518072,0.056112532,0.057195772,-0.001083240
exact,exact_2020,all,0.250000000,0.100000000,0.275000000,-0.100000000,222,0.941441441,0.055164498,0.055301391,-0.000136892
exact,exact_2021,all,0.250000000,0.100000000,0.275000000,-0.100000000,130,0.884615385,0.076992891,0.077316350,-0.000323459
exact,exact_2022,all,0.250000000,0.100000000,0.275000000,-0.100000000,192,0.812500000,0.065951168,0.066372413,-0.000421245
exact,exact_2023,all,0.250000000,0.100000000,0.275000000,-0.100000000,169,0.958579882,0.069067023,0.070550725,-0.001483702
exact,exact_2024,all,0.250000000,0.100000000,0.275000000,-0.100000000,152,0.927631579,0.050684752,0.051238653,-0.000553901
random,random_0,all,0.250000000,0.100000000,0.275000000,-0.100000000,2644,0.695537065,0.072557755,0.073433179,-0.000875425
random,random_0,year2025,0.250000000,0.100000000,0.275000000,-0.100000000,756,0.940476190,0.051636024,0.052464820,-0.000828796
random,random_1,all,0.250000000,0.100000000,0.275000000,-0.100000000,2644,0.692133132,0.065543353,0.066541457,-0.000998104
random,random_1,year2025,0.250000000,0.100000000,0.275000000,-0.100000000,756,0.933862434,0.054721766,0.055045718,-0.000323952
random,random_2,all,0.250000000,0.100000000,0.275000000,-0.100000000,2644,0.669062027,0.067427511,0.068311653,-0.000884143
random,random_2,year2025,0.250000000,0.100000000,0.275000000,-0.100000000,756,0.927248677,0.075678980,0.076608182,-0.000929202
exact,exact_2019,all,0.250000000,0.100000000,0.275000000,-0.125000000,249,0.879518072,0.056149233,0.057195772,-0.001046539
exact,exact_2020,all,0.250000000,0.100000000,0.275000000,-0.125000000,222,0.941441441,0.055148450,0.055301391,-0.000152941
exact,exact_2021,all,0.250000000,0.100000000,0.275000000,-0.125000000,130,0.884615385,0.076984424,0.077316350,-0.000331926
exact,exact_2022,all,0.250000000,0.100000000,0.275000000,-0.125000000,192,0.812500000,0.065986492,0.066372413,-0.000385921
exact,exact_2023,all,0.250000000,0.100000000,0.275000000,-0.125000000,169,0.958579882,0.069005280,0.070550725,-0.001545445
exact,exact_2024,all,0.250000000,0.100000000,0.275000000,-0.125000000,152,0.927631579,0.050651708,0.051238653,-0.000586945
random,random_0,all,0.250000000,0.100000000,0.275000000,-0.125000000,2644,0.695537065,0.072539232,0.073433179,-0.000893947
random,random_0,year2025,0.250000000,0.100000000,0.275000000,-0.125000000,756,0.940476190,0.051622297,0.052464820,-0.000842523
random,random_1,all,0.250000000,0.100000000,0.275000000,-0.125000000,2644,0.692133132,0.065536086,0.066541457,-0.001005371
random,random_1,year2025,0.250000000,0.100000000,0.275000000,-0.125000000,756,0.933862434,0.054732679,0.055045718,-0.000313039
random,random_2,all,0.250000000,0.100000000,0.275000000,-0.125000000,2644,0.669062027,0.067412974,0.068311653,-0.000898680
random,random_2,year2025,0.250000000,0.100000000,0.275000000,-0.125000000,756,0.927248677,0.075666509,0.076608182,-0.000941673
exact,exact_2019,all,0.250000000,0.100000000,0.275000000,-0.150000000,249,0.879518072,0.056190925,0.057195772,-0.001004847
exact,exact_2020,all,0.250000000,0.100000000,0.275000000,-0.150000000,222,0.941441441,0.055134471,0.055301391,-0.000166920
exact,exact_2021,all,0.250000000,0.100000000,0.275000000,-0.150000000,130,0.884615385,0.076977883,0.077316350,-0.000338467
exact,exact_2022,all,0.250000000,0.100000000,0.275000000,-0.150000000,192,0.812500000,0.066024576,0.066372413,-0.000347838
exact,exact_2023,all,0.250000000,0.100000000,0.275000000,-0.150000000,169,0.958579882,0.068944857,0.070550725,-0.001605868
exact,exact_2024,all,0.250000000,0.100000000,0.275000000,-0.150000000,152,0.927631579,0.050620042,0.051238653,-0.000618611
random,random_0,all,0.250000000,0.100000000,0.275000000,-0.150000000,2644,0.695537065,0.072522543,0.073433179,-0.000910636
random,random_0,year2025,0.250000000,0.100000000,0.275000000,-0.150000000,756,0.940476190,0.051611176,0.052464820,-0.000853645
random,random_1,all,0.250000000,0.100000000,0.275000000,-0.150000000,2644,0.692133132,0.065530716,0.066541457,-0.001010741
random,random_1,year2025,0.250000000,0.100000000,0.275000000,-0.150000000,756,0.933862434,0.054745982,0.055045718,-0.000299736
random,random_2,all,0.250000000,0.100000000,0.275000000,-0.150000000,2644,0.669062027,0.067400505,0.068311653,-0.000911148
random,random_2,year2025,0.250000000,0.100000000,0.275000000,-0.150000000,756,0.927248677,0.075655986,0.076608182,-0.000952196
exact,exact_2019,all,0.250000000,0.100000000,0.275000000,-0.175000000,249,0.879518072,0.056237597,0.057195772,-0.000958174
exact,exact_2020,all,0.250000000,0.100000000,0.275000000,-0.175000000,222,0.941441441,0.055122563,0.055301391,-0.000178827
exact,exact_2021,all,0.250000000,0.100000000,0.275000000,-0.175000000,130,0.884615385,0.076973268,0.077316350,-0.000343083
exact,exact_2022,all,0.250000000,0.100000000,0.275000000,-0.175000000,192,0.812500000,0.066065413,0.066372413,-0.000307000
exact,exact_2023,all,0.250000000,0.100000000,0.275000000,-0.175000000,169,0.958579882,0.068885758,0.070550725,-0.001664967
exact,exact_2024,all,0.250000000,0.100000000,0.275000000,-0.175000000,152,0.927631579,0.050589758,0.051238653,-0.000648895
random,random_0,all,0.250000000,0.100000000,0.275000000,-0.175000000,2644,0.695537065,0.072507690,0.073433179,-0.000925489
random,random_0,year2025,0.250000000,0.100000000,0.275000000,-0.175000000,756,0.940476190,0.051602661,0.052464820,-0.000862159
random,random_1,all,0.250000000,0.100000000,0.275000000,-0.175000000,2644,0.692133132,0.065527244,0.066541457,-0.001014212
random,random_1,year2025,0.250000000,0.100000000,0.275000000,-0.175000000,756,0.933862434,0.054761674,0.055045718,-0.000284043
random,random_2,all,0.250000000,0.100000000,0.275000000,-0.175000000,2644,0.669062027,0.067390107,0.068311653,-0.000921546
random,random_2,year2025,0.250000000,0.100000000,0.275000000,-0.175000000,756,0.927248677,0.075647413,0.076608182,-0.000960770
exact,exact_2019,all,0.250000000,0.100000000,0.275000000,-0.200000000,249,0.879518072,0.056289238,0.057195772,-0.000906534
