seed,method,n,rmse,mae,cohort
0,sq_regular_predclip-0.2_1.1,2644,0.07286175484841292,0.04321651200044326,
0,sq_regular_predclip-0.05_1.0,2644,0.07286175484841292,0.04321651200044326,
0,sq_regular_predclip-0.1_1.0,2644,0.07286175484841292,0.04321651200044326,
0,sq_wide_predclip-0.2_1.1,2644,0.07274084428987206,0.04291608436503066,
0,sq_wide_predclip-0.05_1.0,2644,0.07274084428987206,0.04291608436503066,
0,sq_wide_predclip-0.1_1.0,2644,0.07274084428987206,0.04291608436503066,
0,abs_regular_predclip-0.2_1.1,2644,0.07472565185508667,0.04384547728786879,
0,abs_regular_predclip-0.05_1.0,2644,0.07472565185508667,0.04384547728786879,
0,abs_regular_predclip-0.1_1.0,2644,0.07472565185508667,0.04384547728786879,
0,sq_clip_predclip-0.2_1.1,2644,0.07251928475960348,0.04307080947945187,
0,sq_clip_predclip-0.05_1.0,2644,0.07251928475960348,0.04307080947945187,
0,sq_clip_predclip-0.1_1.0,2644,0.07251928475960348,0.04307080947945187,
0,sq_regular,2644,0.07286175484841292,0.04321651200044326,all
0,sq_wide,2644,0.07274084428987206,0.04291608436503066,all
0,abs_regular,2644,0.07472565185508667,0.04384547728786879,all
0,sq_clip,2644,0.07251928475960348,0.04307080947945187,all
0,sq_regular,1888,0.07893172288710927,0.04627142952552698,history
0,sq_wide,1888,0.07880930471679881,0.045973672093214964,history
0,abs_regular,1888,0.08124100088177841,0.04750331975156435,history
0,sq_clip,1888,0.07857396830492198,0.0460951444049461,history
0,sq_regular,756,0.054843586143662755,0.0355872999801284,2025
0,sq_wide,756,0.054721780203650205,0.03528020390099365,2025
0,abs_regular,756,0.05519210447898766,0.03471054796054443,2025
0,sq_clip,756,0.05453817234541441,0.03551797305176254,2025
0,sq_regular,379,0.05909952543967016,0.03696424834555812,new2025
0,sq_wide,379,0.05940424523444662,0.03707271748442199,new2025
0,abs_regular,379,0.05973128862269923,0.036706268997623026,new2025
0,sq_clip,379,0.0586209311572082,0.036592121050881256,new2025
0,sq_regular,377,0.0502027028725631,0.03420304684883432,shared2025
0,sq_wide,377,0.04957062778771331,0.03347818096168507,shared2025
0,abs_regular,377,0.05021695464991146,0.0327042395439588,shared2025
0,sq_clip,377,0.050099500799873915,0.03443812665477052,shared2025
1,sq_regular_predclip-0.2_1.1,2644,0.06625722292718653,0.043217651429710825,
1,sq_regular_predclip-0.05_1.0,2644,0.06625722292718653,0.043217651429710825,
1,sq_regular_predclip-0.1_1.0,2644,0.06625722292718653,0.043217651429710825,
1,sq_wide_predclip-0.2_1.1,2644,0.06643653850734219,0.043226432554037277,
1,sq_wide_predclip-0.05_1.0,2644,0.06643653850734219,0.043226432554037277,
1,sq_wide_predclip-0.1_1.0,2644,0.06643653850734219,0.043226432554037277,
1,abs_regular_predclip-0.2_1.1,2644,0.06837027554140117,0.04339718157792033,
1,abs_regular_predclip-0.05_1.0,2644,0.06837027554140117,0.04339718157792033,
1,abs_regular_predclip-0.1_1.0,2644,0.06837027554140117,0.04339718157792033,
1,sq_clip_predclip-0.2_1.1,2644,0.06643711328297067,0.04326167887352418,
1,sq_clip_predclip-0.05_1.0,2644,0.06643711328297067,0.04326167887352418,
1,sq_clip_predclip-0.1_1.0,2644,0.06643711328297067,0.04326167887352418,
1,sq_regular,2644,0.06625722292718653,0.043217651429710825,all
1,sq_wide,2644,0.06643653850734219,0.043226432554037277,all
1,abs_regular,2644,0.06837027554140117,0.04339718157792033,all
1,sq_clip,2644,0.06643711328297067,0.04326167887352418,all
1,sq_regular,1888,0.06928002416557716,0.04586048407405017,history
1,sq_wide,1888,0.06946158023682401,0.045830063756282576,history
1,abs_regular,1888,0.07222631853267873,0.046583159058228255,history
1,sq_clip,1888,0.06953624618544842,0.04591779010084081,history
1,sq_regular,756,0.05802454706644891,0.03661756143961473,2025
1,sq_wide,756,0.05819929130076183,0.03672424246165746,2025
1,abs_regular,756,0.057624322553020586,0.035440666389003186,2025
1,sq_clip,756,0.0579784964829725,0.03662842755451123,2025
1,sq_regular,379,0.06353559306091683,0.03887954913051277,new2025
1,sq_wide,379,0.06357646869209034,0.039245537080038945,new2025
1,abs_regular,379,0.06209560238546365,0.036987544374041684,new2025
1,sq_clip,379,0.06393104205563747,0.03911097687237494,new2025
1,sq_regular,377,0.05189769328192331,0.03434357381401697,shared2025
1,sq_wide,377,0.05223862414044325,0.03418957227500872,shared2025
1,abs_regular,377,0.052748663197802984,0.03388558215470718,shared2025
1,sq_clip,377,0.0513028678657877,0.034132708213741064,shared2025
70404,sq_regular_predclip-0.2_1.1,2644,0.0708732682577917,0.04263987206015886,
70404,sq_regular_predclip-0.05_1.0,2644,0.0708732682577917,0.04263987206015886,
70404,sq_regular_predclip-0.1_1.0,2644,0.0708732682577917,0.04263987206015886,
70404,sq_wide_predclip-0.2_1.1,2644,0.07087405924488187,0.042531495594817455,
70404,sq_wide_predclip-0.05_1.0,2644,0.07087405924488187,0.042531495594817455,
70404,sq_wide_predclip-0.1_1.0,2644,0.07087405924488187,0.042531495594817455,
70404,abs_regular_predclip-0.2_1.1,2644,0.07300229092901277,0.0428853857581886,
70404,abs_regular_predclip-0.05_1.0,2644,0.07300229092901277,0.0428853857581886,
70404,abs_regular_predclip-0.1_1.0,2644,0.07300229092901277,0.0428853857581886,
70404,sq_clip_predclip-0.2_1.1,2644,0.07059507957888234,0.04244009529883125,
70404,sq_clip_predclip-0.05_1.0,2644,0.07059507957888234,0.04244009529883125,
70404,sq_clip_predclip-0.1_1.0,2644,0.07059507957888234,0.04244009529883125,
70404,sq_regular,2644,0.0708732682577917,0.04263987206015886,all
70404,sq_wide,2644,0.07087405924488187,0.042531495594817455,all
