method,runs,n_total,rmse_pooled,mae_weighted,rmse_mean,rmse_std,rmse_2025_mean,rmse_hidden_doy_mean,fit_seconds_mean
capacity,1,925,0.07621696037087194,0.041127909945089136,0.07621696037087193,0.0,0.07621696037087193,0.08162771655803949,12.604
archive_default,1,925,0.07642246241214055,0.041127052455881004,0.07642246241214055,0.0,0.07642246241214055,0.08171327578204482,4.012
archive_no_early_stop,1,925,0.07642246241214055,0.041127052455881004,0.07642246241214055,0.0,0.07642246241214055,0.08171327578204482,7.428
regularized,1,925,0.07644925446813171,0.04143049094989411,0.07644925446813171,0.0,0.07644925446813171,0.08184516166408051,5.385
fast,1,925,0.0766777395632343,0.04160013347810087,0.0766777395632343,0.0,0.0766777395632343,0.08194196483653138,2.995
smooth,1,925,0.07684086953978593,0.04183560374932391,0.07684086953978593,0.0,0.07684086953978593,0.08224171454227362,4.943
absolute,1,925,0.07719974975198308,0.040656783538087125,0.07719974975198308,0.0,0.07719974975198308,0.08265986249505368,7.534
