group,min_n,shrink,clip,stat,prior,exact_rmse_pooled,exact_baseline_rmse_pooled,exact_delta_rmse_pooled,exact_coverage_weighted,exact_improved_runs,exact_runs,random_rmse_pooled,random_baseline_rmse_pooled,random_delta_rmse_pooled,random_coverage_weighted,random_improved_runs,random_runs,random2025_rmse_pooled,random2025_baseline_rmse_pooled,random2025_delta_rmse_pooled,random2025_coverage_weighted,random2025_improved_runs,random2025_runs,worst_delta,mean_delta,all_three_improve
aoi_bin32,5,0.1,0.02,mean,zero,0.06248266753754651,0.06260634739886303,-0.00012367986131651965,0.6983842010771992,6,6,0.06943820490313116,0.06944909527214516,-1.0890369013999424e-05,0.791981845688351,3,3,0.0624226694487459,0.062438112899989955,-1.544345124405294e-05,0.30687830687830686,2,3,-1.0890369013999424e-05,-5.0004560524857335e-05,True
aoi_bin32,5,0.1,0.03,mean,zero,0.06248266753754651,0.06260634739886303,-0.00012367986131651965,0.6983842010771992,6,6,0.06943820490313116,0.06944909527214516,-1.0890369013999424e-05,0.791981845688351,3,3,0.0624226694487459,0.062438112899989955,-1.544345124405294e-05,0.30687830687830686,2,3,-1.0890369013999424e-05,-5.0004560524857335e-05,True
aoi_bin32,5,0.1,0.04,mean,zero,0.06248266753754651,0.06260634739886303,-0.00012367986131651965,0.6983842010771992,6,6,0.06943820490313116,0.06944909527214516,-1.0890369013999424e-05,0.791981845688351,3,3,0.0624226694487459,0.062438112899989955,-1.544345124405294e-05,0.30687830687830686,2,3,-1.0890369013999424e-05,-5.0004560524857335e-05,True
aoi_bin32,5,0.1,0.01,mean,zero,0.06248134692036978,0.06260634739886303,-0.00012500047849325208,0.6983842010771992,6,6,0.06943896197160651,0.06944909527214516,-1.013330053864503e-05,0.791981845688351,3,3,0.062422164110105954,0.062438112899989955,-1.5948789884000225e-05,0.30687830687830686,2,3,-1.013330053864503e-05,-5.036085630529911e-05,True
aoi_bin32,8,0.1,0.02,mean,zero,0.06257921171440138,0.06260634739886303,-2.71356844616516e-05,0.24685816876122083,4,6,0.06944095043338315,0.06944909527214516,-8.14483876200589e-06,0.7609682299546142,2,3,0.06242292377530352,0.062438112899989955,-1.5189124686433575e-05,0.23985890652557318,2,3,-8.14483876200589e-06,-1.6823215970030354e-05,True
aoi_bin32,8,0.1,0.03,mean,zero,0.06257921171440138,0.06260634739886303,-2.71356844616516e-05,0.24685816876122083,4,6,0.06944095043338315,0.06944909527214516,-8.14483876200589e-06,0.7609682299546142,2,3,0.06242292377530352,0.062438112899989955,-1.5189124686433575e-05,0.23985890652557318,2,3,-8.14483876200589e-06,-1.6823215970030354e-05,True
aoi_bin32,8,0.1,0.04,mean,zero,0.06257921171440138,0.06260634739886303,-2.71356844616516e-05,0.24685816876122083,4,6,0.06944095043338315,0.06944909527214516,-8.14483876200589e-06,0.7609682299546142,2,3,0.06242292377530352,0.062438112899989955,-1.5189124686433575e-05,0.23985890652557318,2,3,-8.14483876200589e-06,-1.6823215970030354e-05,True
aoi_bin32,5,0.1,0.02,trim10,zero,0.062487517060389755,0.06260634739886303,-0.00011883033847327751,0.6983842010771992,6,6,0.06944137850187951,0.06944909527214516,-7.716770265647765e-06,0.791981845688351,2,3,0.06242454080138866,0.062438112899989955,-1.3572098601297156e-05,0.30687830687830686,2,3,-7.716770265647765e-06,-4.670640244674081e-05,True
aoi_bin32,5,0.1,0.03,trim10,zero,0.062487517060389755,0.06260634739886303,-0.00011883033847327751,0.6983842010771992,6,6,0.06944137850187951,0.06944909527214516,-7.716770265647765e-06,0.791981845688351,2,3,0.06242454080138866,0.062438112899989955,-1.3572098601297156e-05,0.30687830687830686,2,3,-7.716770265647765e-06,-4.670640244674081e-05,True
aoi_bin32,5,0.1,0.04,trim10,zero,0.062487517060389755,0.06260634739886303,-0.00011883033847327751,0.6983842010771992,6,6,0.06944137850187951,0.06944909527214516,-7.716770265647765e-06,0.791981845688351,2,3,0.06242454080138866,0.062438112899989955,-1.3572098601297156e-05,0.30687830687830686,2,3,-7.716770265647765e-06,-4.670640244674081e-05,True
