protocol,method,n,rmse,mae,seconds,features
random,hgb_sq,4571,0.06418752403543805,0.042639408715959795,7.237737417221069,69
random,hgb_abs,4571,0.06664219325576616,0.043429341614274974,11.481090307235718,69
random,hgb_q50,4571,0.06664219325576616,0.043429341614274974,8.390205144882202,69
random,extra_leaf5,4571,0.06545665484030593,0.04369572969463925,5.474637746810913,69
random,extra_leaf10,4571,0.0664002411630365,0.04449594532558479,4.122808933258057,69
random,rf_leaf5,4571,0.06597817984842416,0.04404825238255946,16.795987129211426,69
