private,train,n_target,target_corr,target_mae,target_rmse,target_affine_rmse,crop_a,crop_b,temp_n,temp_rmse,temp_mae,temp_exact,temp_corr,precip_n,precip_rmse,precip_mae,precip_exact,precip_corr
AOI-0001,AOI-0002,537,0.5219481141249611,0.16040448485929534,0.21859833877832802,0.19331438923134114,озимая пшеница,озимая пшеница,3078,0.0,0.0,1.0,0.9999999999999999,3078,1.8135266486030583e-18,3.26880966883219e-20,1.0,1.0
AOI-0001,AOI-0003,551,0.4940378653123655,0.16597695789449649,0.23111866069898387,0.19516778936623533,озимая пшеница,озимая пшеница,3078,0.0,0.0,1.0,0.9999999999999999,3078,0.0,0.0,1.0,1.0
AOI-0001,AOI-0004,508,0.5241736115928921,0.18168371730598537,0.21577949743112068,0.1951258382788985,озимая пшеница,озимая пшеница,3078,0.04586642060699404,0.03746778105202221,0.0,0.9999829910743377,3078,0.1611431425348016,0.06383051242512337,0.3888888888888889,0.9987029299552118
AOI-0001,AOI-0007,380,0.5760827793693644,0.15537017734206315,0.21393442179024472,0.18057231058496145,озимая пшеница,озимая пшеница,3078,0.7001327654765257,0.5347480005533215,0.0,0.9958322780198252,3078,2.307511403609823,0.8872778477453427,0.31676413255360625,0.7414143260114594
AOI-0001,AOI-0008,374,0.5122108983715068,0.1657509007553382,0.22594586266058778,0.18755153339570224,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0011,388,0.5555753863200749,0.15480746412938715,0.21384210724529912,0.18648354138229017,озимая пшеница,озимая пшеница,3078,0.7001327654765257,0.5347480005533215,0.0,0.9958322780198252,3078,2.307511403609823,0.8872778477453427,0.31676413255360625,0.7414143260114594
AOI-0001,AOI-0015,542,0.5282564250094305,0.1563769223954684,0.2199025003680758,0.19032160506416598,озимая пшеница,озимая пшеница,3078,0.23412836029510037,0.17650597803464033,0.0,0.9993977506391893,3078,1.0419932801446348,0.40289612221903737,0.3473034437946719,0.9450365545209314
AOI-0001,AOI-0019,525,0.7011834267766349,0.11963643411503284,0.16920942213930734,0.16048849816892902,озимая пшеница,подсолнечник,3078,0.3994026053104043,0.30648759425086636,0.0,0.9983416701806185,3078,1.643314890916333,0.6090562192746151,0.33073424301494475,0.8640560115803209
AOI-0001,AOI-0020,520,0.5741189461194441,0.142194037164888,0.19982734686826215,0.18429140611575803,озимая пшеница,подсолнечник,3078,0.3994026053104043,0.30648759425086636,0.0,0.9983416701806185,3078,1.643314890916333,0.6090562192746151,0.33073424301494475,0.8640560115803209
AOI-0001,AOI-0021,522,0.4596238783275354,0.16671253557987972,0.23411497902884648,0.19990176685309688,озимая пшеница,подсолнечник,3078,0.3994026053104043,0.30648759425086636,0.0,0.9983416701806185,3078,1.643314890916333,0.6090562192746151,0.33073424301494475,0.8640560115803209
AOI-0001,AOI-0022,526,0.3973655191478168,0.1868233807050556,0.2745861176707429,0.20671297852064896,озимая пшеница,подсолнечник,3078,0.3994026053104043,0.30648759425086636,0.0,0.9983416701806185,3078,1.643314890916333,0.6090562192746151,0.33073424301494475,0.8640560115803209
AOI-0001,AOI-0023,523,0.5535060431388896,0.17146329958127188,0.23599417472878959,0.18633841253630964,озимая пшеница,подсолнечник,3078,0.5198777364326513,0.39747788510024074,0.0,0.9974554380824516,3078,1.9691826527341652,0.7417223224436951,0.3183885640025991,0.8133923980209552
AOI-0001,AOI-0026,458,0.5045844050155186,0.17707973883198133,0.24141419155109664,0.19402276974380459,озимая пшеница,озимая пшеница,3078,0.20397429295646682,0.16059696692420708,0.0,0.999556552196806,3078,0.9045932670807284,0.3592154377849943,0.36062378167641324,0.9602357721431706
AOI-0001,AOI-0027,455,0.5502262851651138,0.16358410195186876,0.21291940517171415,0.1848587695967986,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0030,443,0.40637864219604036,0.24845211219203678,0.29107285497433166,0.2008356083701235,озимая пшеница,озимая пшеница,3078,0.16985611261373457,0.13573118874539805,0.0003248862897985705,0.9997310791545675,3078,0.6927194279413358,0.27595497691995374,0.3632228719948018,0.9763101841687352
AOI-0001,AOI-0033,230,0.5613786438643179,0.18340629807626768,0.24059195586623547,0.17649736951266043,озимая пшеница,пастбища/зерновые,3078,1.4319509318010455,1.0946903935185182,0.0,0.9808028774395446,3078,3.3863879110643573,1.37415604303997,0.29597141000649774,0.3569027434035774
AOI-0001,AOI-0035,229,0.5309586379150445,0.17548928203142788,0.23566161478585373,0.1792814216412926,озимая пшеница,пастбища/зерновые,0,,,,,0,,,,
AOI-0001,AOI-0037,231,0.6019133132123938,0.14247449409584728,0.18991874145599905,0.17473177976721826,озимая пшеница,зерновые,3078,1.6191367820512559,1.2265810603983913,0.0,0.9772328507377395,3078,3.3720147781426184,1.3199780109720312,0.3001949317738791,0.34481070429314736
AOI-0001,AOI-0038,231,0.4821857022942189,0.1776606996917001,0.23099816922049266,0.1925038715084866,озимая пшеница,зерновые,3078,1.6847280860424154,1.27967252477258,0.0,0.9756503714567029,3078,3.3397935733236834,1.3205009119862314,0.29564652371669914,0.3456172213863496
AOI-0001,AOI-0040,229,0.41160152302740083,0.2058921122784215,0.267475013679338,0.19875754489863412,озимая пшеница,зерновые,3078,1.6191367820512559,1.2265810603983913,0.0,0.9772328507377395,3078,3.3720147781426184,1.3199780109720312,0.3001949317738791,0.34481070429314736
AOI-0001,AOI-0041,231,0.597287769736533,0.14072529537570805,0.18160133087882116,0.175591896619396,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0001,AOI-0043,372,0.6523564406163451,0.1529904350930618,0.2084016038562111,0.16620859017385536,озимая пшеница,зерновые,3078,0.9722707036904124,0.7376769794797082,0.0003248862897985705,0.9917260298774689,3078,2.611921869879801,1.0030747544385923,0.3206627680311891,0.6534508964763782
AOI-0001,AOI-0045,285,0.5591888983971502,0.1727699251665118,0.23501865756503953,0.18206431643287838,озимая пшеница,зерновые,3078,1.0066059964274683,0.7639889616921838,0.0,0.9910876083436577,3078,2.6569350419244038,1.02610012989605,0.3206627680311891,0.6363391654777135
AOI-0001,AOI-0048,281,0.5680837895203291,0.15285627685723924,0.20822512265375298,0.18070665749565526,озимая пшеница,зерновые,3078,0.891344804540999,0.6757400046702404,0.0,0.9927360647306861,3078,2.6141651518925575,1.0034258346072724,0.32098765432098764,0.6586667116951875
AOI-0001,AOI-0050,431,0.41558456467454324,0.19718302367765853,0.2330853130014984,0.20280378886395425,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0052,460,0.4207253854428744,0.18757859051210166,0.2503360391391258,0.20221341193388684,озимая пшеница,озимая пшеница,3078,0.6741634245651666,0.5357076859579181,0.0,0.9959796423215237,3078,1.8905038268876326,0.7584844642266945,0.3222871994801819,0.8291390843751526
AOI-0001,AOI-0053,458,0.61931560636443,0.13672745488323532,0.18181989969691073,0.17473161505351564,озимая пшеница,озимая пшеница,3078,0.5937544229317772,0.47851168554222145,0.0,0.9972146217608225,3078,1.8655943188587671,0.6990793601036691,0.32975958414554907,0.8431844352613646
AOI-0001,AOI-0055,426,0.3827177187225131,0.19216781317381015,0.21463966321275857,0.20584464907674277,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0056,447,0.7331794343485233,0.12052107188269831,0.16129671914728383,0.15283776205132882,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0060,439,0.4656749014839086,0.18784269290554784,0.23419245121632473,0.19822451239025696,озимая пшеница,озимая пшеница,3078,0.7849805977696815,0.6166860255323396,0.0,0.9942931851232952,3078,2.1453536544083835,0.8606312286938995,0.3226120857699805,0.783948208919821
AOI-0001,AOI-0063,377,0.5649588102155564,0.160158798369062,0.22101721592901394,0.18134250358118864,озимая пшеница,озимая пшеница,3078,1.1711300039599795,0.8909203271368041,0.0,0.9852808231339112,3078,3.617612136052499,1.499468447365801,0.27550357374918777,0.5193508722691044
AOI-0001,AOI-0064,377,0.6545654299415751,0.13380861134386024,0.19089113656657122,0.16556707265627169,озимая пшеница,озимая пшеница,3078,1.1246523565179498,0.8562302815596566,0.0003248862897985705,0.9866668802741698,3078,3.4800185689240393,1.406514788405937,0.2742040285899935,0.5280557846194357
AOI-0001,AOI-0065,380,0.6829913849519869,0.1333503467227025,0.18535013842115444,0.1603936969269835,озимая пшеница,озимая пшеница,3078,1.1711300039599795,0.8909203271368041,0.0,0.9852808231339112,3078,3.617612136052499,1.499468447365801,0.27550357374918777,0.5193508722691044
AOI-0001,AOI-0069,274,0.4414150289964044,0.19311937192360637,0.25823983367573683,0.19550196257620733,озимая пшеница,зерновые,3078,1.4106453140901727,1.063905291083854,0.0,0.982419475490821,3078,3.2512816253489505,1.2344239514943873,0.29012345679012347,0.4458287776203475
AOI-0001,AOI-0070,275,0.3288533997304452,0.19089717176922946,0.24836283564991166,0.205924754525346,озимая пшеница,зерновые,3078,1.439438521321339,1.0835624417395024,0.0,0.9818529863523434,3078,3.3111553765869517,1.2610833590301431,0.3001949317738791,0.4304238218389411
AOI-0001,AOI-0071,253,0.3768689816289726,0.17443241776613477,0.22349397074302596,0.20115836767542117,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0001,AOI-0075,286,0.1709001234432898,0.2151041204038908,0.26857074798252717,0.21428264526000404,озимая пшеница,озимая пшеница,3078,2.7650020227981806,2.2807092631511265,0.0,0.9621386535603351,3078,3.879196209226523,1.6127243236220448,0.21962313190383365,0.3743102192430656
AOI-0001,AOI-0076,291,0.42924561501898273,0.17396927980826224,0.23010417301596062,0.19650464153235328,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0001,AOI-0077,290,0.3066535157113951,0.19895585545227704,0.2457331263907143,0.2081490305676918,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0002,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0003,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0004,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0007,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0008,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0011,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0015,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0019,0,,,,,озимая пшеница,подсолнечник,0,,,,,0,,,,
AOI-0005,AOI-0020,0,,,,,озимая пшеница,подсолнечник,0,,,,,0,,,,
AOI-0005,AOI-0021,0,,,,,озимая пшеница,подсолнечник,0,,,,,0,,,,
AOI-0005,AOI-0022,0,,,,,озимая пшеница,подсолнечник,0,,,,,0,,,,
AOI-0005,AOI-0023,0,,,,,озимая пшеница,подсолнечник,0,,,,,0,,,,
AOI-0005,AOI-0026,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0027,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0030,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0033,0,,,,,озимая пшеница,пастбища/зерновые,0,,,,,0,,,,
AOI-0005,AOI-0035,0,,,,,озимая пшеница,пастбища/зерновые,0,,,,,0,,,,
AOI-0005,AOI-0037,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0038,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0040,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0041,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0043,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0045,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0048,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0050,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0052,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0053,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0055,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0056,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0060,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0063,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0064,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0065,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0069,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0070,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0071,0,,,,,озимая пшеница,зерновые,0,,,,,0,,,,
AOI-0005,AOI-0075,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0076,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0005,AOI-0077,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0006,AOI-0002,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0006,AOI-0003,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
AOI-0006,AOI-0004,0,,,,,озимая пшеница,озимая пшеница,0,,,,,0,,,,
