protocol,partition,candidate,n,rmse,mae,tag,tail_n
exact_hidden_doy,exact2022,ridge30_s0.50,192,0.06733952043638076,0.04836847224611359,loo_year,16
exact_hidden_doy,exact2022,ridge30_s0.75,192,0.06799530470955695,0.04885016222254706,loo_year,16
exact_hidden_doy,exact2022,ridge30,192,0.0688344168322675,0.04952697086775163,loo_year,16
exact_hidden_doy,exact2022,ridge100,192,0.06743711634160052,0.04853731691661303,loo_year,16
exact_hidden_doy,exact2022,huber,192,0.07036179025643521,0.05118729234125374,loo_year,16
exact_hidden_doy,exact2022,hgb8_s0.25,192,0.0672078152417939,0.04796778943935459,loo_year,16
exact_hidden_doy,exact2022,hgb8_s0.50,192,0.06818127939812642,0.0486250768978447,loo_year,16
exact_hidden_doy,exact2022,hgb8_s0.75,192,0.06950319769285687,0.049719526899485444,loo_year,16
exact_hidden_doy,exact2022,hgb8,192,0.0711541517908548,0.05129532478716884,loo_year,16
exact_hidden_doy,exact2022,hgb16_s0.25,192,0.06728231060916322,0.04806208579152834,loo_year,16
exact_hidden_doy,exact2022,hgb16_s0.50,192,0.06837842632390655,0.04892634937459006,loo_year,16
exact_hidden_doy,exact2022,hgb16_s0.75,192,0.06986705084687285,0.05019643563289811,loo_year,16
exact_hidden_doy,exact2022,hgb16,192,0.07172374881045132,0.05201038336724062,loo_year,16
exact_hidden_doy,exact2023,baseline,169,0.07085721568596635,0.04507310811478096,loo_year,14
exact_hidden_doy,exact2023,ridge10_s0.25,169,0.07087866582960393,0.04509054646469373,loo_year,14
exact_hidden_doy,exact2023,ridge10_s0.50,169,0.07110240892222634,0.04538253725759513,loo_year,14
exact_hidden_doy,exact2023,ridge10_s0.75,169,0.07152654660364946,0.045999497662459234,loo_year,14
exact_hidden_doy,exact2023,ridge10,169,0.07214754474884302,0.04689033637857571,loo_year,14
exact_hidden_doy,exact2023,ridge30_s0.25,169,0.07086828586670511,0.04512096114762442,loo_year,14
exact_hidden_doy,exact2023,ridge30_s0.50,169,0.07104148071090768,0.04539907125626994,loo_year,14
exact_hidden_doy,exact2023,ridge30_s0.75,169,0.0713756200288814,0.0459093329230142,loo_year,14
exact_hidden_doy,exact2023,ridge30,169,0.07186845900958219,0.04672455470050141,loo_year,14
exact_hidden_doy,exact2023,ridge100,169,0.07172664268504901,0.046533462586614976,loo_year,14
exact_hidden_doy,exact2023,huber,169,0.07218724938338271,0.046618715379951325,loo_year,14
exact_hidden_doy,exact2023,hgb8_s0.25,169,0.07092817998334768,0.04484706834802091,loo_year,14
exact_hidden_doy,exact2023,hgb8_s0.50,169,0.07118356098723026,0.044985441475623555,loo_year,14
exact_hidden_doy,exact2023,hgb8_s0.75,169,0.07162138599598072,0.04534082208740613,loo_year,14
exact_hidden_doy,exact2023,hgb8,169,0.07223833779398417,0.04587878149735695,loo_year,14
exact_hidden_doy,exact2023,hgb16_s0.25,169,0.07095178504295721,0.04490631428230511,loo_year,14
exact_hidden_doy,exact2023,hgb16_s0.50,169,0.07126782813336084,0.04514506279686486,loo_year,14
exact_hidden_doy,exact2023,hgb16_s0.75,169,0.0718024205229901,0.04558049627685985,loo_year,14
exact_hidden_doy,exact2023,hgb16,169,0.07255073121012746,0.04640133461060787,loo_year,14
exact_hidden_doy,exact2024,baseline,152,0.05115447818690075,0.035562735654354104,loo_year,5
exact_hidden_doy,exact2024,ridge10_s0.25,152,0.05097194178565446,0.03566162845842542,loo_year,5
exact_hidden_doy,exact2024,ridge10_s0.50,152,0.051016162051593775,0.03609977417476642,loo_year,5
exact_hidden_doy,exact2024,ridge10_s0.75,152,0.051286552446007654,0.036659667180515776,loo_year,5
