slice,method,n,rmse_pooled
L8,hgb,3388,0.07122452857863597
L8,lagblend20,3388,0.07081141824912325
L8,interp_blend0.05,3388,0.07111256178460157
L8,robust_blend0.05,3388,0.07098049885938375
L8,interp_blend0.10,3388,0.07110931042964597
L8,robust_blend0.10,3388,0.07082010217171618
L8,interp_blend0.15,3388,0.0712147894041812
L8,robust_blend0.15,3388,0.07074390737798525
L8,interp_blend0.20,3388,0.07142851702139097
L8,robust_blend0.20,3388,0.07075218651607092
L8,interp_blend0.30,3388,0.07217638473583364
L8,robust_blend0.30,3388,0.07102174699925817
L8,interp_blend0.40,3388,0.07333980119116479
L8,robust_blend0.40,3388,0.07162497344975123
L8,shock_shock_date_a0.35,3388,0.0710370968754397
L8,shock_shock_date_a0.60,3388,0.07093881833740603
L8,shock_shock_date_a1.00,3388,0.07084361876702402
L8,shock_shock_crop_a0.35,3388,0.07097641443266976
L8,shock_shock_crop_a0.60,3388,0.07084480191741506
L8,shock_shock_crop_a1.00,3388,0.07071386256862193
L8,shock_shock_near_a0.35,3388,0.0712462293956406
L8,shock_shock_near_a0.60,3388,0.07127455811252552
L8,shock_shock_near_a1.00,3388,0.07134208350702462
L8,shock_shock_date_filled_a0.35,3388,0.07103158853665782
L8,shock_shock_date_filled_a0.60,3388,0.07093101002918761
L8,shock_shock_date_filled_a1.00,3388,0.07083498740391063
L8,joint_robust_shock,3388,0.07019071223168617
MOD,hgb,1690,0.06854733541931872
MOD,lagblend20,1690,0.06699008888862634
MOD,interp_blend0.05,1690,0.06952209958966442
MOD,robust_blend0.05,1690,0.06901205179945927
MOD,interp_blend0.10,1690,0.0707865295165355
MOD,robust_blend0.10,1690,0.06969656479949062
MOD,interp_blend0.15,1690,0.0723254345442113
MOD,robust_blend0.15,1690,0.07059448099478897
MOD,interp_blend0.20,1690,0.07412172080028996
MOD,robust_blend0.20,1690,0.07169778308841449
MOD,interp_blend0.30,1690,0.07841318379769405
MOD,robust_blend0.30,1690,0.07448234729061522
MOD,interp_blend0.40,1690,0.08351363037061545
MOD,robust_blend0.40,1690,0.0779663710790045
MOD,shock_shock_date_a0.35,1690,0.06819431548804711
