a,b,n,exact,temp_rmse,prec_rmse,temp_corr,prec_corr
AOI-0002,AOI-0003,3195,1.0,0.0,1.780011541010344e-18,1.0,1.0
AOI-0002,AOI-0004,3195,0.0,0.04579269507600353,0.15899038473224653,0.9999829840476226,0.9987102312797719
AOI-0002,AOI-0007,3195,0.0,0.6985839776456667,2.2882311814025678,0.9958197474740426,0.7425532227172047
AOI-0002,AOI-0011,3195,0.0,0.6985839776456667,2.2882311814025678,0.9958197474740426,0.7425532227172047
AOI-0002,AOI-0015,3195,0.0,0.23383431747841602,1.0283795880116706,0.9993952974860425,0.9453951275027351
AOI-0002,AOI-0019,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0002,AOI-0020,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0002,AOI-0021,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0002,AOI-0022,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0002,AOI-0023,3195,0.0,0.5193216504214455,1.946576271020071,0.9974425309981796,0.814714693602954
AOI-0002,AOI-0026,3195,0.0,0.2033317750334222,0.8924633476381211,0.999556308459429,0.9603716470236767
AOI-0002,AOI-0030,3195,0.0,0.16935247844226675,0.6833837780008799,0.999731099053033,0.9764174353329957
AOI-0002,AOI-0033,3195,0.0,1.4273729176533707,3.3801511861305813,0.9808160566628902,0.35606455784168545
AOI-0002,AOI-0037,3195,0.0,1.6134961271145445,3.3703738514361845,0.9772597243343536,0.34312376754963664
AOI-0002,AOI-0038,3195,0.0,1.6795834004862833,3.3380010573519012,0.975660071981764,0.343575960305357
AOI-0002,AOI-0040,3195,0.0,1.6134961271145445,3.3703738514361845,0.9772597243343536,0.34312376754963664
AOI-0002,AOI-0043,3195,0.0,0.9682971080086332,2.577278986436684,0.9917313018455325,0.6560482949850512
AOI-0002,AOI-0045,3195,0.0,1.0025986637725055,2.622739292967999,0.9910921527755958,0.638990198759587
AOI-0002,AOI-0048,3195,0.0,0.8885332685695531,2.5859224654241917,0.9927325320596301,0.6603659435025178
AOI-0002,AOI-0052,3195,0.0,0.6721347664538507,1.8777262484355786,0.9959933311387592,0.8278152819242139
AOI-0002,AOI-0053,3195,0.0,0.5922211489030136,1.8493104871944916,0.9972256834998835,0.8422572517702149
AOI-0002,AOI-0060,3195,0.0,0.7825358097024134,2.1223818505788583,0.9943096482725424,0.7840127304435277
AOI-0002,AOI-0063,3195,0.0,1.167025141155787,3.581206598010716,0.9852853569825074,0.5211676115750676
AOI-0002,AOI-0064,3195,0.0,1.1211133065370424,3.443154930241596,0.9866691744144342,0.5296408811654266
AOI-0002,AOI-0065,3195,0.0,1.167025141155787,3.581206598010716,0.9852853569825074,0.5211676115750676
AOI-0002,AOI-0069,3195,0.0,1.4053499160673975,3.2157253444453615,0.9824222027737486,0.44777762764869433
AOI-0002,AOI-0070,3195,0.0,1.4336238186106336,3.2755956920730083,0.9818687355718029,0.4325631146870913
AOI-0002,AOI-0075,3195,0.0,2.7704465118917643,3.8348731983919087,0.9619910402013803,0.3733142947749813
AOI-0003,AOI-0004,3195,0.0,0.04579269507600353,0.15899038473224653,0.9999829840476226,0.9987102312797719
AOI-0003,AOI-0007,3195,0.0,0.6985839776456667,2.2882311814025678,0.9958197474740426,0.7425532227172047
AOI-0003,AOI-0011,3195,0.0,0.6985839776456667,2.2882311814025678,0.9958197474740426,0.7425532227172047
AOI-0003,AOI-0015,3195,0.0,0.23383431747841602,1.0283795880116706,0.9993952974860425,0.9453951275027351
AOI-0003,AOI-0019,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0003,AOI-0020,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0003,AOI-0021,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0003,AOI-0022,3195,0.0,0.3988322322198458,1.6225556995262735,0.9983339279281427,0.8649712562797178
AOI-0003,AOI-0023,3195,0.0,0.5193216504214455,1.946576271020071,0.9974425309981796,0.814714693602954
AOI-0003,AOI-0026,3195,0.0,0.2033317750334222,0.8924633476381211,0.999556308459429,0.9603716470236767
AOI-0003,AOI-0030,3195,0.0,0.16935247844226675,0.6833837780008799,0.999731099053033,0.9764174353329957
AOI-0003,AOI-0033,3195,0.0,1.4273729176533707,3.3801511861305813,0.9808160566628902,0.35606455784168545
AOI-0003,AOI-0037,3195,0.0,1.6134961271145445,3.3703738514361845,0.9772597243343536,0.34312376754963664
AOI-0003,AOI-0038,3195,0.0,1.6795834004862833,3.3380010573519012,0.975660071981764,0.343575960305357
AOI-0003,AOI-0040,3195,0.0,1.6134961271145445,3.3703738514361845,0.9772597243343536,0.34312376754963664
AOI-0003,AOI-0043,3195,0.0,0.9682971080086332,2.577278986436684,0.9917313018455325,0.6560482949850512
AOI-0003,AOI-0045,3195,0.0,1.0025986637725055,2.622739292967999,0.9910921527755958,0.638990198759587
AOI-0003,AOI-0048,3195,0.0,0.8885332685695531,2.5859224654241917,0.9927325320596301,0.6603659435025178
AOI-0003,AOI-0052,3195,0.0,0.6721347664538507,1.8777262484355786,0.9959933311387592,0.8278152819242139
AOI-0003,AOI-0053,3195,0.0,0.5922211489030136,1.8493104871944916,0.9972256834998835,0.8422572517702149
AOI-0003,AOI-0060,3195,0.0,0.7825358097024134,2.1223818505788583,0.9943096482725424,0.7840127304435277
AOI-0003,AOI-0063,3195,0.0,1.167025141155787,3.581206598010716,0.9852853569825074,0.5211676115750676
AOI-0003,AOI-0064,3195,0.0,1.1211133065370424,3.443154930241596,0.9866691744144342,0.5296408811654266
AOI-0003,AOI-0065,3195,0.0,1.167025141155787,3.581206598010716,0.9852853569825074,0.5211676115750676
AOI-0003,AOI-0069,3195,0.0,1.4053499160673975,3.2157253444453615,0.9824222027737486,0.44777762764869433
AOI-0003,AOI-0070,3195,0.0,1.4336238186106336,3.2755956920730083,0.9818687355718029,0.4325631146870913
AOI-0003,AOI-0075,3195,0.0,2.7704465118917643,3.8348731983919087,0.9619910402013803,0.3733142947749813
AOI-0004,AOI-0007,3195,0.0,0.7056399882936891,2.337192833490252,0.9955493838089438,0.731637625422691
AOI-0004,AOI-0011,3195,0.0,0.7056399882936891,2.337192833490252,0.9955493838089438,0.731637625422691
AOI-0004,AOI-0015,3195,0.0,0.24603150023251638,1.0747135251963371,0.9993254990785836,0.9404298597422915
AOI-0004,AOI-0019,3195,0.0,0.4175254146814182,1.682813402193257,0.998134324853311,0.8549117357110227
AOI-0004,AOI-0020,3195,0.0,0.4175254146814182,1.682813402193257,0.998134324853311,0.8549117357110227
AOI-0004,AOI-0021,3195,0.0,0.4175254146814182,1.682813402193257,0.998134324853311,0.8549117357110227
AOI-0004,AOI-0022,3195,0.0,0.4175254146814182,1.682813402193257,0.998134324853311,0.8549117357110227
AOI-0004,AOI-0023,3195,0.0,0.5303037886135129,2.001383797258225,0.9972228102315264,0.8042327062764052
AOI-0004,AOI-0026,3195,0.0,0.17120409758243427,0.7580558776433686,0.9996778127878125,0.971479716898208
AOI-0004,AOI-0030,3195,0.0,0.1398804877267034,0.5680519163010675,0.9998037636298954,0.9837275922175275
AOI-0004,AOI-0033,3195,0.0,1.4428457921463862,3.3937837185687765,0.980292526863262,0.3517059034299949
AOI-0004,AOI-0037,3195,0.0,1.6278223199848845,3.3805250627108165,0.976695236044804,0.34007922375586463
AOI-0004,AOI-0038,3195,0.0,1.6942281699031156,3.3480326271043515,0.9750883062240971,0.3405539293798992
AOI-0004,AOI-0040,3195,0.0,1.6278223199848845,3.3805250627108165,0.976695236044804,0.34007922375586463
AOI-0004,AOI-0043,3195,0.0,0.9809504742068452,2.602983726359269,0.9913626735486487,0.6495748277023456
AOI-0004,AOI-0045,3195,0.0,1.0156160617328767,2.647162074229233,0.9907119553035098,0.6326892046079783
AOI-0004,AOI-0048,3195,0.0,0.9048995114244085,2.613752903870466,0.9923708195244145,0.6534057671255873
AOI-0004,AOI-0052,3195,0.0,0.6398892439380397,1.7949839311598765,0.9963328219483297,0.8428634098592198
AOI-0004,AOI-0053,3195,0.0,0.5576502284425725,1.7605706782899386,0.9975212898641961,0.8574154443507012
AOI-0004,AOI-0060,3195,0.0,0.7528952813690535,2.0589525726989693,0.994679422116391,0.7969884714800904
AOI-0004,AOI-0063,3195,0.0,1.1657681098761739,3.595346948121719,0.9852203496900062,0.5172860340610086
AOI-0004,AOI-0064,3195,0.0,1.119865794479613,3.459856750323487,0.9865731493392719,0.5250739181891461
AOI-0004,AOI-0065,3195,0.0,1.1657681098761739,3.595346948121719,0.9852203496900062,0.5172860340610086
AOI-0004,AOI-0069,3195,0.0,1.4195909931449477,3.225474053985731,0.9819533929557488,0.4451383734210949
AOI-0004,AOI-0070,3195,0.0,1.4474495313232387,3.285579525804128,0.9813916182542792,0.4298164842278824
AOI-0004,AOI-0075,3195,0.0,2.7908558547893674,3.8264283295756893,0.9618361925271067,0.37660547069288347
