scope,seed,config,weight,n,peer_n,coverage,rmse,base_rmse,delta_rmse
pooled,-1,n8_c40_r125_k1,0.1200000000,10576,6573,0.6215015129,0.0657157924,0.0657223353,-0.0000065429
pooled,-1,n12_c40_r100_k2,0.0000000000,10576,7470,0.7063161876,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n8_c40_r125_k2,0.0000000000,10576,8783,0.8304652042,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n16_c60_r125_k2,0.0000000000,10576,7263,0.6867435703,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n16_c60_r100_k1,0.0000000000,10576,4875,0.4609493192,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n16_c60_r125_k1,0.0000000000,10576,5438,0.5141830560,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n12_c40_r100_k1,0.0000000000,10576,5603,0.5297844175,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n8_c40_r125_k1,0.0000000000,10576,6573,0.6215015129,0.0657223353,0.0657223353,0.0000000000
pooled,-1,n16_c60_r125_k1,0.1000000000,10576,5438,0.5141830560,0.0657274691,0.0657223353,0.0000051338
pooled,-1,n8_c40_r125_k2,0.1000000000,10576,8783,0.8304652042,0.0657313875,0.0657223353,0.0000090522
pooled,-1,n16_c60_r100_k1,0.1500000000,10576,4875,0.4609493192,0.0657624130,0.0657223353,0.0000400777
pooled,-1,n16_c60_r125_k2,0.1200000000,10576,7263,0.6867435703,0.0657717880,0.0657223353,0.0000494527
pooled,-1,n16_c60_r125_k1,0.1200000000,10576,5438,0.5141830560,0.0657828912,0.0657223353,0.0000605559
pooled,-1,n8_c40_r125_k2,0.1200000000,10576,8783,0.8304652042,0.0658126884,0.0657223353,0.0000903531
pooled,-1,n8_c40_r125_k1,0.1500000000,10576,6573,0.6215015129,0.0658491114,0.0657223353,0.0001267762
pooled,-1,n12_c40_r100_k1,0.2000000000,10576,5603,0.5297844175,0.0658801794,0.0657223353,0.0001578441
pooled,-1,n12_c40_r100_k2,0.2000000000,10576,7470,0.7063161876,0.0658872295,0.0657223353,0.0001648942
pooled,-1,n16_c60_r125_k2,0.1500000000,10576,7263,0.6867435703,0.0658953791,0.0657223353,0.0001730438
pooled,-1,n16_c60_r125_k1,0.1500000000,10576,5438,0.5141830560,0.0658998683,0.0657223353,0.0001775330
pooled,-1,n16_c60_r100_k1,0.2000000000,10576,4875,0.4609493192,0.0659643303,0.0657223353,0.0002419950
pooled,-1,n8_c40_r125_k2,0.1500000000,10576,8783,0.8304652042,0.0659839932,0.0657223353,0.0002616579
pooled,-1,n16_c60_r125_k1,0.2000000000,10576,5438,0.5141830560,0.0661845032,0.0657223353,0.0004621679
pooled,-1,n8_c40_r125_k1,0.2000000000,10576,6573,0.6215015129,0.0661900393,0.0657223353,0.0004677040
pooled,-1,n16_c60_r125_k2,0.2000000000,10576,7263,0.6867435703,0.0661992616,0.0657223353,0.0004769263
pooled,-1,n12_c40_r100_k1,0.2500000000,10576,5603,0.5297844175,0.0662016020,0.0657223353,0.0004792667
pooled,-1,n12_c40_r100_k2,0.2500000000,10576,7470,0.7063161876,0.0662390256,0.0657223353,0.0005166903
pooled,-1,n16_c60_r100_k1,0.2500000000,10576,4875,0.4609493192,0.0662594254,0.0657223353,0.0005370901
pooled,-1,n8_c40_r125_k2,0.2000000000,10576,8783,0.8304652042,0.0663998806,0.0657223353,0.0006775454
pooled,-1,n16_c60_r125_k1,0.2500000000,10576,5438,0.5141830560,0.0665799341,0.0657223353,0.0008575988
pooled,-1,n16_c60_r125_k2,0.2500000000,10576,7263,0.6867435703,0.0666240059,0.0657223353,0.0009016706
pooled,-1,n12_c40_r100_k1,0.3000000000,10576,5603,0.5297844175,0.0666334040,0.0657223353,0.0009110688
pooled,-1,n16_c60_r100_k1,0.3000000000,10576,4875,0.4609493192,0.0666464607,0.0657223353,0.0009241254
pooled,-1,n8_c40_r125_k1,0.2500000000,10576,6573,0.6215015129,0.0666773202,0.0657223353,0.0009549849
pooled,-1,n12_c40_r100_k2,0.3000000000,10576,7470,0.7063161876,0.0667121612,0.0657223353,0.0009898259
pooled,-1,n8_c40_r125_k2,0.2500000000,10576,8783,0.8304652042,0.0669760081,0.0657223353,0.0012536728
pooled,-1,n16_c60_r125_k1,0.3000000000,10576,5438,0.5141830560,0.0670842020,0.0657223353,0.0013618667
pooled,-1,n16_c60_r125_k2,0.3000000000,10576,7263,0.6867435703,0.0671673192,0.0657223353,0.0014449839
pooled,-1,n8_c40_r125_k1,0.3000000000,10576,6573,0.6215015129,0.0673077755,0.0657223353,0.0015854402
pooled,-1,n8_c40_r125_k2,0.3000000000,10576,8783,0.8304652042,0.0677082853,0.0657223353,0.0019859500
seed,1,n12_c40_r100_k1,0.0800000000,2644,1847,0.6985627837,0.0614632297,0.0617229811,-0.0002597515
seed,1,n12_c40_r100_k1,0.1000000000,2644,1847,0.6985627837,0.0614632869,0.0617229811,-0.0002596943
seed,1,n12_c40_r100_k1,0.1200000000,2644,1847,0.6985627837,0.0614893914,0.0617229811,-0.0002335897
seed,1,n12_c40_r100_k1,0.0500000000,2644,1847,0.6985627837,0.0615119738,0.0617229811,-0.0002110074
seed,1,n16_c60_r100_k1,0.0800000000,2644,1627,0.6153555219,0.0615156927,0.0617229811,-0.0002072885
seed,1,n16_c60_r100_k1,0.1000000000,2644,1627,0.6153555219,0.0615200780,0.0617229811,-0.0002029031
seed,1,n16_c60_r100_k1,0.1200000000,2644,1627,0.6153555219,0.0615469736,0.0617229811,-0.0001760075
seed,1,n16_c60_r100_k1,0.0500000000,2644,1627,0.6153555219,0.0615513253,0.0617229811,-0.0001716558
seed,1,n12_c40_r100_k2,0.0800000000,2644,1847,0.6985627837,0.0615531351,0.0617229811,-0.0001698460
seed,1,n12_c40_r100_k2,0.1000000000,2644,1847,0.6985627837,0.0615666313,0.0617229811,-0.0001563499
seed,1,n12_c40_r100_k2,0.0500000000,2644,1847,0.6985627837,0.0615748981,0.0617229811,-0.0001480830
seed,1,n12_c40_r100_k1,0.0300000000,2644,1847,0.6985627837,0.0615769629,0.0617229811,-0.0001460182
seed,1,n12_c40_r100_k1,0.1500000000,2644,1847,0.6985627837,0.0615773056,0.0617229811,-0.0001456756
seed,1,n16_c60_r125_k1,0.0800000000,2644,1830,0.6921331316,0.0615791257,0.0617229811,-0.0001438555
seed,1,n8_c40_r125_k1,0.0500000000,2644,2188,0.8275340393,0.0615796933,0.0617229811,-0.0001432878
seed,1,n16_c60_r125_k1,0.0500000000,2644,1830,0.6921331316,0.0615808759,0.0617229811,-0.0001421053
seed,1,n8_c40_r125_k1,0.0800000000,2644,2188,0.8275340393,0.0615975356,0.0617229811,-0.0001254455
seed,1,n12_c40_r100_k2,0.1200000000,2644,1847,0.6985627837,0.0616025176,0.0617229811,-0.0001204635
seed,1,n16_c60_r100_k1,0.0300000000,2644,1627,0.6153555219,0.0616031829,0.0617229811,-0.0001197983
seed,1,n8_c40_r125_k1,0.0300000000,2644,2188,0.8275340393,0.0616110877,0.0617229811,-0.0001118934
seed,1,n16_c60_r125_k1,0.1000000000,2644,1830,0.6921331316,0.0616127887,0.0617229811,-0.0001101925
seed,1,n16_c60_r125_k1,0.0300000000,2644,1830,0.6921331316,0.0616168702,0.0617229811,-0.0001061109
seed,1,n12_c40_r100_k2,0.0300000000,2644,1847,0.6985627837,0.0616173885,0.0617229811,-0.0001055926
seed,1,n12_c40_r100_k1,0.0200000000,2644,1847,0.6985627837,0.0616191777,0.0617229811,-0.0001038034
seed,1,n16_c60_r100_k1,0.1500000000,2644,1627,0.6153555219,0.0616294527,0.0617229811,-0.0000935284
seed,1,n16_c60_r100_k1,0.0200000000,2644,1627,0.6153555219,0.0616375234,0.0617229811,-0.0000854578
seed,1,n8_c40_r125_k1,0.0200000000,2644,2188,0.8275340393,0.0616397574,0.0617229811,-0.0000832238
seed,1,n16_c60_r125_k1,0.0200000000,2644,1830,0.6921331316,0.0616453009,0.0617229811,-0.0000776803
seed,1,n12_c40_r100_k2,0.0200000000,2644,1847,0.6985627837,0.0616470132,0.0617229811,-0.0000759680
seed,1,n8_c40_r125_k1,0.1000000000,2644,2188,0.8275340393,0.0616526905,0.0617229811,-0.0000702907
seed,1,n12_c40_r100_k1,0.0100000000,2644,1847,0.6985627837,0.0616678555,0.0617229811,-0.0000551256
seed,1,n8_c40_r125_k2,0.0300000000,2644,2188,0.8275340393,0.0616735677,0.0617229811,-0.0000494134
seed,1,n16_c60_r125_k1,0.1200000000,2644,1830,0.6921331316,0.0616742678,0.0617229811,-0.0000487133
