year,feat,base,w,sse,n,mae,cov
2019,hist_exact,hgb,0.0,0.8304124820385239,249,0.03972701940527716,0.9959839357429718
2019,hist_exact,hgb,0.02,0.8353490576494252,249,0.04006579187028744,0.9959839357429718
2019,hist_exact,hgb,0.05,0.8523906601670115,249,0.04079509368546708,0.9959839357429718
2019,hist_exact,hgb,0.1,0.9064913019662798,249,0.04263396015144853,0.9959839357429718
2019,hist_exact,hgb,0.15,0.992714407436329,249,0.045214608318826836,0.9959839357429718
2019,hist_exact,hgb,0.2,1.1110599765771587,249,0.04833978183148584,0.9959839357429718
2019,hist_exact,hgb,0.3,1.4441185058711614,249,0.05574534263470753,0.9959839357429718
2019,hist_exact,hgb,0.4,1.9056668898482874,249,0.06459608062364874,0.9959839357429718
2019,hist_exact,hgb,0.5,2.4957051285085363,249,0.07431649341496237,0.9959839357429718
2019,hist_exact,hgb,0.7,4.061251169878403,249,0.09457531203613254,0.9959839357429718
2019,hist_exact,hgb,1.0,7.37324414205663,249,0.12592956929118537,0.9959839357429718
2019,hist_exact,hgb_lag,0.0,0.8141486216632763,249,0.039427367948714015,0.9959839357429718
2019,hist_exact,hgb_lag,0.02,0.8224360465083018,249,0.039847873168709205,0.9959839357429718
2019,hist_exact,hgb_lag,0.05,0.8442721363861805,249,0.040733674964790065,0.9959839357429718
2019,hist_exact,hgb_lag,0.1,0.9057454931435523,249,0.042994692210099335,0.9959839357429718
2019,hist_exact,hgb_lag,0.15,0.9985686919353924,249,0.045898270423412775,0.9959839357429718
2019,hist_exact,hgb_lag,0.2,1.1227417327616998,249,0.049087211833611255,0.9959839357429718
2019,hist_exact,hgb_lag,0.3,1.4651373405177188,249,0.056454892023691916,0.9959839357429718
2019,hist_exact,hgb_lag,0.4,1.932932316411609,249,0.06519116091928975,0.9959839357429718
2019,hist_exact,hgb_lag,0.5,2.52612666044337,249,0.07470011669764218,0.9959839357429718
2019,hist_exact,hgb_lag,0.7,4.088713452920507,249,0.09481184294685023,0.9959839357429718
2019,hist_exact,hgb_lag,1.0,7.373088902670247,249,0.12592560219763652,0.9959839357429718
2019,hist_mean,hgb,0.0,0.8304124820385239,249,0.03972701940527716,0.9959839357429718
2019,hist_mean,hgb,0.02,0.8349225925433372,249,0.04006580899120289,0.9959839357429718
2019,hist_mean,hgb,0.05,0.8507587095736853,249,0.04087094372768388,0.9959839357429718
2019,hist_mean,hgb,0.1,0.9013414413526066,249,0.04274116797478347,0.9959839357429718
2019,hist_mean,hgb,0.15,0.9821606773752878,249,0.04526685575550612,0.9959839357429718
2019,hist_mean,hgb,0.2,1.0932164176417283,249,0.04831549668499696,0.9959839357429718
2019,hist_mean,hgb,0.3,1.4060374109058897,249,0.055922389795495485,0.9959839357429718
2019,hist_mean,hgb,0.4,1.83980442114509,249,0.06464793370811998,0.9959839357429718
2019,hist_mean,hgb,0.5,2.394517448359329,249,0.07409042717228703,0.9959839357429718
2019,hist_mean,hgb,0.7,3.866781553712924,249,0.09395123453448173,0.9959839357429718
2019,hist_mean,hgb,1.0,6.982272839056112,249,0.12523243884974952,0.9959839357429718
2019,hist_mean,hgb_lag,0.0,0.8141486216632763,249,0.039427367948714015,0.9959839357429718
2019,hist_mean,hgb_lag,0.02,0.8220549827125009,249,0.0398732096930374,0.9959839357429718
2019,hist_mean,hgb_lag,0.05,0.8427502144784987,249,0.04077829315771313,0.9959839357429718
2019,hist_mean,hgb_lag,0.1,0.9008041079342577,249,0.043002787227265526,0.9959839357429718
2019,hist_mean,hgb_lag,0.15,0.9883103020305538,249,0.04592804164656184,0.9959839357429718
2019,hist_mean,hgb_lag,0.2,1.1052687967673864,249,0.04906195688201263,0.9959839357429718
2019,hist_mean,hgb_lag,0.3,1.4275426881626634,249,0.056568061892739864,0.9959839357429718
