base,peer_config,peer_weight,alpha,beta,exact_rmse,exact_baseline_rmse,exact_delta,exact_wins,exact_folds,exact_coverage,random_rmse,random_baseline_rmse,random_delta,random_wins,random_folds,random_coverage,random2025_rmse,random2025_baseline_rmse,random2025_delta,random2025_wins,random2025_folds,random2025_coverage,worst_delta,mean_delta,all_wins
b_hgb,n16_c60_r125_k2,0.150000000,0.200000000,-0.150000000,0.062699342,0.063405532,-0.000706189,6,6,0.899461400,0.068824936,0.069826420,-0.001001484,3,3,0.685577408,0.062671921,0.063396855,-0.000724934,3,3,0.933862434,-0.000706189,-0.000810869,True
b_l30,n16_c60_r125_k2,0.120000000,0.350000000,-0.200000000,0.061813562,0.062519637,-0.000706075,6,6,0.899461400,0.068574505,0.069585566,-0.001011061,3,3,0.685577408,0.061537077,0.062251593,-0.000714515,3,3,0.933862434,-0.000706075,-0.000810550,True
b_hgb,n16_c60_r125_k3,0.150000000,0.250000000,-0.050000000,0.062699517,0.063405532,-0.000706015,6,6,0.899461400,0.068867305,0.069826420,-0.000959115,3,3,0.685577408,0.062654035,0.063396855,-0.000742820,3,3,0.933862434,-0.000706015,-0.000802650,True
b_hgb,n16_c60_r125_k3,0.120000000,0.300000000,-0.050000000,0.062700149,0.063405532,-0.000705383,6,6,0.899461400,0.068888237,0.069826420,-0.000938182,3,3,0.685577408,0.062610731,0.063396855,-0.000786124,3,3,0.933862434,-0.000705383,-0.000809896,True
b_hgb,n16_c80_r125_k3,0.080000000,0.325000000,-0.100000000,0.062672924,0.063405532,-0.000732608,6,6,0.710053860,0.069034904,0.069826420,-0.000791515,3,3,0.568078669,0.062691617,0.063396855,-0.000705238,3,3,0.833774250,-0.000705238,-0.000743120,True
b_l30,n16_c80_r125_k2,0.100000000,0.350000000,-0.150000000,0.061740412,0.062519637,-0.000779224,6,6,0.710053860,0.068676972,0.069585566,-0.000908595,3,3,0.568078669,0.061546552,0.062251593,-0.000705041,3,3,0.833774250,-0.000705041,-0.000797620,True
b_hgb,n16_c80_r125_k2,0.120000000,0.200000000,-0.150000000,0.062617211,0.063405532,-0.000788320,6,6,0.710053860,0.068940957,0.069826420,-0.000885463,3,3,0.568078669,0.062692216,0.063396855,-0.000704639,3,3,0.833774250,-0.000704639,-0.000792807,True
b_l30,n16_c80_r125_k2,0.080000000,0.350000000,-0.150000000,0.061774151,0.062519637,-0.000745486,6,6,0.710053860,0.068723819,0.069585566,-0.000861748,3,3,0.568078669,0.061547031,0.062251593,-0.000704561,3,3,0.833774250,-0.000704561,-0.000770598,True
b_l30,n16_c60_r125_k2,0.080000000,0.350000000,-0.150000000,0.061815237,0.062519637,-0.000704399,6,6,0.899461400,0.068672096,0.069585566,-0.000913470,3,3,0.685577408,0.061515713,0.062251593,-0.000735880,3,3,0.933862434,-0.000704399,-0.000784583,True
b_hgb,n16_c80_r125_k3,0.120000000,0.325000000,-0.250000000,0.062598430,0.063405532,-0.000807102,6,6,0.710053860,0.068909781,0.069826420,-0.000916639,3,3,0.568078669,0.062692486,0.063396855,-0.000704369,3,3,0.833774250,-0.000704369,-0.000809370,True
b_hgb,n16_c80_r125_k2,0.100000000,0.200000000,-0.100000000,0.062660084,0.063405532,-0.000745447,6,6,0.710053860,0.069001230,0.069826420,-0.000825190,3,3,0.568078669,0.062692526,0.063396855,-0.000704329,3,3,0.833774250,-0.000704329,-0.000758322,True
b_l30,n16_c60_r125_k2,0.080000000,0.325000000,-0.150000000,0.061815426,0.062519637,-0.000704211,6,6,0.899461400,0.068671722,0.069585566,-0.000913844,3,3,0.685577408,0.061517467,0.062251593,-0.000734125,3,3,0.933862434,-0.000704211,-0.000784060,True
b_hgb,n16_c80_r125_k3,0.120000000,0.300000000,-0.250000000,0.062593593,0.063405532,-0.000811938,6,6,0.710053860,0.068908971,0.069826420,-0.000917449,3,3,0.568078669,0.062692734,0.063396855,-0.000704121,3,3,0.833774250,-0.000704121,-0.000811169,True
b_hgb,n16_c60_r125_k2,0.100000000,0.250000000,-0.150000000,0.062701507,0.063405532,-0.000704025,6,6,0.899461400,0.068876595,0.069826420,-0.000949824,3,3,0.685577408,0.062611417,0.063396855,-0.000785438,3,3,0.933862434,-0.000704025,-0.000813096,True
b_hgb,n16_c80_r125_k3,0.120000000,0.200000000,-0.150000000,0.062570486,0.063405532,-0.000835046,6,6,0.710053860,0.068956461,0.069826420,-0.000869958,3,3,0.568078669,0.062692831,0.063396855,-0.000704024,3,3,0.833774250,-0.000704024,-0.000803009,True
b_l30,n16_c80_r125_k2,0.100000000,0.325000000,-0.150000000,0.061740570,0.062519637,-0.000779066,6,6,0.710053860,0.068676645,0.069585566,-0.000908922,3,3,0.568078669,0.061547632,0.062251593,-0.000703961,3,3,0.833774250,-0.000703961,-0.000797316,True
