variant,n,rmse_pooled,baseline_rmse_pooled,delta,wins
fixed010,10576.0,0.06647781962984105,0.06676642200440203,-0.00028860237456097837,4.0
fixed015,10576.0,0.06642340993351366,0.06676642200440203,-0.00034301207088836827,4.0
fixed020,10576.0,0.06642917829891877,0.06676642200440203,-0.0003372437054832561,4.0
fixed025,10576.0,0.06649510906494929,0.06676642200440203,-0.0002713129394527336,3.0
loo,10576.0,0.06642908539829885,0.06676642200440203,-0.0003373366061031752,4.0
