protocol,part,typ,alpha,n,rmse,mae,cov
exact,2022,csrc,0.5,192,,,0
exact,2022,csrc,1.0,192,,,0
exact,2022,doy,0.0,192,,,0
exact,2022,doy,0.02,192,,,0
exact,2022,doy,0.05,192,,,0
exact,2022,doy,0.1,192,,,0
exact,2022,doy,0.15,192,,,0
exact,2022,doy,0.2,192,,,0
exact,2022,doy,0.3,192,,,0
exact,2022,doy,0.5,192,,,0
exact,2022,doy,1.0,192,,,0
exact,2023,all,0.0,169,,,0
exact,2023,all,0.02,169,,,0
exact,2023,all,0.05,169,,,0
exact,2023,all,0.1,169,,,0
exact,2023,all,0.15,169,,,0
exact,2023,all,0.2,169,,,0
exact,2023,all,0.3,169,,,0
exact,2023,all,0.5,169,,,0
exact,2023,all,1.0,169,,,0
exact,2023,crop,0.0,169,,,166
exact,2023,crop,0.02,169,,,166
exact,2023,crop,0.05,169,,,166
exact,2023,crop,0.1,169,,,166
exact,2023,crop,0.15,169,,,166
exact,2023,crop,0.2,169,,,166
exact,2023,crop,0.3,169,,,166
exact,2023,crop,0.5,169,,,166
exact,2023,crop,1.0,169,,,166
exact,2023,src,0.0,169,,,0
exact,2023,src,0.02,169,,,0
exact,2023,src,0.05,169,,,0
exact,2023,src,0.1,169,,,0
exact,2023,src,0.15,169,,,0
exact,2023,src,0.2,169,,,0
exact,2023,src,0.3,169,,,0
exact,2023,src,0.5,169,,,0
exact,2023,src,1.0,169,,,0
exact,2023,csrc,0.0,169,,,0
exact,2023,csrc,0.02,169,,,0
exact,2023,csrc,0.05,169,,,0
exact,2023,csrc,0.1,169,,,0
exact,2023,csrc,0.15,169,,,0
exact,2023,csrc,0.2,169,,,0
exact,2023,csrc,0.3,169,,,0
exact,2023,csrc,0.5,169,,,0
exact,2023,csrc,1.0,169,,,0
exact,2023,doy,0.0,169,,,0
exact,2023,doy,0.02,169,,,0
exact,2023,doy,0.05,169,,,0
exact,2023,doy,0.1,169,,,0
exact,2023,doy,0.15,169,,,0
exact,2023,doy,0.2,169,,,0
exact,2023,doy,0.3,169,,,0
exact,2023,doy,0.5,169,,,0
exact,2023,doy,1.0,169,,,0
exact,2024,all,0.0,152,,,0
exact,2024,all,0.02,152,,,0
exact,2024,all,0.05,152,,,0
exact,2024,all,0.1,152,,,0
exact,2024,all,0.15,152,,,0
exact,2024,all,0.2,152,,,0
exact,2024,all,0.3,152,,,0
exact,2024,all,0.5,152,,,0
exact,2024,all,1.0,152,,,0
exact,2024,crop,0.0,152,,,150
exact,2024,crop,0.02,152,,,150
exact,2024,crop,0.05,152,,,150
exact,2024,crop,0.1,152,,,150
exact,2024,crop,0.15,152,,,150
exact,2024,crop,0.2,152,,,150
exact,2024,crop,0.3,152,,,150
exact,2024,crop,0.5,152,,,150
exact,2024,crop,1.0,152,,,150
exact,2024,src,0.0,152,,,0
exact,2024,src,0.02,152,,,0
exact,2024,src,0.05,152,,,0
exact,2024,src,0.1,152,,,0
exact,2024,src,0.15,152,,,0
exact,2024,src,0.2,152,,,0
exact,2024,src,0.3,152,,,0
exact,2024,src,0.5,152,,,0
exact,2024,src,1.0,152,,,0
exact,2024,csrc,0.0,152,,,0
exact,2024,csrc,0.02,152,,,0
exact,2024,csrc,0.05,152,,,0
exact,2024,csrc,0.1,152,,,0
exact,2024,csrc,0.15,152,,,0
exact,2024,csrc,0.2,152,,,0
exact,2024,csrc,0.3,152,,,0
exact,2024,csrc,0.5,152,,,0
exact,2024,csrc,1.0,152,,,0
exact,2024,doy,0.0,152,,,0
exact,2024,doy,0.02,152,,,0
exact,2024,doy,0.05,152,,,0
exact,2024,doy,0.1,152,,,0
exact,2024,doy,0.15,152,,,0
exact,2024,doy,0.2,152,,,0
exact,2024,doy,0.3,152,,,0
exact,2024,doy,0.5,152,,,0
exact,2024,doy,1.0,152,,,0
random,0,all,0.0,2644,,,0
random,0,all,0.02,2644,,,0
random,0,all,0.05,2644,,,0
random,0,all,0.1,2644,,,0
random,0,all,0.15,2644,,,0
random,0,all,0.2,2644,,,0
random,0,all,0.3,2644,,,0
random,0,all,0.5,2644,,,0
random,0,all,1.0,2644,,,0
random,0,crop,0.0,2644,,,2510
random,0,crop,0.02,2644,,,2510
random,0,crop,0.05,2644,,,2510
random,0,crop,0.1,2644,,,2510
random,0,crop,0.15,2644,,,2510
random,0,crop,0.2,2644,,,2510
random,0,crop,0.3,2644,,,2510
random,0,crop,0.5,2644,,,2510
random,0,crop,1.0,2644,,,2510
random,0,src,0.0,2644,,,0
random,0,src,0.02,2644,,,0
random,0,src,0.05,2644,,,0
random,0,src,0.1,2644,,,0
random,0,src,0.15,2644,,,0
random,0,src,0.2,2644,,,0
random,0,src,0.3,2644,,,0
random,0,src,0.5,2644,,,0
random,0,src,1.0,2644,,,0
random,0,csrc,0.0,2644,,,0
random,0,csrc,0.02,2644,,,0
random,0,csrc,0.05,2644,,,0
random,0,csrc,0.1,2644,,,0
random,0,csrc,0.15,2644,,,0
random,0,csrc,0.2,2644,,,0
random,0,csrc,0.3,2644,,,0
random,0,csrc,0.5,2644,,,0
random,0,csrc,1.0,2644,,,0
random,0,doy,0.0,2644,,,0
random,0,doy,0.02,2644,,,0
random,0,doy,0.05,2644,,,0
random,0,doy,0.1,2644,,,0
random,0,doy,0.15,2644,,,0
random,0,doy,0.2,2644,,,0
random,0,doy,0.3,2644,,,0
random,0,doy,0.5,2644,,,0
random,0,doy,1.0,2644,,,0
random,1,all,0.0,2644,,,0
random,1,all,0.02,2644,,,0
random,1,all,0.05,2644,,,0
random,1,all,0.1,2644,,,0
random,1,all,0.15,2644,,,0
random,1,all,0.2,2644,,,0
random,1,all,0.3,2644,,,0
random,1,all,0.5,2644,,,0
random,1,all,1.0,2644,,,0
random,1,crop,0.0,2644,,,2521
random,1,crop,0.02,2644,,,2521
random,1,crop,0.05,2644,,,2521
random,1,crop,0.1,2644,,,2521
random,1,crop,0.15,2644,,,2521
random,1,crop,0.2,2644,,,2521
random,1,crop,0.3,2644,,,2521
random,1,crop,0.5,2644,,,2521
random,1,crop,1.0,2644,,,2521
random,1,src,0.0,2644,,,0
random,1,src,0.02,2644,,,0
random,1,src,0.05,2644,,,0
random,1,src,0.1,2644,,,0
random,1,src,0.15,2644,,,0
random,1,src,0.2,2644,,,0
random,1,src,0.3,2644,,,0
random,1,src,0.5,2644,,,0
random,1,src,1.0,2644,,,0
random,1,csrc,0.0,2644,,,0
random,1,csrc,0.02,2644,,,0
random,1,csrc,0.05,2644,,,0
random,1,csrc,0.1,2644,,,0
random,1,csrc,0.15,2644,,,0
random,1,csrc,0.2,2644,,,0
random,1,csrc,0.3,2644,,,0
random,1,csrc,0.5,2644,,,0
random,1,csrc,1.0,2644,,,0
random,1,doy,0.0,2644,,,0
random,1,doy,0.02,2644,,,0
random,1,doy,0.05,2644,,,0
random,1,doy,0.1,2644,,,0
random,1,doy,0.15,2644,,,0
random,1,doy,0.2,2644,,,0
random,1,doy,0.3,2644,,,0
random,1,doy,0.5,2644,,,0
random,1,doy,1.0,2644,,,0
random,2,all,0.0,2644,,,0
random,2,all,0.02,2644,,,0
random,2,all,0.05,2644,,,0
random,2,all,0.1,2644,,,0
random,2,all,0.15,2644,,,0
random,2,all,0.2,2644,,,0
random,2,all,0.3,2644,,,0
random,2,all,0.5,2644,,,0
random,2,all,1.0,2644,,,0
random,2,crop,0.0,2644,,,2498
random,2,crop,0.02,2644,,,2498
random,2,crop,0.05,2644,,,2498
random,2,crop,0.1,2644,,,2498
random,2,crop,0.15,2644,,,2498
random,2,crop,0.2,2644,,,2498
random,2,crop,0.3,2644,,,2498
random,2,crop,0.5,2644,,,2498
random,2,crop,1.0,2644,,,2498
random,2,src,0.0,2644,,,0
random,2,src,0.02,2644,,,0
random,2,src,0.05,2644,,,0
random,2,src,0.1,2644,,,0
random,2,src,0.15,2644,,,0
random,2,src,0.2,2644,,,0
random,2,src,0.3,2644,,,0
random,2,src,0.5,2644,,,0
random,2,src,1.0,2644,,,0
random,2,csrc,0.0,2644,,,0
random,2,csrc,0.02,2644,,,0
random,2,csrc,0.05,2644,,,0
random,2,csrc,0.1,2644,,,0
random,2,csrc,0.15,2644,,,0
random,2,csrc,0.2,2644,,,0
random,2,csrc,0.3,2644,,,0
random,2,csrc,0.5,2644,,,0
random,2,csrc,1.0,2644,,,0
random,2,doy,0.0,2644,,,0
random,2,doy,0.02,2644,,,0
random,2,doy,0.05,2644,,,0
random,2,doy,0.1,2644,,,0
random,2,doy,0.15,2644,,,0
random,2,doy,0.2,2644,,,0
random,2,doy,0.3,2644,,,0
random,2,doy,0.5,2644,,,0
random,2,doy,1.0,2644,,,0
