mode,method,weight,n,rmse_pooled,mae_pooled,bias_pooled
2025,hgb_seed42+lag_k16_d3,0.25,1512,0.05559863946339287,0.03543652782246247,-0.0007782899040576031
2025,hgb_seed42+lag_k16_d3,0.3,1512,0.055602424107110124,0.03548890876538369,-0.0007769657775240834
2025,hgb_seed42+lag_k16_d3,0.2,1512,0.05564157709382981,0.0354277874034036,-0.0007796140305911222
2025,hgb_seed42+lag_k16_d3,0.35,1512,0.05565292149302126,0.035572122125634036,-0.0007756416509905241
2025,hgb_seed_mean+lag_k16_d3,0.3,1512,0.05568839863688079,0.035523624811059175,-0.0010507690485280854
2025,hgb_seed_mean+lag_k16_d3,0.25,1512,0.05569138635242291,0.03548083082685381,-0.0010716505515618892
2025,hgb_seed42+lag_k16_d3,0.15,1512,0.05573112900804826,0.0354575575089594,-0.0007809381571246903
2025,hgb_seed_mean+lag_k16_d3,0.35,1512,0.05573214133265149,0.03560377611016904,-0.0010298875454942396
2025,hgb_seed_mean+lag_k16_d3,0.2,1512,0.05574109696504645,0.035476755942461524,-0.0010925320545956939
2025,blend_hgb80_lag20,,1512,0.055741096965046456,0.035476755942461524,-0.0010925320545956943
2025,hgb_seed42+lag_k16_d3,0.4,1512,0.055750004686499245,0.035697005963382454,-0.0007743175244569848
2025,hgb_seed_mean+lag_k16_d3,0.4,1512,0.05582250458553716,0.035716669890780844,-0.0010090060424604148
2025,hgb_seed_mean+lag_k16_d3,0.15,1512,0.055837405686293924,0.0355142952851133,-0.0011134135576295495
2025,hgb_seed42+lag_k16_d3,0.1,1512,0.0558670710459183,0.03553265963099792,-0.0007822622836582108
2025,hgb_seed42+lag_k16_d3,0.45,1512,0.055893430938669705,0.035850968719192765,-0.000772993397923426
2025,hgb_seed42+base_k6,0.2,1512,0.05589714260088605,0.035747661213883404,-0.0008983142063522349
2025,hgb_seed42+base_k6,0.15,1512,0.05591955337928057,0.03569515703962461,-0.0008699632889455251
2025,hgb_seed42+base_k6,0.25,1512,0.055923246368937,0.03584169030207129,-0.0009266651237589953
2025,hgb_seed_mean+lag_k16_d3,0.45,1512,0.055959262546777536,0.03586481108314883,-0.0009881245394265702
2025,hgb_seed_mean+lag_k16_d3,0.1,1512,0.05598007201301202,0.035606276734301216,-0.0011342950606633554
2025,hgb_seed42+base_k6,0.1,1512,0.05599042044871674,0.03568700083096183,-0.0008416123715387687
2025,hgb_seed42+base_k6,0.3,1512,0.055997796837280234,0.035982153804924345,-0.0009550160411657542
2025,hgb_seed_mean+base_k6,0.2,1512,0.05600589133930871,0.035833553392244366,-0.0012112322303568072
2025,hgb_seed_mean+base_k6,0.25,1512,0.05602679907984354,0.035917160348492384,-0.0012200257712632824
2025,hgb_seed_mean+base_k6,0.15,1512,0.05603318493334456,0.03578846976424344,-0.0012024386894503851
2025,hgb_seed42+lag_k16_d3,0.05,1512,0.05604906566306436,0.03565712254586273,-0.0007835864101917748
2025,hgb_seed42+lag_k16_d3,0.5,1512,0.05608284469748165,0.036032196654387234,-0.0007716692713899071
