dataset,partition,year,method,source,n,rmse,mae
random_private_like,random0,2019,blend20,s2,103,0.0665184446018849,0.04743591863088963
random_private_like,random0,2020,blend20,landsat,57,0.06301655180063068,0.03864874647937304
random_private_like,random0,2020,blend20,modis,21,0.07055579454639732,0.052919545757259163
random_private_like,random0,2020,blend20,s2,112,0.08617179658921784,0.05068306445707373
random_private_like,random0,2021,blend20,landsat,38,0.06030439614546607,0.040067401157403516
random_private_like,random0,2021,blend20,modis,24,0.06709840745029996,0.04961490194862373
random_private_like,random0,2021,blend20,s2,99,0.09984272235907692,0.06322408257526729
random_private_like,random0,2022,blend20,landsat,59,0.05842834805433655,0.042166691912300186
random_private_like,random0,2022,blend20,modis,19,0.06443946496033028,0.044984561758747425
random_private_like,random0,2022,blend20,s2,87,0.08581223093989677,0.04500245933309321
random_private_like,random0,2023,blend20,landsat,80,0.05624333371926879,0.03503440043568042
random_private_like,random0,2023,blend20,modis,26,0.06884495088631483,0.05509961387974352
random_private_like,random0,2023,blend20,s2,79,0.05060758705081525,0.034273930782480595
random_private_like,random0,2024,blend20,landsat,62,0.04942881368493512,0.034876867310466624
random_private_like,random0,2024,blend20,modis,12,0.040180160907759596,0.029863027082315582
random_private_like,random0,2024,blend20,s2,99,0.05925102758811623,0.03223606907314502
random_private_like,random0,2025,blend20,landsat,172,0.05429269835431765,0.03641389156781956
random_private_like,random0,2025,blend20,modis,82,0.05609784969808134,0.03821870739265252
random_private_like,random0,2025,blend20,s2,502,0.05127489692190195,0.03256268979364405
random_private_like,random1,2010,blend20,landsat,46,0.05838506594954968,0.04769995781040403
random_private_like,random1,2010,blend20,modis,28,0.04313346805587285,0.032553022243141806
random_private_like,random1,2011,blend20,landsat,56,0.07462059925261631,0.053639845005277034
random_private_like,random1,2011,blend20,modis,26,0.08210395636456012,0.05248907279658074
random_private_like,random1,2012,blend20,landsat,28,0.06235334279026355,0.04238553656151865
random_private_like,random1,2012,blend20,modis,30,0.07464615198611538,0.05767660069873938
random_private_like,random1,2013,blend20,landsat,52,0.07069234053163377,0.05397890044148195
random_private_like,random1,2013,blend20,modis,26,0.06093632410499489,0.05002742106982108
random_private_like,random1,2014,blend20,landsat,63,0.051900820877334775,0.04034999891620253
random_private_like,random1,2014,blend20,modis,32,0.07582019993366684,0.05969476448623199
random_private_like,random1,2015,blend20,landsat,68,0.05882498177331981,0.04052292330895651
random_private_like,random1,2015,blend20,modis,24,0.06932821354755948,0.05254941350860041
random_private_like,random1,2016,blend20,landsat,59,0.07368492933510784,0.04951777679378012
random_private_like,random1,2016,blend20,modis,29,0.0686284525761104,0.05334105279414938
random_private_like,random1,2017,blend20,landsat,60,0.05521662073540714,0.043214313295847434
random_private_like,random1,2017,blend20,modis,22,0.07205585162604376,0.05102579243750975
random_private_like,random1,2017,blend20,s2,58,0.05108989986887011,0.037417523529593884
random_private_like,random1,2018,blend20,landsat,65,0.059059717864611415,0.04323476545480589
random_private_like,random1,2018,blend20,modis,27,0.07292210803431722,0.05723020510680769
random_private_like,random1,2018,blend20,s2,30,0.05462287007065137,0.03934493797568017
random_private_like,random1,2019,blend20,landsat,52,0.04438428107868055,0.03477842738502703
random_private_like,random1,2019,blend20,modis,19,0.06762769301917337,0.05424697174617872
random_private_like,random1,2019,blend20,s2,114,0.12033061515494853,0.06360841659728983
random_private_like,random1,2020,blend20,landsat,54,0.04986324804206384,0.03604574013357434
random_private_like,random1,2020,blend20,modis,20,0.07571087194368652,0.060436692232621325
random_private_like,random1,2020,blend20,s2,116,0.07615204156857017,0.0429102393889857
random_private_like,random1,2021,blend20,landsat,43,0.06799316203787141,0.044132321693523206
random_private_like,random1,2021,blend20,modis,22,0.078664391906637,0.06620189839433716
random_private_like,random1,2021,blend20,s2,96,0.09214184256287514,0.05893397585248988
random_private_like,random1,2022,blend20,landsat,56,0.04568085350844764,0.034011198027032334
random_private_like,random1,2022,blend20,modis,19,0.07896643834619192,0.05767561242530528
random_private_like,random1,2022,blend20,s2,90,0.0709254882198728,0.04468797778399285
random_private_like,random1,2023,blend20,landsat,66,0.05304128770447285,0.039083630093192455
random_private_like,random1,2023,blend20,modis,26,0.06107422225855325,0.0461774255527035
random_private_like,random1,2023,blend20,s2,93,0.07467630821727239,0.04689860302792998
random_private_like,random1,2024,blend20,landsat,48,0.045965277607269955,0.03277355708908855
random_private_like,random1,2024,blend20,modis,12,0.04416974965831441,0.03512967273565491
random_private_like,random1,2024,blend20,s2,113,0.06469841261608017,0.03934221380999516
random_private_like,random1,2025,blend20,landsat,186,0.044542769009148754,0.031886704925367104
random_private_like,random1,2025,blend20,modis,99,0.06293976281650045,0.04705811950612953
random_private_like,random1,2025,blend20,s2,471,0.05734511608802638,0.034754471123073206
random_private_like,random2,2010,blend20,landsat,46,0.048279688444584454,0.03559725424342417
random_private_like,random2,2010,blend20,modis,28,0.037691501446543554,0.02763617085465322
random_private_like,random2,2011,blend20,landsat,57,0.07153235559206629,0.05255535741537376
random_private_like,random2,2011,blend20,modis,25,0.06289539677133935,0.04273468172285329
random_private_like,random2,2012,blend20,landsat,31,0.05067037714800657,0.038313992747131306
random_private_like,random2,2012,blend20,modis,27,0.06298602861123147,0.05117626761056484
random_private_like,random2,2013,blend20,landsat,57,0.09393160021453935,0.06466540619219166
random_private_like,random2,2013,blend20,modis,21,0.05030496170237071,0.04201536384865148
random_private_like,random2,2014,blend20,landsat,53,0.04578678090716669,0.03381808659491549
random_private_like,random2,2014,blend20,modis,42,0.06599923332554906,0.047125742294705626
random_private_like,random2,2015,blend20,landsat,70,0.07248183381479098,0.044804996631630636
random_private_like,random2,2015,blend20,modis,22,0.04350826656519279,0.03252179142988742
random_private_like,random2,2016,blend20,landsat,65,0.06572933736306667,0.04542174318841183
random_private_like,random2,2016,blend20,modis,23,0.07839946867204345,0.061275709500799073
random_private_like,random2,2017,blend20,landsat,64,0.053424627851210355,0.039453015075573736
random_private_like,random2,2017,blend20,modis,29,0.08134560577982837,0.06188224437110081
random_private_like,random2,2017,blend20,s2,47,0.0530929891365169,0.035714283044915626
random_private_like,random2,2018,blend20,landsat,79,0.04670876398733911,0.034099562522864904
random_private_like,random2,2018,blend20,modis,18,0.07183978063933735,0.052184312154924625
random_private_like,random2,2018,blend20,s2,25,0.05183389723632769,0.03795539956396704
random_private_like,random2,2019,blend20,landsat,57,0.04414442967675305,0.0364236405359087
random_private_like,random2,2019,blend20,modis,19,0.09367424480998189,0.06823510111285612
random_private_like,random2,2019,blend20,s2,109,0.10339342093664282,0.05229278034300707
random_private_like,random2,2020,blend20,landsat,60,0.05004493752840568,0.03552173754572019
random_private_like,random2,2020,blend20,modis,23,0.0769949758101946,0.05120577204559527
random_private_like,random2,2020,blend20,s2,107,0.04774784401455873,0.030924209858966725
random_private_like,random2,2021,blend20,landsat,42,0.08011244345420832,0.05345883336340179
random_private_like,random2,2021,blend20,modis,21,0.06257012406856215,0.044237369836648624
random_private_like,random2,2021,blend20,s2,98,0.06267099582756282,0.04250320920883208
random_private_like,random2,2022,blend20,landsat,66,0.0589251880371872,0.041266442515900295
random_private_like,random2,2022,blend20,modis,15,0.03450943063343408,0.028556635013606207
random_private_like,random2,2022,blend20,s2,84,0.0720065759286957,0.039407605704182
random_private_like,random2,2023,blend20,landsat,62,0.05784970035477411,0.03803062353146975
random_private_like,random2,2023,blend20,modis,30,0.0686826888133051,0.05111561347305278
random_private_like,random2,2023,blend20,s2,93,0.07049939617998709,0.04148681373290607
random_private_like,random2,2024,blend20,landsat,54,0.044726633429004896,0.03661510972626448
random_private_like,random2,2024,blend20,modis,16,0.07315524106596422,0.05062041461793832
random_private_like,random2,2024,blend20,s2,103,0.04538689563616641,0.03210267712590244
random_private_like,random2,2025,blend20,landsat,162,0.12342054063974489,0.04001490598182837
random_private_like,random2,2025,blend20,modis,74,0.06027668633969027,0.04476451901796844
random_private_like,random2,2025,blend20,s2,520,0.05735078234989435,0.03588220400540799
