private,train,n,mask_eq,any_eq,temp_rmse,prec_rmse,target_n,target_corr,target_rmse
AOI-0001,AOI-0002,3195,0.9402190923317684,0.9417840375586854,0.0,1.8135266486030583e-18,537,0.5219481141249611,0.21859833877832802
AOI-0001,AOI-0003,3195,0.8735524256651017,0.8888888888888888,0.0,0.0,551,0.4940378653123655,0.23111866069898387
AOI-0001,AOI-0004,3195,0.936150234741784,0.9392801251956181,0.04586642060699404,0.1611431425348016,508,0.5241736115928921,0.21577949743112068
AOI-0001,AOI-0007,3195,0.8028169014084507,0.8297339593114241,0.7001327654765257,2.3075114036098228,380,0.5760827793693644,0.21393442179024472
AOI-0001,AOI-0008,705,0.4099290780141844,0.5304964539007092,,,374,0.5122108983715068,0.22594586266058778
AOI-0001,AOI-0011,3195,0.8043818466353677,0.8325508607198748,0.7001327654765257,2.3075114036098228,388,0.5555753863200749,0.21384210724529912
AOI-0001,AOI-0015,3195,0.8507042253521127,0.8719874804381846,0.23412836029510037,1.0419932801446348,542,0.5282564250094305,0.2199025003680758
AOI-0001,AOI-0019,3195,0.837245696400626,0.8579029733959311,0.3994026053104043,1.643314890916333,525,0.7011834267766349,0.16920942213930734
AOI-0001,AOI-0020,3195,0.8413145539906103,0.8607198748043818,0.3994026053104043,1.643314890916333,520,0.5741189461194441,0.19982734686826215
AOI-0001,AOI-0021,3195,0.8419405320813772,0.8613458528951486,0.3994026053104043,1.643314890916333,522,0.4596238783275354,0.23411497902884648
AOI-0001,AOI-0022,3195,0.8400625978090767,0.8613458528951486,0.3994026053104043,1.643314890916333,526,0.3973655191478168,0.2745861176707429
AOI-0001,AOI-0023,3195,0.8384976525821596,0.860093896713615,0.5198777364326513,1.9691826527341652,523,0.5535060431388896,0.23599417472878959
AOI-0001,AOI-0026,3195,0.9176838810641628,0.923943661971831,0.20397429295646682,0.9045932670807284,458,0.5045844050155186,0.24141419155109664
AOI-0001,AOI-0027,574,0.7717770034843205,0.7926829268292683,,,455,0.5502262851651138,0.21291940517171415
AOI-0001,AOI-0030,3195,0.9167449139280125,0.9217527386541471,0.16985611261373457,0.6927194279413358,443,0.40637864219604036,0.29107285497433166
AOI-0001,AOI-0033,3195,0.6475743348982785,0.6873239436619718,1.4319509318010455,3.3863879110643573,230,0.5613786438643179,0.24059195586623547
AOI-0001,AOI-0035,879,0.11376564277588168,0.2605233219567691,,,229,0.5309586379150445,0.23566161478585373
AOI-0001,AOI-0037,3195,0.6488262910798122,0.6910798122065728,1.6191367820512559,3.3720147781426184,231,0.6019133132123938,0.18991874145599905
AOI-0001,AOI-0038,3195,0.6406885758998435,0.6845070422535211,1.6847280860424154,3.339793573323683,231,0.4821857022942189,0.23099816922049266
