method,n,rmse,mae,cohort
ridge_bw24_k8,2644,0.4227633913434055,0.36222939161555884,all
ridge_bw24_k8,2267,0.4251152750648258,0.36415879445830873,new
ridge_bw24_k8,377,0.4083353594184474,0.35062738566194107,shared
ridge_bw24_k8,1888,0.43188638637234267,0.3745636985278793,history
ridge_bw24_k8,756,0.39907029176516795,0.33142625477632476,2025
ridge_bw24_k8,1888,0.43188638637234267,0.3745636985278793,new_history
ridge_bw24_k8,379,0.389635606186299,0.31232644911965624,new_2025
ridge_bw24_k8,377,0.4083353594184474,0.35062738566194107,shared_2025
ridge_bw16_k8,2644,0.4242308908674725,0.3636337188788269,all
ridge_bw16_k8,2267,0.4266918682556046,0.3657445339309511,new
ridge_bw16_k8,377,0.40912035578669065,0.3509408336714913,shared
ridge_bw16_k8,1888,0.4326940793183003,0.37514874673550624,history
ridge_bw16_k8,756,0.4023185814924723,0.33487661227378634,2025
ridge_bw16_k8,1888,0.4326940793183003,0.37514874673550624,new_history
ridge_bw16_k8,379,0.3954366468911023,0.3188971624929559,new_2025
ridge_bw16_k8,377,0.40912035578669065,0.3509408336714913,shared_2025
ridge_bw32_k12,2644,0.42805522232835924,0.3710693910299198,all
ridge_bw32_k12,2267,0.43005785883328573,0.37303560649710366,new
ridge_bw32_k12,377,0.4158095119723616,0.359246021098605,shared
ridge_bw32_k12,1888,0.43429770802423634,0.38025049835411223,history
ridge_bw32_k12,756,0.41205272735349396,0.3481409113631534,2025
ridge_bw32_k12,1888,0.43429770802423634,0.38025049835411223,new_history
ridge_bw32_k12,379,0.4082814741450887,0.3370944037898942,new_2025
ridge_bw32_k12,377,0.4158095119723616,0.359246021098605,shared_2025
ridge_bw8_k8,2644,0.42819617196760307,0.36945233819803663,all
ridge_bw8_k8,2267,0.43015143844272147,0.37152317882893016,new
ridge_bw8_k8,377,0.41624501588568996,0.3569998296828226,shared
ridge_bw8_k8,1888,0.43591183255761107,0.38043511251084733,history
ridge_bw8_k8,756,0.4082911822435628,0.3420244573745092,2025
ridge_bw8_k8,1888,0.43591183255761107,0.38043511251084733,new_history
ridge_bw8_k8,379,0.40022253033396415,0.32712811077758536,new_2025
ridge_bw8_k8,377,0.41624501588568996,0.3569998296828226,shared_2025
ridge_bw24_k12,2644,0.4286740062436215,0.37089088950282145,all
ridge_bw24_k12,2267,0.4310965666231162,0.3732635763238819,new
ridge_bw24_k12,377,0.41380756750371994,0.3566233005814844,shared
ridge_bw24_k12,1888,0.43503529543874897,0.3797832388275831,history
ridge_bw24_k12,756,0.4123592817012022,0.3486835409245806,2025
ridge_bw24_k12,1888,0.43503529543874897,0.3797832388275831,new_history
ridge_bw24_k12,379,0.41091357437641574,0.3407856797355233,new_2025
ridge_bw24_k12,377,0.41380756750371994,0.3566233005814844,shared_2025
ridge_bw32_k16,2644,0.4290294507751536,0.37193395641544436,all
ridge_bw32_k16,2267,0.4309165699200749,0.37390155220058646,new
ridge_bw32_k16,377,0.41750188408831657,0.36010228626977536,shared
ridge_bw32_k16,1888,0.4353165875423554,0.3811475521133863,history
ridge_bw32_k16,756,0.41291039172386607,0.3489243417623829,2025
ridge_bw32_k16,1888,0.4353165875423554,0.3811475521133863,new_history
ridge_bw32_k16,379,0.40829190593657555,0.33780538376954133,new_2025
ridge_bw32_k16,377,0.41750188408831657,0.36010228626977536,shared_2025
ridge_bw16_k12,2644,0.4295326917702732,0.3717946025943136,all
ridge_bw16_k12,2267,0.43227064782598684,0.3745473081925114,new
ridge_bw16_k12,377,0.4126857898018941,0.35524186097332017,shared
ridge_bw16_k12,1888,0.4363741829148898,0.38189693540819414,history
ridge_bw16_k12,756,0.41195117425282596,0.346565496307797,2025
ridge_bw16_k12,1888,0.4363741829148898,0.38189693540819414,new_history
ridge_bw16_k12,379,0.4112191333330069,0.33793491720779106,new_2025
ridge_bw16_k12,377,0.4126857898018941,0.35524186097332017,shared_2025
ridge_bw24_k16,2644,0.4309706020922788,0.374159963860516,all
ridge_bw24_k16,2267,0.43352215749965844,0.3768212450123499,new
ridge_bw24_k16,377,0.4152969999386208,0.3581569814435196,shared
ridge_bw24_k16,1888,0.4367802365028734,0.3823783500608542,history
ridge_bw24_k16,756,0.4161078091684741,0.3536357401221052,2025
ridge_bw24_k16,1888,0.4367802365028734,0.3823783500608542,new_history
ridge_bw24_k16,379,0.41691277532787574,0.3491383575939437,new_2025
ridge_bw24_k16,377,0.4152969999386208,0.3581569814435196,shared_2025
ridge_bw16_k16,2644,0.43168625054729926,0.3742975604172326,all
ridge_bw16_k16,2267,0.43423446619127626,0.3769727879448823,new
ridge_bw16_k16,377,0.41603417886716004,0.3582107147801455,shared
ridge_bw16_k16,1888,0.43769192909990373,0.3830634497632252,history
ridge_bw16_k16,756,0.4163097607630047,0.352406027235706,2025
ridge_bw16_k16,1888,0.43769192909990373,0.3830634497632252,new_history
ridge_bw16_k16,379,0.4165837075361613,0.3466319712878072,new_2025
ridge_bw16_k16,377,0.41603417886716004,0.3582107147801455,shared_2025
ridge_bw8_k12,2644,0.43248801362352274,0.37584752680540817,all
ridge_bw8_k12,2267,0.4348706926513718,0.37849862910003323,new
ridge_bw8_k12,377,0.41787396251688985,0.35990575252977114,shared
ridge_bw8_k12,1888,0.4390892315867447,0.38484990462853386,history
ridge_bw8_k12,756,0.415544732048428,0.35336539806194067,2025
ridge_bw8_k12,1888,0.4390892315867447,0.38484990462853386,new_history
ridge_bw8_k12,379,0.41321476745645935,0.34685955733800383,new_2025
ridge_bw8_k12,377,0.41787396251688985,0.35990575252977114,shared_2025
ridge_bw8_k16,2644,0.43404981994812014,0.37749258749407444,all
ridge_bw8_k16,2267,0.4367318324808499,0.3804897494455539,new
ridge_bw8_k16,377,0.41755908356098814,0.3594698656266898,shared
ridge_bw8_k16,1888,0.4402625821209239,0.3859405951194892,history
ridge_bw8_k16,756,0.41813141324548725,0.3563949176570598,2025
ridge_bw8_k16,1888,0.4402625821209239,0.3859405951194892,new_history
ridge_bw8_k16,379,0.4186999465736014,0.3533361963257919,new_2025
ridge_bw8_k16,377,0.41755908356098814,0.3594698656266898,shared_2025
