method,n,rmse,mae,cohort
factor_bw24_mean_sh0.0,2644,0.16177803437905272,0.11266880172046435,all
factor_bw24_mean_sh0.0,2267,0.1635643639473975,0.11379199434272869,new
factor_bw24_mean_sh0.0,377,0.1505902125752121,0.10591474953300226,shared
factor_bw24_mean_sh0.0,1888,0.165018798364899,0.11704220253449367,history
factor_bw24_mean_sh0.0,756,0.15338596959351886,0.10174686952881444,2025
factor_bw24_mean_sh0.0,1888,0.165018798364899,0.11704220253449367,new_history
factor_bw24_mean_sh0.0,379,0.15611731022002404,0.09760098361435851,new_2025
factor_bw24_mean_sh0.0,377,0.1505902125752121,0.10591474953300226,shared_2025
factor_bw16_mean_sh0.0,2644,0.1619053700501788,0.11276334469825955,all
factor_bw16_mean_sh0.0,2267,0.16355559307643258,0.11381590261317223,new
factor_bw16_mean_sh0.0,377,0.151603847837241,0.10643403755473936,shared
factor_bw16_mean_sh0.0,1888,0.1647318760288017,0.11748104986880642,history
factor_bw16_mean_sh0.0,756,0.15462110453742017,0.10098156247340173,2025
factor_bw16_mean_sh0.0,1888,0.1647318760288017,0.11748104986880642,new_history
factor_bw16_mean_sh0.0,379,0.15756512775063053,0.09555786034763847,new_2025
factor_bw16_mean_sh0.0,377,0.151603847837241,0.10643403755473936,shared_2025
factor_bw24_trim_sh1.5,2644,0.16200927746712607,0.11205530345069288,all
factor_bw24_trim_sh1.5,2267,0.16374729913633612,0.11298250386793023,new
factor_bw24_trim_sh1.5,377,0.15113723941819213,0.10647980385950712,shared
factor_bw24_trim_sh1.5,1888,0.16490131835687588,0.11587146589393593,history
factor_bw24_trim_sh1.5,756,0.1545506716913764,0.1025249930104245,2025
factor_bw24_trim_sh1.5,1888,0.16490131835687588,0.11587146589393593,new_history
factor_bw24_trim_sh1.5,379,0.15787288809542113,0.09859105187558508,new_2025
factor_bw24_trim_sh1.5,377,0.15113723941819213,0.10647980385950712,shared_2025
factor_bw24_trim_sh0.15,2644,0.16201088334040673,0.11177043219007969,all
factor_bw24_trim_sh0.15,2267,0.16380280751422177,0.11275415910234296,new
factor_bw24_trim_sh0.15,377,0.1507872096664764,0.10585502394047551,shared
factor_bw24_trim_sh0.15,1888,0.16529528384027253,0.1159258104459841,history
factor_bw24_trim_sh0.15,756,0.15350198337594048,0.10139297961448775,2025
factor_bw24_trim_sh0.15,1888,0.16529528384027253,0.1159258104459841,new_history
factor_bw24_trim_sh0.15,379,0.15615561456443805,0.09695448169655269,new_2025
factor_bw24_trim_sh0.15,377,0.1507872096664764,0.10585502394047551,shared_2025
factor_bw24_trim_sh0.0,2644,0.16224356175628563,0.11200126979069853,all
factor_bw24_trim_sh0.0,2267,0.16406974113043477,0.11301769255518304,new
factor_bw24_trim_sh0.0,377,0.15079665222095343,0.1058892527957745,shared
factor_bw24_trim_sh0.0,1888,0.16561110715082994,0.11617768222268883,history
factor_bw24_trim_sh0.0,756,0.15351133651499407,0.10157128742086037,2025
factor_bw24_trim_sh0.0,1888,0.16561110715082994,0.11617768222268883,new_history
factor_bw24_trim_sh0.0,379,0.15616488462140674,0.09727610814291146,new_2025
factor_bw24_trim_sh0.0,377,0.15079665222095343,0.1058892527957745,shared_2025
factor_bw16_trim_sh0.15,2644,0.16235892767343724,0.11190193172149156,all
factor_bw16_trim_sh0.15,2267,0.1640824069977428,0.11288892011368988,new
factor_bw16_trim_sh0.15,377,0.1515825528017253,0.10596691133657482,shared
factor_bw16_trim_sh0.15,1888,0.16544409829074716,0.11643313086593511,history
factor_bw16_trim_sh0.15,756,0.15438515539695274,0.1005859211597066,2025
factor_bw16_trim_sh0.15,1888,0.16544409829074716,0.11643313086593511,new_history
factor_bw16_trim_sh0.15,379,0.15712338146480204,0.09523332670936539,new_2025
factor_bw16_trim_sh0.15,377,0.1515825528017253,0.10596691133657482,shared_2025
factor_bw16_trim_sh1.5,2644,0.1623828980117318,0.11173470970657089,all
factor_bw16_trim_sh1.5,2267,0.16409402055026798,0.11262648281893164,new
factor_bw16_trim_sh1.5,377,0.15168699495815327,0.10637224380279965,shared
factor_bw16_trim_sh1.5,1888,0.16534539509904697,0.11599273139515781,history
factor_bw16_trim_sh1.5,756,0.15473699875985172,0.10110092009274545,2025
factor_bw16_trim_sh1.5,1888,0.16534539509904697,0.11599273139515781,new_history
factor_bw16_trim_sh1.5,379,0.15771240038340084,0.09585741339435379,new_2025
factor_bw16_trim_sh1.5,377,0.15168699495815327,0.10637224380279965,shared_2025
factor_bw16_trim_sh0.0,2644,0.16268205483462958,0.11220590126688834,all
factor_bw16_trim_sh0.0,2267,0.16444765046264792,0.11324564375760704,new
factor_bw16_trim_sh0.0,377,0.1516321803062363,0.10595365663437037,shared
factor_bw16_trim_sh0.0,1888,0.16572706774729384,0.11677710853744061,history
factor_bw16_trim_sh0.0,756,0.15481625059121285,0.10078997623143507,2025
factor_bw16_trim_sh0.0,1888,0.16572706774729384,0.11677710853744061,new_history
factor_bw16_trim_sh0.0,379,0.15791983946186988,0.09565354480160232,new_2025
factor_bw16_trim_sh0.0,377,0.1516321803062363,0.10595365663437037,shared_2025
factor_bw32_median_sh1.5,2644,0.16278312191066044,0.11205194395889026,all
factor_bw32_median_sh1.5,2267,0.16450840490977195,0.11295180577215952,new
factor_bw32_median_sh1.5,377,0.15199616027503934,0.10664083857246734,shared
factor_bw32_median_sh1.5,1888,0.16533245326125004,0.11567763502410479,history
factor_bw32_median_sh1.5,756,0.1562349812642899,0.10299730807115869,2025
factor_bw32_median_sh1.5,1888,0.16533245326125004,0.11567763502410479,new_history
factor_bw32_median_sh1.5,379,0.16034029858565627,0.09937300464373557,new_2025
factor_bw32_median_sh1.5,377,0.15199616027503934,0.10664083857246734,shared_2025
factor_bw24_median_sh0.15,2644,0.16298799588971125,0.1121511593059944,all
factor_bw24_median_sh0.15,2267,0.16493072820727872,0.1130953878068479,new
factor_bw24_median_sh0.15,377,0.15077893731553801,0.10647326537645892,shared
factor_bw24_median_sh0.15,1888,0.16662241395731572,0.11626360908443527,history
factor_bw24_median_sh0.15,756,0.1535363178238444,0.10188091435666062,2025
factor_bw24_median_sh0.15,1888,0.16662241395731572,0.11626360908443527,new_history
factor_bw24_median_sh0.15,379,0.15623087341212488,0.09731279737918314,new_2025
