mode,lag_weight,scale,exact_rmse,exact_base,exact_delta,exact_n,random_rmse,random_base,random_delta,random_n,random2025_rmse,random2025_base,random2025_delta,random2025_n,exact_wins,exact_folds,random_wins,random_folds,random2025_wins,random2025_folds,worst_delta,mean_delta
global,0.300000000,-0.375000000,0.061783604,0.061801158,-0.000017554,1114,0.071284333,0.071268305,0.000016028,5664,0.061514810,0.061513373,0.000001437,2268,3,6,1,3,1,3,0.000016028,-0.000000030
global,0.300000000,-0.350000000,0.061784692,0.061801158,-0.000016466,1114,0.071283085,0.071268305,0.000014780,5664,0.061514488,0.061513373,0.000001115,2268,3,6,1,3,1,3,0.000014780,-0.000000190
global,0.300000000,-0.325000000,0.061785792,0.061801158,-0.000015366,1114,0.071281863,0.071268305,0.000013557,5664,0.061514199,0.061513373,0.000000826,2268,3,6,1,3,1,3,0.000013557,-0.000000328
global,0.300000000,-0.300000000,0.061786903,0.061801158,-0.000014255,1114,0.071280666,0.071268305,0.000012360,5664,0.061513942,0.061513373,0.000000569,2268,3,6,1,3,1,3,0.000012360,-0.000000442
global,0.300000000,-0.275000000,0.061788026,0.061801158,-0.000013132,1114,0.071279494,0.071268305,0.000011189,5664,0.061513717,0.061513373,0.000000344,2268,3,6,1,3,2,3,0.000011189,-0.000000533
global,0.300000000,-0.250000000,0.061789161,0.061801158,-0.000011997,1114,0.071278349,0.071268305,0.000010043,5664,0.061513525,0.061513373,0.000000152,2268,3,6,1,3,2,3,0.000010043,-0.000000601
global,0.300000000,-0.225000000,0.061790307,0.061801158,-0.000010850,1114,0.071277229,0.071268305,0.000008924,5664,0.061513364,0.061513373,-0.000000009,2268,3,6,1,3,2,3,0.000008924,-0.000000645
global,0.300000000,-0.200000000,0.061791466,0.061801158,-0.000009692,1114,0.071276135,0.071268305,0.000007829,5664,0.061513236,0.061513373,-0.000000137,2268,3,6,1,3,2,3,0.000007829,-0.000000666
global,0.300000000,-0.175000000,0.061792636,0.061801158,-0.000008522,1114,0.071275066,0.071268305,0.000006761,5664,0.061513141,0.061513373,-0.000000233,2268,3,6,1,3,2,3,0.000006761,-0.000000665
global,0.300000000,-0.150000000,0.061793818,0.061801158,-0.000007340,1114,0.071274023,0.071268305,0.000005718,5664,0.061513077,0.061513373,-0.000000296,2268,3,6,1,3,2,3,0.000005718,-0.000000639
global,0.300000000,-0.125000000,0.061795012,0.061801158,-0.000006146,1114,0.071273006,0.071268305,0.000004701,5664,0.061513046,0.061513373,-0.000000327,2268,3,6,1,3,2,3,0.000004701,-0.000000591
global,0.300000000,-0.100000000,0.061796218,0.061801158,-0.000004940,1114,0.071272014,0.071268305,0.000003709,5664,0.061513047,0.061513373,-0.000000326,2268,3,6,1,3,2,3,0.000003709,-0.000000519
global,0.300000000,-0.075000000,0.061797435,0.061801158,-0.000003723,1114,0.071271049,0.071268305,0.000002743,5664,0.061513080,0.061513373,-0.000000293,2268,3,6,1,3,2,3,0.000002743,-0.000000424
global,0.300000000,-0.050000000,0.061798664,0.061801158,-0.000002494,1114,0.071270109,0.071268305,0.000001803,5664,0.061513145,0.061513373,-0.000000228,2268,3,6,1,3,2,3,0.000001803,-0.000000306
global,0.300000000,-0.025000000,0.061799905,0.061801158,-0.000001253,1114,0.071269194,0.071268305,0.000000889,5664,0.061513243,0.061513373,-0.000000130,2268,3,6,1,3,2,3,0.000000889,-0.000000165
