route,features,group,seed,split,model,cap,n,rmse,baseline_rmse,delta_rmse,improved
all,candidate,group_aoiyear,1,2,hgb8,0.01,540,0.09080396795006657,0.09069029969892455,0.00011366825114202117,0
all,candidate,group_aoiyear,1,2,hgb8,0.02,540,0.09092032216710426,0.09069029969892455,0.0002300224681797136,0
all,candidate,group_aoiyear,1,2,hgb8,0.03,540,0.09094650702097631,0.09069029969892455,0.00025620732205176855,0
all,candidate,group_aoiyear,1,2,hgb8,0.04,540,0.09094675698396841,0.09069029969892455,0.0002564572850438651,0
all,candidate,group_aoiyear,1,2,hgb8,0.06,540,0.09094675698396841,0.09069029969892455,0.0002564572850438651,0
all,candidate,group_aoiyear,1,3,hgb8,0.01,536,0.06863811611099524,0.06819689364449892,0.0004412224664963188,0
all,candidate,group_aoiyear,1,3,hgb8,0.02,536,0.0689311908974746,0.06819689364449892,0.0007342972529756769,0
all,candidate,group_aoiyear,1,3,hgb8,0.03,536,0.0689576383988251,0.06819689364449892,0.0007607447543261786,0
all,candidate,group_aoiyear,1,3,hgb8,0.04,536,0.0689576383988251,0.06819689364449892,0.0007607447543261786,0
all,candidate,group_aoiyear,1,3,hgb8,0.06,536,0.0689576383988251,0.06819689364449892,0.0007607447543261786,0
all,candidate,group_aoiyear,2,1,ridge30,0.01,537,0.08613660348849193,0.0861174477993536,1.915568913833654e-05,0
all,candidate,group_aoiyear,2,1,ridge30,0.02,537,0.08614302867124496,0.0861174477993536,2.5580871891361934e-05,0
all,candidate,group_aoiyear,2,1,ridge30,0.03,537,0.08614302867124496,0.0861174477993536,2.5580871891361934e-05,0
all,candidate,group_aoiyear,2,1,ridge30,0.04,537,0.08614302867124496,0.0861174477993536,2.5580871891361934e-05,0
all,candidate,group_aoiyear,2,1,ridge30,0.06,537,0.08614302867124496,0.0861174477993536,2.5580871891361934e-05,0
all,candidate,group_aoiyear,2,2,ridge30,0.01,535,0.06629893262317146,0.06637313009396066,-7.419747078919736e-05,1
all,candidate,group_aoiyear,2,2,ridge30,0.02,535,0.06629591412338781,0.06637313009396066,-7.721597057284979e-05,1
all,candidate,group_aoiyear,2,2,ridge30,0.03,535,0.06626106705016539,0.06637313009396066,-0.00011206304379526855,1
